,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
147,Alberto Moreno,Villarreal,31," D(L),M(L)",13(11),1223,3,2,3,-,0.9,85.6,0.3,1,6.64
148,David Soria,Getafe,31, GK,38,3415,-,-,4,-,-,51,0.4,1,6.64
149,Yangel Herrera,Espanyol,26, M(C),19(4),1650,1,1,5,1,0.7,81.7,2.4,3,6.64
150,Matías Dituro,Celta Vigo,36, GK,38,3420,-,-,1,-,-,60.2,0.2,2,6.64
151,Yeremy Pino,Villarreal,21, AM(LR),21(10),1688,6,4,2,-,0.9,78.9,0.5,2,6.63
152,José Gayà,Valencia,28," D(L),M(L)",22(2),1875,2,4,6,2,0.8,75.7,0.3,1,6.63
153,Pedro Bigas,Elche,33, D(CL),19,1556,1,-,6,-,0.6,86.9,1.9,-,6.63
154,Iddrisu Baba,Mallorca,28, DMC,23(3),1945,1,1,9,-,0.9,79.8,1.6,3,6.63
155,Eric García,Barcelona,23, D(CR),23(3),2044,-,-,5,1,0.2,93.2,1.2,-,6.62
156,Iván Alejo,Cadiz,29, AM(R),11(9),1071,2,2,7,-,0.6,72,0.6,1,6.62
157,Joan Jordán,Sevilla,29, M(C),31(5),2530,-,1,9,-,0.4,88.5,0.3,-,6.62
158,Boulaye Dia,Villarreal,27," AM(CR),FW",13(12),1267,5,5,3,-,1.5,75.3,1.2,-,6.62
159,Óscar Duarte,Levante,34," D(C),DMC",20(3),1775,2,-,5,-,0.8,83.6,3,-,6.62
160,Hugo Mallo,Celta Vigo,32," D(CR),M(R)",21,1830,1,1,3,2,0.8,76.8,2,-,6.62
161,Óscar Gil,Espanyol,26, D(R),20(2),1698,-,2,7,-,0.3,85.3,0.3,1,6.61
162,Jens Jønsson,Cadiz,31," D(C),DMC",17(5),1315,-,1,3,-,0.3,76.1,1.3,-,6.61
163,Jon Moncayola,Osasuna,25," D(R),M(CR)",33(3),2923,2,3,3,-,1.1,82.1,0.5,-,6.61
164,Fran Beltrán,Celta Vigo,25, DMC,31(6),2611,1,-,4,-,0.5,91.2,0.4,1,6.61
165,Pepelu,Levante,25, DMC,23(6),2016,-,-,9,-,0.5,81.1,1.1,-,6.61
166,Maxime Gonalons,Granada,35," D(C),M(C)",20(5),1556,-,2,6,-,0.4,84.5,1.4,2,6.61
167,Djené Dakonam,Getafe,32," D(CR),DMC",35,3117,-,1,11,1,0.1,77.5,1.5,1,6.61
168,Jaume Costa,Mallorca,36," D(LR),M(L)",21(4),1831,-,4,5,1,0.4,75.4,1,-,6.61
169,Unai Simón,Athletic Club,26, GK,34,3060,-,-,3,-,-,66.6,0.2,-,6.60
170,Maxi Gómez,Valencia,27, FW,21(8),1961,5,1,5,1,1.5,64.8,2.9,1,6.60
171,Antonio Puertas,Granada,32, M(LR),25(8),2272,6,1,4,-,1,72.5,1.5,1,6.59
172,Anthony Lozano,Cadiz,31," AM(L),FW",21(10),1680,7,2,8,-,1.6,67.1,1.4,2,6.59
173,Íñigo Lekue,Athletic Club,31," D(LR),M(LR)",22(3),1928,-,2,3,-,0.3,72.5,0.7,-,6.59
174,Willian José,Real Betis,32, FW,19(13),1612,8,4,1,-,1.1,78.3,0.7,1,6.59
175,Daniel Wass,Valencia,34," D(LR),M(CLR)",19,1592,1,1,6,-,1.5,81.2,1.5,-,6.59
176,Joseph Aidoo,Celta Vigo,28, D(C),30(2),2641,-,-,1,-,0.2,81.2,1.9,1,6.58
177,Youssef En-Nesyri,Sevilla,26, FW,15(8),1282,5,1,1,-,1.6,66.5,2,-,6.58
178,Adnan Januzaj,Real Sociedad,29, AM(CLR),17(16),1626,3,-,5,-,1.3,75.6,0.3,1,6.57
179,Iza Carcelén,Cadiz,31, D(R),17(8),1546,-,1,2,-,0.4,78,0.6,2,6.57
180,Alexander Sørloth,Real Sociedad,28," AM(R),FW",20(13),1760,4,-,2,-,1.1,73.6,1.5,1,6.56
181,Omar Mascarell,Elche,31," D(C),DMC",30(2),2504,-,-,6,-,0.4,85.4,1.3,-,6.56
182,Luis Rioja,Deportivo Alaves,30, AM(LR),36(1),3128,1,3,3,-,1.2,69.6,0.5,-,6.56
183,Iván Balliu,Rayo Vallecano,32," D(R),M(R)",35,3148,1,2,10,1,0.4,76.3,0.7,-,6.56
