,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
190,Adrien Truffert,3,2,0.6,0.6,0.7,-,0.5,0.5
191,Gauthier Gallon,-,-,-,-,0.2,-,-,-
192,Thomas Delaine,1,2,0.6,0.8,0.5,-,0.6,0.6
193,Thilo Kehrer,2,-,0.3,0.1,0.2,-,0.4,0.4
194,Ilan Kebbal,1,4,0.9,0.9,1.6,0.2,1.2,1.2
195,Romain Del Castillo,-,6,0.6,1.1,1.1,-,1.2,1.2
196,Enock Kwateng,1,-,0.2,0.8,0.6,-,0.1,0.1
197,Marc-Aurèle Caillard,-,-,-,-,0.2,-,-,-
198,Mathias Pereira Lage,4,2,0.8,0.5,0.6,-,0.3,0.3
199,Hwang Ui-Jo,11,2,1.7,0.3,0.7,0.7,0.7,0.7
200,Florent Ogier,1,-,0.2,0.1,0.4,-,-,-
201,Pape Sarr,1,3,0.9,0.9,0.7,-,0.8,0.8
202,Alfred Gomis,-,-,-,-,0.1,-,-,-
203,Farid Boulaya,4,2,0.8,0.8,0.7,-,1,1
204,Remi Oudin,4,5,1.7,0.6,0.4,0.1,0.4,0.4
205,David Pereira da Costa,3,5,0.8,0.7,0.4,-,0.7,0.7
206,Joris Chotard,1,1,0.5,0.2,0.3,-,0.1,0.1
207,Lilian Brassier,1,-,0.4,0.2,0.5,-,0.1,0.1
208,Amadou Onana,1,-,0.5,0.4,0.8,0.1,0.3,0.3
209,Jean Lucas,1,1,0.9,1,0.9,0.1,0.9,0.9
210,Thomas Foket,1,-,0.3,0.4,0.9,0.2,0.6,0.6
211,Fábio,-,2,0.4,0.5,0.7,-,0.3,0.3
212,Flavius Daniliuc,-,-,0.2,0.3,0.2,-,0.1,0.1
213,Valère Germain,4,3,0.9,0.1,0.8,0.2,0.6,0.6
214,Gaël Kakuta,3,2,1.4,0.9,1.1,0.2,1.2,1.2
215,Ismail Jakobs,-,1,0.2,0.2,0.3,-,0.2,0.2
216,Vincent Le Goff,1,1,0.8,0.4,0.6,0.1,0.5,0.5
217,Léo Pétrot,1,-,0.2,-,0.5,-,0.1,0.1
218,Stian Gregersen,1,1,0.3,0.2,1,-,0.3,0.3
219,Cédric Hountondji,1,-,0.3,-,0.3,-,-,-
220,Issa Kaboré,-,1,0.2,1.5,1.4,0.1,0.8,0.8
221,Timothy Weah,3,4,1.2,0.7,0.7,0.2,0.7,0.7
222,Pape Gueye,-,1,1.1,0.1,1.4,0.1,0.6,0.6
223,Jordan Lotomba,-,-,0.3,0.7,0.8,0.1,0.6,0.6
224,Timothée Kolodziejczak,2,3,0.5,0.2,0.1,0.1,0.1,0.1
225,Arnaud Nordin,4,4,1.3,0.8,1.3,0.1,0.8,0.8
226,Lorenz Assignon,-,2,0.3,0.3,0.6,0.1,0.3,0.3
227,Pol Lirola,1,2,0.4,0.7,0.4,0.3,0.5,0.5
228,Elye Wahi,10,2,1.3,0.3,0.8,0.6,0.5,0.5
229,Fabien Lemoine,-,1,0.2,0.4,0.9,-,0.4,0.4
230,Dylan Bronn,1,2,0.5,0.2,0.4,0.1,0.2,0.2
231,Alexandre Oukidja,-,-,-,-,0.6,-,-,-
232,Serhou Guirassy,9,-,1.2,0.2,0.9,0.1,0.4,0.4
233,Dennis Appiah,-,-,0.1,0.4,0.1,0.1,0.2,0.2
234,Osman Bukari,2,4,0.8,0.9,0.3,0.2,0.9,0.9
235,Andreaw Gravillon,-,-,0.6,0.2,0.8,-,0.3,0.3
236,Hugo Magnetti,-,1,0.6,0.5,0.7,-,0.5,0.5
237,Oualid El Hajjam,1,1,0.5,0.2,0.6,-,0.3,0.3
238,Wesley Saïd,5,-,1.2,0.5,0.3,0.1,0.3,0.3
239,Batista Mendy,1,1,0.4,0.6,0.3,-,0.6,0.6
240,Alidu Seidu,-,-,0.4,0.4,1.3,-,0.6,0.6
241,Maxime Esteve,-,-,0.2,0.1,0.3,-,0.1,0.1
