,Name,Apps,Fouls_pg,Fouls_Tackles,Pen_pg,Yel_pg,Yel,Red_pg,Red
142,Antonio Rapuano,9,26.22,0.9,0.44,4.11,37,0.56,5
143,Davide Ghersini,8,21.38,0.72,0.63,3.25,26,0.13,1
144,Gianluca Aureliano,8,29.63,0.89,0.75,5.13,41,0.25,2
145,Marco Piccinini,8,26.0,0.92,0.38,4.25,34,0.5,4
146,Matteo Marchetti,8,26.13,0.95,0.5,4.5,36,0.0,0
147,Ivano Pezzuto,7,31.14,1.05,0.14,4.86,34,0.0,0
148,Federico Dionisi,7,26.86,1.09,0.43,3.57,25,0.43,3
149,Antonio Giua,6,25.67,0.91,0.5,5.33,32,0.17,1
150,Manuel Volpi,6,31.17,1.22,0.5,6.17,37,0.33,2
151,Piero Giacomelli,5,29.6,1.1,0.4,4.6,23,0.0,0
152,Marco Serra,5,24.8,0.93,1.0,5.2,26,0.2,1
153,Lorenzo Maggioni,4,29.0,0.82,0.5,5.0,20,0.25,1
154,Giacomo Camplone,3,30.0,0.97,0.0,3.67,11,0.67,2
155,Andrea Colombo,3,25.33,0.78,0.0,5.33,16,0.33,1
156,Matteo Marcenaro,3,28.33,0.89,0.33,4.67,14,0.0,0
157,Valerio Marini,2,28.5,0.95,1.5,5.5,11,0.0,0
158,Alberto Santoro,2,25.5,0.71,0.0,2.5,5,0.0,0
159,Matteo Gariglio,2,25.0,0.93,0.0,5.0,10,0.0,0
160,Francesco Cosso,2,25.0,1.04,1.0,5.0,10,1.0,2
161,Antonio Di Martino,1,26.0,0.93,0.0,3.0,3,0.0,0
162,Niccolò Baroni,1,23.0,0.77,2.0,3.0,3,0.0,0
163,Daniele Paterna,1,30.0,0.79,0.0,7.0,7,0.0,0
164,Francesco Meraviglia,1,29.0,0.73,0.0,7.0,7,0.0,0
165,Gianpiero Miele,1,27.0,0.53,0.0,4.0,4,0.0,0
166,Daniele Orsato,15,21.4,0.64,0.07,3.0,45,0.07,1
167,Fabio Maresca,15,25.6,0.99,0.27,5.33,80,0.2,3
168,Daniele Chiffi,15,23.47,0.73,0.13,4.47,67,0.2,3
169,Maurizio Mariani,14,24.07,0.72,0.21,4.5,63,0.0,0
170,Daniele Doveri,14,25.43,0.79,0.36,3.5,49,0.21,3
171,Davide Massa,14,27.64,0.85,0.07,6.21,87,0.29,4
172,Antonio Rapuano,14,22.43,0.67,0.29,4.5,63,0.21,3
173,Livio Marinelli,14,24.07,0.68,0.64,3.36,47,0.21,3
174,Michael Fabbri,12,23.17,0.81,0.25,4.75,57,0.33,4
175,Luca Pairetto,12,26.08,0.85,0.42,4.42,53,0.17,2
176,Giovanni Ayroldi,12,27.5,0.8,0.25,5.25,63,0.08,1
177,Andrea Colombo,12,22.83,0.71,0.17,4.75,57,0.0,0
178,Matteo Marcenaro,12,23.42,0.75,0.25,4.83,58,0.5,6
179,Marco Di Bello,11,28.55,0.88,0.55,5.0,55,0.18,2
180,Antonio Giua,11,23.64,0.79,0.55,5.18,57,0.36,4
181,Simone Sozza,11,26.09,0.73,0.27,5.0,55,0.0,0
182,Matteo Marchetti,11,27.45,0.9,0.64,4.09,45,0.27,3
183,Massimiliano Irrati,10,23.7,0.73,0.4,5.1,51,0.2,2
184,Rosario Abisso,10,24.6,0.77,0.5,3.9,39,0.3,3
185,Francesco Fourneau,10,24.2,0.78,0.2,4.7,47,0.0,0
186,Luca Massimi,10,22.7,0.71,0.2,4.1,41,0.4,4
187,Juan Luca Sacchi,9,25.0,0.83,0.22,3.22,29,0.22,2
188,Marco Piccinini,9,25.33,0.8,0.11,4.44,40,0.0,0
189,Federico Dionisi,9,28.11,0.82,0.22,4.56,41,0.11,1
190,Gianluca Aureliano,8,24.25,0.74,0.38,3.13,25,0.13,1
191,Paolo Valeri,7,26.86,0.87,0.43,4.57,32,0.14,1
