,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
132,Oliver Baumann,-,1,-,-,0.2,-,-,-
133,Hendrik Weydandt,6,1,2.2,0.4,1,0.3,1.3,1.3
134,Walace,1,1,0.7,1,1,0.1,1.2,1.2
135,Matthias Ginter,2,-,0.9,-,0.6,0.1,0.2,0.2
136,Nabil Bentaleb,3,-,0.8,0.8,0.6,-,0.5,0.5
137,Konrad Laimer,1,1,0.5,1.1,0.5,-,1.4,1.4
138,Jeffrey Gouweleeuw,-,2,0.3,0.4,0.4,-,0.5,0.5
139,Emiliano Insúa,2,2,0.3,1.2,0.4,-,0.7,0.7
140,Lucas Alario,9,3,1.6,0.2,0.9,0.5,0.9,0.9
141,Rune Jarstein,-,-,-,-,0.1,-,-,-
142,Waldemar Anton,1,-,0.7,0.5,0.6,-,0.4,0.4
143,Michael Rensing,-,-,-,-,0.1,-,-,-
144,Christoph Kramer,2,1,0.4,0.5,0.8,-,0.9,0.9
145,Oscar Wendt,1,1,0.3,0.2,0.6,-,0.2,0.2
146,Christian Mathenia,-,-,-,-,0.2,-,-,-
147,Julian Weigl,1,-,0.2,0.3,0.9,-,0.2,0.2
148,Ralf Fährmann,-,-,-,-,-,-,-,-
149,Jean-Philippe Gbamin,2,1,1.2,1.1,0.9,-,1.6,1.6
150,Jirí Pavlenka,-,-,-,-,0.1,-,-,-
151,Michael Gregoritsch,6,2,2.7,0.4,0.9,0.5,0.8,0.8
152,Aleksandar Dragovic,2,-,0.2,-,0.3,0.1,0.1,0.1
153,Marco Richter,4,6,2.2,1.4,1,0.3,1.7,1.7
154,Genki Haraguchi,-,3,1.1,1.6,1.3,-,1,1
155,Dominique Heintz,1,1,0.3,0.6,0.3,0.1,0.3,0.3
156,Pierre Kunde,-,-,1,0.8,0.9,-,0.8,0.8
157,Ádám Szalai,6,3,2.2,0.3,0.8,0.3,0.7,0.7
158,Tobias Strobl,-,4,0.3,0.2,0.8,-,0.3,0.3
159,Davie Selke,3,5,1.5,0.7,0.9,0.4,1,1
160,Yannick Gerhardt,2,2,1.2,0.3,1.4,0.2,1.2,1.2
161,Danny Latza,-,3,1.6,0.7,1.7,0.1,1,1
162,Mathew Leckie,2,-,1.2,0.6,1,0.2,1,1
163,Vedad Ibisevic,10,2,1.8,0.5,0.5,0.9,0.9,0.9
164,Kevin Danso,1,1,0.6,0.1,0.8,-,0.3,0.3
165,Daniel Ginczek,6,2,1.5,0.6,0.6,0.2,1,1
166,Amine Harit,1,1,0.7,2,2.8,0.1,2.2,2.2
167,Benjamin Stambouli,-,2,0.1,0.4,0.7,-,0.4,0.4
168,Rouwen Hennings,7,4,2,0.1,0.8,0.2,0.4,0.4
169,Nicolas Höfler,-,-,0.7,0.6,1.3,-,0.7,0.7
170,Niklas Moisander,-,-,0.3,0.4,0.4,-,0.2,0.2
171,Alexander Schwolow,-,1,-,-,0.1,-,-,-
172,Moussa Niakhaté,1,1,0.3,0.2,0.6,-,0.2,0.2
173,Yuya Osako,3,2,1.3,0.9,1,0.1,2.1,2.1
174,Florian Neuhaus,3,8,1.6,0.9,1.3,-,1.1,1.1
175,Robin Quaison,7,3,1.8,0.8,0.8,0.4,2.1,2.1
176,Arne Maier,-,-,0.8,0.9,0.6,-,0.5,0.5
177,Fabian Lustenberger,-,1,0.1,0.1,1.2,-,0.2,0.2
178,Marvin Plattenhardt,1,2,0.5,0.5,1,0.1,0.6,0.6
179,Gelson Fernandes,1,-,0.1,0.2,0.2,-,0.5,0.5
180,Michael Lang,1,-,0.6,0.1,0.4,0.1,0.1,0.1
181,Denis Zakaria,4,-,1.2,0.9,0.6,-,0.7,0.7
182,Georg Margreitter,2,-,0.6,0.2,0.5,-,0.3,0.3
183,Daniel Brosinski,3,5,0.7,0.2,0.5,-,0.4,0.4
184,Karim Rekik,-,-,0.3,0.2,1,-,0.3,0.3
185,Eduard Löwen,3,2,1.7,1.3,1.2,-,1.6,1.6
186,Roman Bürki,-,-,-,-,0.3,-,-,-
187,Sebastian Langkamp,-,-,0.5,0.1,0.7,-,-,-
188,Lukás Hrádecky,-,-,-,-,0.1,-,-,-
189,Daniel Baier,-,1,0.8,0.5,1.5,-,0.8,0.8
190,Reiss Nelson,7,-,0.9,0.7,0.2,0.1,0.5,0.5
191,Robin Koch,1,-,0.5,0.3,0.8,0.1,0.6,0.6
192,Koo Ja-Cheol,2,1,1,0.5,1.4,0.1,1.6,1.6
193,Manuel Gulde,1,-,0.3,-,1,-,-,-
194,Hanno Behrens,4,1,1.3,0.3,0.8,0.1,0.5,0.5
195,Mario Gomez,7,2,1.7,0.3,0.7,0.4,0.7,0.7
196,Milos Veljkovic,1,-,0.4,-,0.3,-,0.1,0.1
197,Felipe Trevizan,2,-,0.6,0.1,1,-,0.2,0.2
198,Leonardo Bittencourt,1,3,1.1,0.5,1.4,0.1,0.7,0.7
199,Kenan Karaman,3,1,1,0.9,0.7,0.3,0.8,0.8
200,Jacob Bruun Larsen,2,2,1.1,0.7,0.4,0.2,0.9,0.9
201,Christian Günter,-,5,0.9,1.2,0.8,0.2,0.7,0.7
202,Josip Brekalo,3,3,1,1.2,0.8,0.1,1,1
203,Javairô Dilrosun,2,3,0.6,0.5,1.2,-,0.8,0.8
204,Pascal Stenzel,-,2,1.2,0.3,0.5,-,0.3,0.3
205,Martin Harnik,4,2,1.6,0.3,0.3,0.4,0.5,0.5
206,Alfredo Morales,1,1,0.8,0.2,0.7,-,0.7,0.7
207,Suat Serdar,2,1,1.2,1.4,1.1,0.1,1.4,1.4
208,Adam Bodzek,-,1,0.1,0.1,2,-,0.3,0.3
209,Jérôme Gondorf,2,2,0.9,0.2,1,0.1,0.7,0.7
210,Daniel Didavi,2,2,1.2,0.6,1.5,0.3,1.1,1.1
211,Renato Steffen,5,1,0.9,0.6,0.9,0.1,0.5,0.5
212,Matija Nastasic,1,-,0.8,-,0.2,-,0.1,0.1
213,Patrick Herrmann,3,2,0.8,0.5,0.4,0.1,0.3,0.3
214,Tim Leibold,-,2,0.9,0.8,1.3,0.1,0.6,0.6
215,Christian Gentner,-,5,1,0.4,1.1,0.1,0.6,0.6
216,Alexander Nübel,-,-,-,-,0.2,-,-,-
217,Gonzalo Castro,2,4,0.5,0.2,0.6,-,0.8,0.8
218,Mike Frantz,2,1,0.6,0.2,1.1,0.2,0.5,0.5
219,Santiago Ascacíbar,-,-,0.7,0.5,1.2,-,0.7,0.7
220,Ondrej Petrák,-,-,0.6,0.2,0.8,-,0.5,0.5
221,Linton Maina,1,3,1.1,1,0.8,0.1,0.9,0.9
222,Kevin Vogt,-,-,0.1,0.1,0.4,-,0.1,0.1
223,Elvis Rexhbeçaj,2,2,0.4,0.4,1.4,-,0.8,0.8
224,Oliver Sorg,-,-,0.2,0.5,1.5,-,0.2,0.2
225,Ron-Robert Zieler,-,-,-,0.1,-,-,-,-
226,Florent Muslija,2,-,1.2,0.9,0.9,0.1,0.9,0.9
227,Lukas Mühl,1,-,0.4,0.2,0.2,-,0.1,0.1
228,Kevin Möhwald,3,1,0.9,0.4,1,-,0.4,0.4
