,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
53,Ben Chilwell,1.6,0.9,0.9,0.1,1.7,0.7,0.1,-
54,Emiliano Martínez,0.1,0.1,-,-,0.4,-,-,-
55,Frank Anguissa,2.2,1.6,1.2,-,0.4,1.1,0.2,-
56,Yves Bissouma,2.9,1.8,1.5,-,1.8,0.9,0.2,-
57,Richarlison,1.4,0.4,1,-,1,1,0.1,-
58,Harvey Barnes,0.8,0.3,0.6,-,0.4,0.7,0.1,-
59,Jack Harrison,1.8,0.4,0.8,-,0.5,0.9,0.1,-
60,Matheus Pereira,0.8,0.9,1,-,0.4,1.3,-,-
61,Vladimír Coufal,2.1,1.2,0.9,0.3,2.6,1.1,0.2,-
62,Pierre-Emile Højbjerg,2.6,1.3,1.8,-,1.7,2,0.2,-
63,Luke Ayling,2.8,0.9,0.8,0.4,2,1,0.9,-
64,Reece James,1.7,0.5,1,0.1,1.3,0.7,0.2,-
65,Oriol Romeu,3.3,1.4,1.4,-,0.7,2,0.3,-
66,Matty Cash,2.5,2.1,1.3,0.1,2.9,1.2,0.4,-
67,Scott McTominay,1.6,0.9,1.5,-,1.3,0.4,0.3,-
68,Ben Mee,1.1,1.4,0.5,0.7,4.9,0.5,1.5,-
69,Fred,2.7,1.5,1.5,-,0.7,2,0.3,-
70,César Azpilicueta,2,1.1,1.2,0.1,2.3,0.7,0.2,-
71,Ademola Lookman,1,0.6,1.4,-,0.2,0.9,-,-
72,Michael Keane,0.8,1.5,0.4,0.3,4.5,0.5,0.9,-
73,Rúben Dias,0.8,1.1,0.7,0.3,2.8,0.3,0.7,1
74,Thiago Silva,0.9,1.4,0.6,0.6,3.6,0.3,0.6,-
75,Illan Meslier,-,-,-,-,1.2,-,-,1
76,Matt Targett,2.2,1.4,0.7,0.2,2.3,0.8,0.4,-
77,Diogo Jota,0.6,0.3,1.3,-,0.2,1.4,-,-
78,Nélson Semedo,2.4,1.2,1.2,0.2,2,0.9,0.3,1
79,Jannik Vestergaard,1.7,1.4,0.6,0.5,4,0.6,0.5,-
80,Alexandre Lacazette,0.6,0.4,1.2,-,0.4,0.6,-,-
81,Andros Townsend,2.3,1.2,0.8,-,0.4,1.4,0.1,-
82,John McGinn,1.6,1.2,1.2,0.1,0.6,1.5,0.2,-
83,Wilfried Zaha,0.9,0.3,1.1,-,-,0.6,-,-
84,Andy Robertson,1.2,0.6,0.6,0.3,1.8,0.8,0.2,-
85,Bukayo Saka,0.8,0.8,0.9,-,0.6,0.9,0.1,1
86,Jorginho,2,1.4,1.1,-,0.7,1.6,0.2,-
87,Jonny Evans,0.9,1.6,0.6,0.6,3.4,0.2,0.1,1
88,Stuart Dallas,1.9,1.2,1.1,0.1,1.2,1.5,0.1,-
89,Dwight McNeil,1.3,0.9,0.3,-,0.5,1.1,0.2,-
90,Nick Pope,-,0.1,0.1,-,1.3,-,-,-
91,Romain Saïss,1.2,1.9,1.1,0.5,4,0.5,0.5,-
92,Tanguy Ndombélé,1.2,0.6,0.8,-,0.3,0.8,0.1,-
93,Yerry Mina,0.9,1,0.9,0.3,4.5,0.2,1,-
94,N'Golo Kanté,2.6,2,1.2,-,0.9,1,0.1,-
95,Toby Alderweireld,1.4,0.4,0.7,0.7,4.6,0.5,1.1,1
96,Dani Ceballos,1.5,1.4,0.9,0.1,0.6,1.2,0.2,-
97,Bertrand Traoré,0.7,0.4,0.9,-,0.3,0.7,-,-
98,Mateo Kovacic,1.7,0.6,0.6,-,0.3,0.6,-,-
99,Joël Veltman,2.4,1.2,1.2,0.2,2.1,1,0.2,-
100,Oleksandr Zinchenko,1.3,1.2,0.5,0.2,1.3,0.5,0.2,-
101,Antonee Robinson,1.6,1.3,0.7,0.1,1.9,0.6,0.1,-
102,Kelechi Iheanacho,0.5,0.1,1,-,-,0.5,-,-
103,Anthony Martial,0.1,-,0.7,-,0.4,0.5,0.1,-
104,Lewis Dunk,0.9,1,0.7,0.7,3.2,0.2,0.6,1
105,Kyle Walker-Peters,2.8,1.3,1.1,0.2,1.7,0.8,0.3,-
106,Danny Ings,0.8,0.1,0.7,-,0.7,0.6,0.1,-
107,Callum Wilson,0.5,0.3,1.5,-,0.5,0.4,0.1,-
108,Trézéguet,1.6,0.9,1.9,-,0.6,1.5,-,-
109,Timothy Castagne,1.9,1.1,0.7,0.2,1.9,0.7,0.2,-
110,Pascal Groß,1.3,0.7,0.6,-,0.4,0.9,0.1,-
111,Fabinho,1.9,1.5,1,0.5,2.2,0.9,0.3,-
112,Stuart Armstrong,1.8,0.7,1,0.1,0.6,1.5,-,-
113,Jordan Henderson,1.1,1.6,0.4,0.6,1.2,0.8,-,-
114,Aaron Cresswell,0.9,0.9,0.4,0.1,2,0.4,0.4,-
115,Rúben Neves,2.4,1.8,1.3,0.1,1.1,1.4,0.3,-
116,Chris Wood,0.4,-,1.2,-,0.6,0.4,0.1,-
117,Eberechi Eze,0.8,0.7,0.5,-,0.2,0.6,0.1,-
118,Fernandinho,1.5,1.1,1,0.1,0.8,1.1,0.1,-
119,Timo Werner,0.6,0.2,0.8,-,0.2,1,-,-
120,Pascal Struijk,1.8,1.7,1,0.2,3.1,0.4,0.8,-
121,Tyrone Mings,0.9,1.1,0.6,0.4,4.7,0.2,1.1,1
122,Jonjo Shelvey,1.3,1.2,1,-,1.3,0.9,0.5,-
123,Leandro Trossard,0.9,0.7,0.8,-,0.1,0.7,0.1,-
124,Joachim Andersen,1.1,1.4,1.3,1.1,4.8,0.4,0.4,-
125,Karl Darlow,-,-,-,-,1.7,-,-,-
126,Rob Holding,1.4,0.8,0.8,0.5,4,0.6,0.9,1
127,Anwar El Ghazi,0.6,0.2,0.6,-,0.4,0.6,-,-
128,Abdoulaye Doucouré,1.8,1.3,0.8,0.1,0.9,1,0.2,-
129,Pablo Fornals,1.3,1.1,0.8,-,0.2,1.9,-,-
