,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
45,Nicolò Barella,1.6,0.7,1.2,-,0.3,1.4,0.1,-
46,Alex Sandro,1.4,1.2,1,0.1,2,0.5,0.2,1
47,Rodrigo Bentancur,1.9,1.4,1.4,-,1.2,1.2,0.4,-
48,Vlad Chiriches,1.6,2.1,1.3,1,2.3,0.6,0.9,1
49,Roberto Soriano,1.3,0.5,2,-,1.1,1.3,0.2,-
50,Davide Faraoni,1.9,1.4,1.4,0.1,2.2,0.8,0.5,-
51,Álvaro Morata,0.5,0.2,1.2,-,0.7,0.8,0.1,-
52,Andrea Consigli,0.1,-,0.1,-,0.7,-,-,-
53,Edin Dzeko,0.3,-,0.9,-,0.4,0.2,0.1,-
54,Berat Djimsiti,1.2,1.9,0.9,0.2,2.5,0.5,0.6,-
55,Omar Colley,1,2.3,1.2,1.2,4.6,0.3,1,-
56,Federico Dimarco,0.9,1.3,0.9,0.1,1.3,0.5,0.3,-
57,Dusan Vlahovic,0.4,0.1,1.4,-,0.4,0.3,0.1,-
58,Adrien Rabiot,2.1,1.3,1.3,-,0.8,0.9,0.3,-
59,Joaquín Correa,0.8,0.3,0.9,-,0.4,0.6,-,-
60,Milan Skriniar,1.5,0.9,1.1,0.2,2.7,0.3,0.6,-
61,Gianluca Mancini,1.6,2.2,2,0.9,2.2,0.5,0.6,-
62,Mattia Zaccagni,0.8,0.8,1,-,0.3,0.5,0.1,-
63,Stefan de Vrij,0.9,1.3,0.6,0.3,2.9,0.3,0.6,-
64,Dries Mertens,0.6,0.3,0.5,-,0.1,0.7,-,-
65,Morten Thorsby,2.3,0.8,2.2,0.1,0.8,1.2,0.5,-
66,Rafael Leão,0.4,0.1,0.9,-,0.4,0.3,-,-
67,Simone Bastoni,2.3,0.7,1.6,0.2,1.3,1.1,-,-
68,Kalidou Koulibaly,1.4,1.1,1.1,0.7,2.2,0.5,1,-
69,Bremer,1.5,2.1,0.9,0.4,4.1,0.5,0.6,-
70,Ibañez,2,2.3,1.8,0.9,2.6,0.7,0.6,1
71,Alessandro Bastoni,1.1,1.2,1.2,0.2,2.2,0.3,0.5,-
72,Francesco Acerbi,1.6,2.4,1,0.3,3.6,0.7,0.5,-
73,Matteo Politano,0.6,0.4,0.4,-,0.5,1,-,-
74,Jérémie Boga,0.4,0.3,0.3,-,0.2,0.3,-,-
75,Hans Hateboer,1.3,0.8,0.9,0.1,0.4,0.5,-,-
76,Kevin Strootman,1.7,1.4,1.4,0.1,0.8,1,0.2,-
77,Wilfried Singo,1,1,1,0.1,1.3,0.6,0.1,-
78,Gian Marco Ferrari,0.9,1.5,1.2,0.5,2.8,0.4,1.1,-
79,Musa Barrow,0.7,0.3,0.4,-,0.3,0.4,0.1,-
80,Matthijs de Ligt,1.4,1.1,1.5,0.3,2.4,0.4,0.8,-
81,Koray Günter,0.7,2.6,1.1,0.4,3.1,0.2,0.9,-
82,Franck Ribéry,0.8,0.1,1.2,-,-,0.8,0.1,-
83,Emil Audero,-,-,-,-,0.6,-,-,-
84,Elseid Hysaj,1.2,1.3,0.7,0.1,1.8,0.7,0.2,-
85,Alessio Cragno,-,-,0.1,-,0.7,-,-,-
86,Gianluigi Donnarumma,-,-,-,-,0.9,-,-,-
87,Alexis Sánchez,0.5,0.2,0.6,-,-,0.4,-,-
88,M'Bala Nzola,0.5,0.1,2.2,-,0.8,0.1,-,-
89,Antonio Candreva,0.8,0.3,0.4,0.1,0.5,0.9,0.1,-
90,Nikola Milenkovic,1.4,1.3,1.6,0.8,3.6,0.4,1,-
91,Mattia Perin,-,-,0.1,-,0.6,-,-,-
92,Razvan Marin,1.5,0.8,1.3,-,0.4,0.7,0.3,-
93,Armando Izzo,1.2,2.1,1.7,0.3,2.4,0.8,0.4,-
94,Francesco Caputo,-,-,0.6,-,0.1,0.1,-,-
95,Diego Demme,2.3,0.5,1.4,-,0.6,1.7,-,-
96,Takehiro Tomiyasu,1.5,1.7,1,0.5,3.3,0.4,0.6,1
97,Bram Nuytinck,1.1,1.3,0.4,0.1,3.6,0.4,0.9,-
98,Davide Zappacosta,1.3,0.7,0.9,-,1.5,0.6,-,-
99,Tiémoué Bakayoko,2.2,1.1,1.1,-,0.3,0.5,0.1,-
100,Stefan Radu,1.4,1.5,0.6,0.2,2.3,0.5,0.5,-
101,Aaron Ramsey,1,0.3,0.9,-,0.3,0.8,0.1,-
102,Alessio Romagnoli,0.8,1.1,0.9,0.4,3.5,0.5,1,-
103,Cristian Ansaldi,1.5,0.5,0.8,0.2,1,0.5,0.2,-
104,Radja Nainggolan,1.9,0.7,1,-,0.7,0.7,-,-
105,Gianluca Caprari,0.5,0.6,0.8,-,0.2,0.8,-,-
106,Simy,0.2,0.2,1.3,-,1.3,0.5,0.1,-
107,José Palomino,1.9,2.2,1.3,0.3,1.5,0.7,0.4,-
108,Hernani,1.5,0.9,1.5,-,1.1,1.1,0.1,-
109,Bartosz Bereszynski,2.1,1.4,0.9,0.3,2.2,1,0.6,-
110,Diogo Dalot,1.5,1.2,1.2,-,1.8,0.8,0.2,-
111,Nahitan Nández,1.8,0.7,1.3,0.1,1.5,1.3,0.1,-
112,Riccardo Orsolini,1.1,0.3,0.6,-,0.6,0.7,0.1,-
113,Filip Djuricic,1,0.3,1.6,-,0.4,0.6,0.1,-
114,Wojciech Szczesny,-,0.1,-,-,0.7,-,-,-
115,Fabio Quagliarella,0.4,0.2,0.8,-,0.3,0.5,-,-
116,Ismaël Bennacer,1.9,1,1,-,0.6,0.8,-,-
117,Giacomo Bonaventura,1,1.1,1.1,-,0.3,1.1,0.1,-
118,Lukasz Skorupski,-,-,-,-,1.2,0.1,-,-
119,Rodrigo Palacio,0.4,0.2,1.1,-,0.8,0.4,-,-
120,Giangiacomo Magnani,1,1.8,1.8,0.2,4,0.3,0.6,1
121,Yordan Osorio,1,2.3,0.7,0.6,3.2,0.7,0.8,-
122,Gastón Brugman,1.3,1.7,1,-,1.2,1.3,0.2,-
123,Gianluca Scamacca,0.7,0.3,1.2,-,0.5,0.5,0.2,1
124,Arkadiusz Reca,1.1,1.7,1.1,0.2,1.9,1.2,0.1,-
125,Christian Eriksen,0.5,0.3,0.5,-,0.4,0.5,-,-
126,Jerdy Schouten,1.5,2.3,1.4,0.1,1,0.6,0.4,-
127,Antonín Barák,0.9,0.4,1.8,-,1.1,1,0.2,-
128,Dejan Kulusevski,0.9,0.3,1.2,-,0.1,0.8,-,-
129,Mattia Destro,0.2,0.1,1.3,-,0.3,0.2,-,-
130,Jordan Veretout,0.7,0.4,1.1,-,0.7,0.8,0.1,-
131,Hamed Traorè,0.8,0.5,0.7,-,0.3,0.6,0.1,-
132,Erick Pulgar,1.3,1.3,0.7,0.1,1.3,0.9,0.3,-
133,Weston McKennie,1,0.8,1.3,-,0.7,0.6,0.1,-
134,Giuseppe Pezzella,1.4,0.5,1,0.1,1.8,0.8,0.4,-
135,Domenico Criscito,1.9,1.9,1,0.3,2.2,0.7,0.6,-
