,Name,AvgP,PSp,Crosses,LonB,ThrB
156,Manuel Gulde,37.9,87.6,-,2,-
157,Wendell,48.1,86,0.2,2.1,-
158,Daley Sinkgraven,49.1,81.9,0.1,3,-
159,Robin Zentner,28.2,60.2,-,5.3,-
160,Manuel Neuer,34.2,84.2,-,6.2,-
161,Ermedin Demirovic,8.2,53,0.1,0.1,-
162,Manuel Prietl,34.7,79.8,-,1.5,-
163,Charles Aránguiz,54.9,85.8,-,2.1,-
164,Makoto Hasebe,57.3,88.4,0.1,3.1,-
165,Josuha Guilavogui,21.5,84.1,-,1.4,-
166,Anderson Lucoqui,25.6,67,0.2,1.3,-
167,Leonardo Bittencourt,21.2,76,0.7,0.6,-
168,Alexander Schwolow,30.3,77.3,-,6.8,-
169,Peter Pekarík,31.2,82.7,0.6,1.4,-
170,Aleksandar Dragovic,56.1,88.9,0.2,4.3,0.1
171,Sebastian Rode,37.7,85.5,0.1,1.6,-
172,Lukas Klostermann,48.3,87,0.1,1.8,-
173,Philipp Lienhart,57,85,-,4.2,-
174,Stefan Posch,51.6,79,0.4,3.1,-
175,Jérôme Roussillon,25.5,77.3,0.4,1.4,-
176,Maximilian Philipp,14.9,76,0.1,0.4,-
177,Oliver Baumann,37.8,74.7,-,5.7,-
178,Julian Brandt,28.8,85.2,0.3,1.5,-
179,Reece Oxford,28.2,82,-,1.5,-
180,Moussa Niakhaté,41.8,75.3,0.3,3.1,-
181,Suat Serdar,24,75.8,-,1.6,-
182,Karim Onisiwo,11.9,64.9,0.1,0.1,-
183,Milot Rashica,15.4,73.2,0.5,0.8,-
184,Mark Uth,24.3,80,1,1.6,0.1
185,Niklas Stark,47,82.8,0.1,3.1,-
186,Jirí Pavlenka,28.7,70.4,-,7.2,-
187,Marcel Hartel,32.6,77.3,0.8,1.2,-
188,Tuta,51.1,84.7,0.1,2.2,-
189,Kevin Trapp,36.1,66.5,-,7.6,-
190,Florian Niederlechner,11.1,68.2,0.1,0.3,0.1
191,Marco Friedl,51.6,80.4,0.2,5.5,-
192,Marius Wolf,32.9,67.3,0.3,2,-
193,Luka Jovic,15.8,78.6,-,0.8,0.1
194,Daniel Didavi,15.9,77,0.2,0.7,-
195,Péter Gulácsi,30.3,85.3,-,4.8,-
196,Milos Veljkovic,37.3,74.2,-,3.8,-
197,Mu'nas Dabbur,14.1,71.1,0.2,0.3,-
198,Raphael Framberger,24.6,59.8,0.5,0.9,-
199,Robin Quaison,11.1,67.5,-,0.4,-
200,Aymen Barkok,16.7,76.3,0.5,0.5,-
201,Noah Katterbach,25.1,78,0.3,1.3,-
202,Sven Bender,56.6,89.8,0.1,2,-
203,Sebastian Rudy,33.6,77.4,0.6,1.2,-
204,Andreas Voglsammer,13.7,57.1,0.3,0.2,-
205,Taiwo Awoniyi,13.8,66.8,-,0.3,-
206,Marcus Ingvartsen,20.3,74.1,0.4,0.6,-
207,Denis Zakaria,25.6,88,-,0.9,-
208,Valentino Lazaro,22,79.3,0.5,0.8,-
209,Roman Bürki,27.4,78.3,-,4.5,-
210,Dominique Heintz,45.4,86.8,0.1,4.7,-
211,Kingsley Ehizibue,20,75.1,0.6,0.8,-
212,Tanguy Coulibaly,13.5,74.2,0.2,0.2,-
213,Philipp Förster,26.4,79.8,0.5,0.4,0.1
214,Eric Choupo-Moting,9.9,79.4,-,0.1,-
215,Benjamin Stambouli,42.5,74.4,-,2.9,-
216,Philipp Klement,17.7,82.1,0.9,0.9,-
217,Malick Thiaw,38.5,80.2,-,1.8,-
218,Justin Kluivert,11.6,73.2,0.3,0.2,-
219,Lukás Hrádecky,41.7,74.8,-,7.7,-
220,Kevin Möhwald,35.1,86,0.2,1.4,-
221,Robert Skov,17.7,75.4,0.7,0.9,-
222,Krzysztof Piatek,12,72.3,0.1,0.4,-
223,Atakan Karazor,36.9,86.2,-,0.8,-
224,Danny Latza,24,72,0.4,1.1,-
225,Timo Horn,35.6,72.7,-,9.1,-
226,Lukas Kübler,16.6,69.9,0.2,1.7,0.1
227,Admir Mehmedi,23,80.4,0.2,0.8,0.1
228,Jonathan Burkardt,12.3,71.8,-,0.5,0.1
229,Rani Khedira,24.2,71.1,0.1,0.8,-
230,Roberto Massimo,12.5,76,0.1,0.3,-
231,Omar Mascarell,36.4,82.7,0.1,3.2,-
232,Mateo Klimowicz,12.5,77.9,-,0.5,-
233,Yann Sommer,36,80.3,-,6.3,-
234,Deyovaisio Zeefuik,16.9,71.5,0.5,0.7,-
235,Dominick Drexler,18.1,79.6,0.3,0.6,-
236,Karim Bellarabi,15.1,79.8,0.5,0.5,-
237,Sargis Adamyan,7.9,68.5,0.1,0.1,-
238,Ismail Jakobs,23.2,69.9,0.5,0.9,-
239,Matthew Hoppe,11.4,68.9,-,0.1,-
240,Steven Zuber,14.2,78.9,0.3,0.8,-
241,Stefan Ilsanker,32.1,79.2,-,1.5,-
242,Mike van der Hoorn,38,86.6,-,3,-
243,Daniel Brosinski,27.3,68.6,1.1,1.9,-
244,Jeong Woo-Yeong,13.8,76.3,0.1,0.4,-
245,Marco Richter,13.8,65.9,0.3,0.9,-
246,Christian Groß,37.5,85.3,-,1.5,-
247,Nils Petersen,7.4,64.3,-,0.2,-
248,Sergio Córdova,10.3,66.7,0.1,0.3,-
249,Kevin Stöger,17.7,73.8,0.7,0.9,-
250,Javi Martínez,20.3,89.6,-,1.3,-
251,Patrick Herrmann,10.6,74.4,0.4,0.3,-
252,Kevin Vogt,62.9,89.3,-,7.5,-
253,Timo Becker,33.3,76,0.2,1.4,-
254,Carlos Gruezo,28.1,79.6,-,2.3,-
255,Jean-Manuel Mbom,15.2,67.7,0.2,0.5,-
256,Christian Gentner,21.1,77,0.1,1,-
257,Davie Selke,8.8,55,-,0.1,-
258,Romano Schmid,20.4,70.6,0.3,0.5,-
259,Jannes Horn,25.9,79.7,0.6,1.8,-
260,Fabian Kunze,22,76,-,0.7,-
261,Tobias Strobl,27.6,81.9,0.1,1.7,-
262,Pascal Stenzel,42.8,85.1,-,3.6,-
263,Hannes Wolf,17,76.3,-,0.2,0.1
264,Michael Gregoritsch,10.1,65.7,0.2,0.3,-
265,Niklas Moisander,51.8,86.7,-,3.9,-
266,Marius Bülter,10,66.4,0.4,0.2,-
267,Oscar Wendt,25.7,77,0.4,0.6,-
268,Cedric Teuchert,7.4,70.2,0.1,0.3,-
269,Robert Gumny,17.3,75.5,0.2,0.3,-
270,Salih Özcan,24.2,80.5,-,1,-
271,Julian Ryerson,18.1,74,0.2,1,-
272,Mijat Gacinovic,15.5,76.1,0.2,0.4,-
273,Yuya Osako,9.6,69.1,0.1,0.3,-
274,Victor Sá,8.3,80.5,-,0.1,-
275,Bastian Oczipka,31.9,78.7,0.8,1.4,-
276,Bartosz Bialek,3.9,67.6,-,0.4,-
277,Jan Thielmann,12.6,67.3,0.2,0.1,-
278,Ádám Szalai,11.2,56.2,-,0.3,0.1
279,Benito Raman,11.6,68,0.3,0.7,-
280,Sven Schipplock,5.3,55.6,-,0.1,-
281,Christian Gebauer,7.2,67.5,-,0.5,-
282,Hwang Hee-Chan,6.7,65.8,-,0.2,-
283,Sebastian Griesbeck,9.4,72.6,-,0.3,-
284,Alessandro Schöpf,16.9,81.6,0.1,0.2,-
