,Rank,Name,Nation,Pos,Team,Age,Born,Mp,Start,Min,Goals,Ast,G_A,G_PK,PK,PKatt,Yellow,Red
253,254,Kim Minseok,kr KOR,FW,Incheon United,20,2002,18,7,458,2,0,2,2,0,0,0,0
254,255,Kang Minsung,kr KOR,FW,Suwon FC,17,2005,12,11,260,0,0,0,0,0,0,0,0
255,256,Ko Moo-yeol,kr KOR,FW,Suw Bluewings,32,1990,6,0,193,0,0,0,0,0,0,0,0
256,257,Kim Moonhwan,kr KOR,"DF,MF",Jeonbuk,27,1995,11,11,858,0,1,1,0,0,0,0,1
257,258,Stefan Mugoša,me MNE,FW,Incheon United,30,1992,9,7,594,3,1,4,2,1,1,1,0
258,259,Fejsal Mulić,rs SRB,FW,Suw Bluewings,28,1994,22,4,905,3,1,4,3,0,0,2,0
259,260,Hwang Mun-ki,kr KOR,"DF,FW",Gangwon,26,1996,20,8,728,0,0,0,0,0,0,0,0
260,261,Go Myeongseok,kr KOR,DF,Suw Bluewings,27,1995,22,15,"1,434",0,0,0,0,0,0,3,0
261,262,Lee Myung-jae,kr KOR,DF,Ulsan Hyundai,29,1993,30,29,"2,460",0,5,5,0,0,0,2,0
262,263,Lee Myung-joo,kr KOR,MF,Incheon United,32,1990,25,24,"1,982",2,1,3,2,0,0,5,0
263,264,Oberdan,br BRA,MF,Pohang,27,1995,33,33,"2,941",1,2,3,1,0,0,4,0
264,265,Kim Oh-gyu,kr KOR,DF,Jeju United FC,33,1989,30,28,"2,525",1,0,1,1,0,0,8,0
265,266,Tiago Orobó,br BRA,FW,Daejeon Citizen FC,29,1993,36,28,"2,571",17,7,24,15,2,2,4,0
266,267,Osmar,es ESP,"DF,MF",FC Seoul,34,1988,35,33,"2,976",2,3,5,2,0,0,5,1
267,268,Aleksandar Paločević,rs SRB,"MF,FW",FC Seoul,29,1993,35,33,"2,521",4,3,7,4,0,0,5,0
268,269,Tomáš Petrášek,cz CZE,DF,Jeonbuk,30,1992,7,4,374,0,0,0,0,0,0,1,0
269,270,Werik Popó,br BRA,FW,Suw Bluewings,21,2001,7,5,327,0,0,0,0,0,0,1,0
270,271,Valeri Qazaishvili,ge GEO,MF,Ulsan Hyundai,30,1993,35,20,"2,248",11,1,12,10,1,1,1,0
271,272,Isnairo Reis,br BRA,"FW,MF",Jeju United FC,30,1993,36,24,"2,824",8,4,12,5,3,3,5,0
272,273,Yeo Reum,kr KOR,MF,Incheon United,33,1989,2,1,75,0,0,0,0,0,0,0,0
273,274,Jonathan Ring,se SWE,"MF,FW",Jeju United FC,31,1991,11,4,546,0,0,0,0,0,0,0,0
274,275,Min Sang-gi,kr KOR,"DF,MF",Suw Bluewings,31,1991,1,0,9,0,0,0,0,0,0,0,0
275,276,Na Sang-ho,kr KOR,"MF,FW",FC Seoul,26,1996,38,34,"2,970",12,4,16,10,2,3,1,0
276,277,Yu Sang-hun,kr KOR,GK,Gangwon,33,1989,20,20,"1,800",0,0,0,0,0,0,1,0
277,278,Lim Sang-hyub,kr KOR,"MF,FW",FC Seoul,34,1988,22,19,"1,432",3,2,5,3,0,0,2,0
278,279,Lee Sang-ki,kr KOR,DF,Gwangju FC,26,1996,19,7,671,0,0,0,0,0,0,0,0
279,280,Sim Sang-min,kr KOR,DF,Pohang,29,1993,21,19,"1,724",0,2,2,0,0,0,0,0
280,281,Paik Sanghoon,kr KOR,MF,FC Seoul,21,2002,2,1,78,0,0,0,0,0,0,0,0
281,282,Park Sanghyeok,kr KOR,FW,Gangwon,20,2002,24,12,733,4,0,4,4,0,0,1,0
282,283,Lee Sangmin,kr KOR,"FW,MF",Suw Bluewings,18,2004,22,14,814,0,3,3,0,0,0,2,0
283,284,Shin Sangun,kr KOR,FW,Daejeon Citizen FC,23,1999,19,6,658,4,0,4,4,0,0,1,0
284,285,Ji Sangwook,kr KOR,"FW,MF",Jeju United FC,20,2003,9,7,104,0,0,0,0,0,0,0,0
285,286,Kang Sangyoon,kr KOR,MF,Jeonbuk,18,2004,1,1,14,0,0,0,0,0,0,0,0
286,287,Luan Santos,br BRA,FW,Suwon FC,27,1996,3,0,132,0,1,1,0,0,0,0,0
287,288,Shin Se-gye,kr KOR,"DF,MF",Suwon FC,32,1990,30,28,"2,430",0,0,0,0,0,0,2,0
288,289,Ju Se-jong,kr KOR,MF,Daejeon Citizen FC,32,1990,30,28,"2,098",1,2,3,1,0,0,5,1
289,290,Kim Sehoon,kr KOR,MF,Incheon United,19,2004,1,0,6,0,0,0,0,0,0,0,0
290,291,Park Sejin,kr KOR,MF,Daegu,18,2004,33,15,"1,569",1,1,2,1,0,0,4,0
291,292,Han Seok-jong,kr KOR,MF,Suw Bluewings,30,1992,6,6,493,0,0,0,0,0,0,1,0
292,293,Moon Seon-min,kr KOR,"MF,FW",Jeonbuk,30,1992,34,13,"1,733",6,1,7,6,0,0,4,0
293,294,Jin Seong-wook,kr KOR,FW,Jeju United FC,29,1993,1,0,24,0,0,0,0,0,0,0,0
294,295,Cheon Seonghoon,kr KOR,FW,Incheon United,22,2000,18,11,889,6,0,6,6,0,0,1,0
295,296,Park Seonghun,kr KOR,DF,FC Seoul,20,2003,1,1,90,0,0,0,0,0,0,0,0
296,297,Kang Seongjin,kr KOR,MF,FC Seoul,19,2003,7,2,216,2,0,2,2,0,0,1,0
297,298,Min Seongjun,kr KOR,GK,Incheon United,23,1999,5,5,450,0,0,0,0,0,0,0,0
298,299,Maeng Seongung,kr KOR,"MF,DF",Jeonbuk,24,1998,17,11,728,0,1,1,0,0,0,5,0
299,300,Jang SeongWon,kr KOR,MF,Daegu,25,1997,29,13,"1,447",1,3,4,1,0,0,3,0
300,301,Lee Seonyu,kr KOR,FW,Daejeon Citizen FC,21,2001,2,1,57,0,0,0,0,0,0,0,0
301,302,Marcos Serrato,br BRA,MF,Daegu,28,1994,11,5,296,0,0,0,0,0,0,1,0
302,303,Kim Seung-dae,kr KOR,MF,Pohang,31,1991,35,23,"2,341",3,5,8,3,0,0,2,0
