,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
100,Séamus Coleman,1.5,0.9,0.8,0.2,2.6,0.4,0.2,1
101,Pierre-Emile Højbjerg,2.3,1.9,1.5,0.1,0.9,1.6,0.3,-
102,James Ward-Prowse,1.4,1,0.8,-,2,1.1,0.2,1
103,Ashley Young,1.7,1.8,1.2,0.3,1.9,0.6,0.3,-
104,Wes Morgan,1.2,1.5,0.8,0.7,4.7,-,0.5,-
105,John Stones,0.7,0.6,0.3,0.3,2.5,0.2,0.4,-
106,Rúben Neves,2.1,2.1,1.1,-,1.3,1.6,0.5,-
107,Nathan Aké,1.7,0.8,0.7,0.8,6.1,0.3,0.9,-
108,Ben Mee,1.4,1.3,0.7,0.5,6.1,0.2,1.3,2
109,Mario Lemina,2.3,2,1.5,-,1.4,0.9,0.1,-
110,Jonny Otto,2.4,1.8,0.7,0.2,1.6,0.9,0.2,-
111,James Tomkins,1.2,1.2,0.6,0.6,6.2,0.4,0.3,-
112,Ruben Loftus-Cheek,0.8,0.5,0.4,-,0.2,0.4,0.2,-
113,Gerard Deulofeu,0.4,0.5,0.5,-,0.1,0.7,-,-
114,Romelu Lukaku,0.3,0.1,0.6,-,0.6,0.3,-,-
115,Danny Rose,1.9,0.9,1,0.2,0.8,0.5,0.2,-
116,Marko Arnautovic,0.3,0.1,1.1,-,0.2,0.2,0.1,-
117,Toby Alderweireld,1.1,0.7,0.3,0.6,4.9,0.3,0.6,1
118,David Brooks,1.2,0.8,0.5,-,0.8,0.8,0.2,-
119,Danny Ings,1.3,0.2,0.7,-,0.3,0.7,0.1,-
120,Davinson Sánchez,1.6,1.3,0.9,1.1,4.4,0.7,0.4,-
121,Callum Paterson,0.8,0.3,1.5,-,1,0.8,0.1,-
122,Calum Chambers,2.1,2.2,1.1,0.3,3.5,1,0.4,-
123,Sokratis Papastathopoulos,1.7,1,1.5,0.7,4.3,0.5,0.7,-
124,James McArthur,2.2,1,1.6,0.1,1.2,1.3,0.6,-
125,Jamaal Lascelles,1,1.2,0.5,0.5,6.6,0.1,0.9,-
126,Ashley Westwood,1.7,1.4,0.9,-,1.2,0.7,0.3,-
127,Solly March,1.6,0.8,0.8,-,0.7,0.7,0.1,-
128,Alisson Becker,0.1,-,-,-,0.8,-,-,-
129,Chris Smalling,1.3,1.1,0.9,0.5,4.4,0.3,1,1
130,Antonio Rüdiger,1,1,0.8,0.6,2.9,0.4,0.2,-
131,Robert Snodgrass,1.3,0.3,1.1,0.1,0.5,1,0.1,-
132,Mesut Özil,0.5,0.2,0.4,-,0.2,0.8,0.1,-
133,Kurt Zouma,1,1.7,0.6,0.6,3.8,0.2,0.4,-
134,Zanka,2,2.9,1.4,0.5,3.4,0.8,0.6,-
135,Joe Bennett,1.7,2,0.7,0.1,2.8,0.5,0.3,-
136,Ryan Bennett,1.7,1.3,1.1,0.2,3.6,0.5,0.6,-
137,Nemanja Matic,1.8,1.1,1,-,1.9,1,0.6,-
138,Oriol Romeu,2.6,1.7,1.5,0.1,1.2,1.5,0.5,-
139,Abdoulaye Doucouré,2,1,1,-,1.5,1.1,0.2,1
