,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
76,Aridane Hernández,Osasuna,35, D(C),24,2028,-,-,3,1,0.1,78.8,2.7,1,6.81,0.8,1.4,0.9,0.9,5,0.2,0.8,-,0.2,0.8,-,0.2,0.2,29.9,78.8,-,3.2,-
77,Daniel Wass,Valencia,34," D(LR),M(CLR)",35,2991,4,1,8,-,1.1,77.9,1.7,-,6.81,1.5,1.3,1,0.2,1.8,0.9,0.4,-,0.3,0.9,0.2,0.4,0.4,41.3,77.9,0.3,2,-
78,Mario Hermoso,Atletico,28, D(CL),30(1),2584,1,1,5,-,0.6,84.2,1.1,-,6.8,1.8,1.2,1,0.1,2,0.8,0.3,1,0.3,1,0.1,0.3,0.3,57.1,84.2,0.1,3.1,-
79,Aritz Elustondo,Real Sociedad,30, D(CR),22(1),1887,1,-,5,-,0.2,85.4,2.9,2,6.8,1.3,0.7,1,0.8,2.7,0.2,0.2,1,0.2,1.2,-,0.1,0.1,53.2,85.4,-,3.3,-
80,Gerard Piqué,Barcelona,37, D(C),19,1486,-,-,4,-,0.5,94.1,3.2,-,6.8,0.8,1.4,0.7,0.6,2.4,0.2,0.2,-,0.1,0.3,0.1,0.1,0.1,65.2,94.1,-,3.6,-
81,Yangel Herrera,Granada,26, M(C),25(7),2314,3,1,7,-,1,67.3,3.9,1,6.79,1.8,0.8,2.2,0.1,0.9,0.9,0.5,-,0.7,1.8,0.2,0.6,0.6,27.2,67.3,0.1,0.8,-
82,Lucas Torró,Osasuna,29, DMC,17(8),1547,-,1,4,-,0.7,75.4,3.5,-,6.79,1.3,1.1,1.1,0.1,1.7,0.5,0.3,-,0.4,1,0.1,0.4,0.4,26.7,75.4,-,1,-
83,Ante Budimir,Osasuna,32, FW,18(12),1622,11,-,3,-,1.6,60.1,4.5,4,6.79,0.7,0.1,1,-,0.5,0.4,0.1,-,0.4,1,0.6,1.1,1.1,13.0,60.1,-,0.1,-
84,Nacho,Real Madrid,34, D(CLR),22(2),2000,1,-,8,-,0.5,90.5,1.3,-,6.78,1.1,1.7,1.6,0.2,2.3,1,0.4,-,0.3,1,0.1,0.2,0.2,50.0,90.5,0.2,2.8,-
85,Federico Valverde,Real Madrid,25, M(CLR),15(9),1333,3,1,-,-,0.9,89.0,0.4,1,6.78,1,0.9,0.5,-,0.1,0.7,0.1,-,1,0.4,0.1,0.3,0.3,31.0,89.0,0.2,2,-
86,Rubén García,Osasuna,30," AM(CLR),FW",33(4),2739,3,5,2,-,0.8,69.2,1.4,1,6.78,1.4,0.8,1.1,-,0.4,0.8,0.1,-,0.7,1.1,0.2,0.9,0.9,27.4,69.2,1.4,1.9,-
87,José Giménez,Atletico,29, D(CR),20(1),1766,-,-,5,-,0.7,87.5,2.2,-,6.78,1,1,0.9,0.1,2.9,0.2,0.5,-,-,0.8,0.1,-,-,52.5,87.5,-,4.1,-
88,Pablo Maffeo,SD Huesca,26," D(LR),M(R)",25,1977,1,4,4,-,0.4,71.9,1.6,-,6.78,1,1.4,0.5,0.1,0.8,0.6,0.2,-,1.2,1.7,0.1,0.8,0.8,31.0,71.9,0.9,1.6,-
89,Thibaut Courtois,Real Madrid,31, GK,38,3420,-,-,-,-,-,78.3,0.3,2,6.78,-,-,-,-,0.6,-,-,-,-,0.1,-,-,-,28.3,78.3,-,3.4,-
90,Mario Gaspar,Villarreal,33," D(CR),M(R)",22(3),1852,-,2,3,1,0.6,82.5,1.4,1,6.77,2.2,1.2,0.8,0.5,1.7,0.8,0.2,-,0.4,0.4,-,0.2,0.2,35.4,82.5,0.4,1.4,-
91,Óscar Mingueza,Barcelona,24," D(CR),M(R)",23(4),1907,2,2,4,-,0.4,92.9,0.5,-,6.76,1.9,0.7,0.7,0.4,1.6,0.9,0.2,-,0.3,0.6,-,0.3,0.3,59.1,92.9,0.1,1.4,-
92,Sandro Ramírez,SD Huesca,28," AM(LR),FW",16(4),1294,5,1,2,-,1.5,80.3,0.5,1,6.76,0.7,0.5,0.9,-,0.1,0.4,0.1,-,1,2.6,0.6,0.9,0.9,15.0,80.3,0.2,0.9,-
93,Iza Carcelén,Cadiz,31, D(R),31(1),2587,-,1,3,-,0.3,74.2,0.9,1,6.76,2.1,1.5,0.5,0.3,1.9,0.8,0.4,-,1.1,1.6,-,0.8,0.8,24.4,74.2,0.4,1.6,-
94,Unai Núñez,Athletic Club,27, D(C),23(2),2108,1,1,6,-,0.5,83.0,2.6,1,6.76,0.9,1.3,0.9,0.8,4.2,0.2,0.6,-,0.2,0.4,-,0.3,0.3,47.4,83.0,-,5,-
95,Hugo Mallo,Celta Vigo,32," D(CR),M(R)",30(1),2604,3,1,8,-,0.6,76.1,2.1,-,6.76,1.9,1.2,1.8,0.2,2,0.9,0.4,-,0.5,0.9,0.2,0.5,0.5,43.6,76.1,0.4,1.8,-
96,Pau Torres,Villarreal,27, D(C),33,2970,2,2,2,-,0.2,87.8,1.7,-,6.76,0.5,0.7,0.4,0.5,3.3,0.2,0.8,1,0.8,0.5,0.1,0.2,0.2,62.4,87.8,-,4.5,-
97,Dimitrios Siovas,SD Huesca,35, D(C),34(2),3073,2,-,5,-,0.8,81.1,3.4,-,6.76,1.3,1.7,1.1,0.4,3.3,0.3,0.5,-,0.3,0.3,-,0.1,0.1,51.4,81.1,-,3,-
98,Claudio Bravo,Real Betis,41, GK,20,1800,-,-,3,-,-,60.5,0.2,1,6.76,-,-,-,-,0.9,0.1,-,-,0.2,-,-,-,-,28.3,60.5,-,6.7,-
99,Saúl Ñíguez,Atletico,29," D(CL),M(CLR)",22(11),2034,2,1,10,-,1,84.4,1.9,1,6.76,1.7,0.6,1.3,-,0.9,0.9,0.1,-,0.5,0.5,0.2,0.4,0.4,33.9,84.4,0.1,0.7,0.1
100,Álex Moreno,Real Betis,30," D(L),M(L)",20(3),1787,-,2,4,-,0.5,78.5,1,-,6.75,1.8,1.5,0.9,0.4,2,1,0.2,-,1.1,1,-,0.5,0.5,41.1,78.5,0.3,1.6,-
