,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
10,Virgil van Dijk,Liverpool,32, D(C),38,3420,5,1,1,-,0.8,89.1,5,5,7.32,0.6,1.1,0.4,1,4.3,0.2,0.4,-,0.1,0.7,-,0.1,0.1,85.8,89.1,-,5.4,0.1
11,Anthony Martial,Man Utd,28," AM(LR),FW",31(1),2640,17,6,1,-,2.5,80.6,0.6,4,7.31,0.5,0.2,0.9,-,0.5,0.5,-,-,1.6,1.3,0.4,1.9,1.9,22.3,80.6,0.1,0.3,0.1
12,Willian,Chelsea,35, AM(CLR),29(7),2605,9,7,4,-,2,82.7,0.3,4,7.31,1.3,0.6,0.5,-,0.2,0.8,-,-,1.8,1.3,0.1,0.8,0.8,39.9,82.7,1.4,1.8,0.1
13,Michail Antonio,West Ham,34," D(R),M(CLR),FW",19(5),1773,10,3,3,-,2.8,68.4,3.8,2,7.29,0.5,0.4,1.7,-,0.2,0.4,0.1,-,2.7,1.5,0.5,1.9,1.9,18.6,68.4,0.4,0.4,0.1
14,Allan Saint-Maximin,Newcastle,27," AM(CLR),FW",23(3),1874,3,4,-,-,1.8,79.1,0.3,3,7.29,0.5,0.3,0.7,-,0.2,0.5,0.1,-,4.7,1.8,0.1,2,2,16.6,79.1,0.3,0.8,-
15,David Silva,Man City,38," M(CLR),FW",22(5),1833,6,10,-,-,1.7,89.3,0.3,3,7.29,1,0.5,0.7,-,0.2,0.7,0.1,-,1.2,0.7,0.1,0.7,0.7,54.9,89.3,0.1,1.1,0.1
16,Gabriel Jesus,Man City,27," AM(LR),FW",21(13),2026,14,7,3,-,3,86.5,1.2,2,7.26,0.5,0.3,0.8,-,0.2,0.5,-,-,1.3,0.9,0.6,1,1,17.9,86.5,0.1,0.6,-
17,Raúl Jiménez,Wolves,32, FW,37(1),3252,17,6,3,-,3.1,72.2,2.3,3,7.25,0.5,0.4,1,-,0.8,0.7,-,-,1.6,0.9,0.5,1.8,1.8,26.1,72.2,0.1,1.2,0.1
18,Son Heung-Min,Tottenham,31," M(CLR),FW",28(2),2487,11,10,-,2,2.7,84.7,0.2,4,7.24,0.8,0.6,0.6,-,0.6,1.6,-,-,2.1,0.9,0.6,1.9,1.9,26.6,84.7,0.4,0.7,0.2
19,Jack Grealish,Aston Villa,28," AM(CL),FW",36,3234,8,6,8,-,2,84.8,0.6,4,7.23,0.8,0.6,0.9,-,0.3,0.6,0.3,-,2,4.6,0.1,1.6,1.6,38.1,84.8,0.8,2.3,0.1
20,Wilfred Ndidi,Leicester,27," D(C),DMC",29(3),2674,2,1,6,-,0.8,85.1,2.6,4,7.23,4,2.5,1.8,-,1.9,1.4,0.2,-,0.7,0.8,-,0.8,0.8,52.2,85.1,-,2.5,-
21,Jamie Vardy,Leicester,37," AM(L),FW",34(1),3034,23,5,2,-,2.5,70.6,1.5,4,7.22,0.4,0.1,0.6,-,0.6,0.1,0.1,-,0.7,0.3,0.8,0.5,0.5,12.6,70.6,0.2,0.2,-
22,Trent Alexander-Arnold,Liverpool,25," D(R),DMC,M(R)",35(3),3176,4,13,5,-,1.2,76.7,0.4,4,7.2,1.4,1.2,0.6,0.5,1.8,1.1,0.2,-,0.6,0.2,0.1,0.3,0.3,64.2,76.7,2.1,5.1,-
23,Aaron Wan-Bissaka,Man Utd,26," D(LR),M(R)",34(1),3103,-,4,8,-,0.2,81.3,0.7,3,7.19,3.7,1.9,0.6,0.4,1.7,0.6,0.4,-,1.5,0.5,-,1.3,1.3,47.1,81.3,0.4,1,-
24,Richarlison,Everton,26," AM(CLR),FW",36,3112,13,3,8,-,2.5,66.6,2.1,6,7.19,1.9,0.3,1.2,-,1.1,0.8,0.1,-,1.7,2,0.5,2.1,2.1,21.9,66.6,0.1,0.6,-
25,Willy-Arnaud Boly,Wolves,33, D(C),22,1980,-,1,1,1,0.2,80.9,4,2,7.19,2.6,1.8,1.1,0.1,4.7,0.8,0.5,-,0.4,0.4,-,0.2,0.2,44.7,80.9,-,1.8,-
26,James Tarkowski,Burnley,31, D(C),38,3420,2,2,10,-,0.6,70.8,5.2,6,7.19,1.7,1.7,1.3,0.4,5.3,0.6,1.2,-,0.3,0.8,0.1,0.1,0.1,35.5,70.8,-,2.8,-
