,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
174,Santiago Bueno,2783,Girona,24,D,34,3012,1,0.3,52.9,86.6,0.1,3.3,0.0,6.58,0,5,1,0.4,2.2,0,0.1,1.0,0.1,0.0,0.2,1.9,0.9,1.1,0.4,3.0,0.4,0.6,0
178,Edgar González,54,Real Betis,26,D,25,1770,0,0.1,35.6,89.1,0.0,1.4,0.0,6.58,0,4,2,0.4,2.0,0,0.1,0.5,0.0,0.0,0.2,1.1,0.8,0.9,1.0,4.8,0.5,0.4,0
180,Fernando,67,Sevilla,35,D,22,1581,1,0.4,39.2,88.7,0.0,2.4,0.0,6.57,0,3,1,0.3,0.9,0,0.1,0.4,0.0,0.5,0.6,1.5,1.1,0.8,0.3,1.2,0.5,0.5,1
183,Florian Lejeune,64,Rayo Vallecano,32,D,31,2570,0,0.3,45.0,79.1,0.0,4.6,0.0,6.57,4,4,3,1.3,1.9,1,0.1,0.3,0.2,0.0,0.2,0.9,0.5,0.7,0.5,3.8,0.3,0.5,1
186,Miguel Gutiérrez,2783,Girona,21,D,34,2400,3,0.6,31.3,85.8,0.7,0.9,0.0,6.57,2,6,0,0.5,0.3,0,1.0,0.7,0.1,0.7,1.1,1.2,0.5,0.7,0.1,1.0,0.4,0.1,0
187,Iván Fresneda,58,Real Valladolid,18,D,22,1776,0,0.8,31.3,80.7,0.5,1.6,0.0,6.56,0,3,0,0.2,0.4,0,0.7,1.1,0.0,0.8,1.0,2.2,0.7,0.6,0.0,2.0,0.8,0.4,0
189,Saúl Ñíguez,63,Atletico Madrid,28,D,31,1091,1,0.2,15.5,80.7,0.0,0.5,0.0,6.56,3,8,0,0.7,1.3,1,0.4,0.2,0.1,0.2,0.7,1.4,0.5,1.1,0.0,0.8,0.5,0.2,0
193,Geoffrey Kondogbia,63,Atletico Madrid,30,D,21,1001,2,0.2,30.1,89.4,0.0,1.0,0.0,6.55,0,5,0,0.5,0.6,0,0.2,0.9,0.1,0.5,0.3,1.9,1.2,0.8,0.0,0.5,0.4,0.0,0
198,Axel Witsel,63,Atletico Madrid,34,D,33,2255,0,0.1,40.1,92.7,0.0,1.0,0.0,6.55,0,2,1,0.3,1.2,0,0.2,0.5,0.0,0.1,0.2,1.1,0.7,0.6,0.4,2.2,0.4,0.3,0
199,Íñigo Lekue,53,Athletic Club,30,D,20,1323,1,0.7,32.2,81.0,0.5,1.8,0.0,6.54,0,1,0,0.5,0.9,0,0.6,0.3,0.1,0.2,0.9,1.2,0.7,0.8,0.1,1.3,0.4,0.1,0
