,player_name,team_number,Team,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
227,Grigoris Kastanos,143,Salernitana,25,M,13(15),1280,1,0.5,19.4,77.7,0.2,0.8,0.0,6.49,2,4,0,1.1,0.8,0,0.5,1.5,0.0,0.7,0.6,1.4,0.3,0.8,0.0,0.2,0.9,0.2,0
252,Karol Linetty,72,Torino,28,M,22(10),1888,0,0.6,29.4,87.3,0.3,1.1,0.0,6.42,1,8,0,0.5,0.8,1,0.3,0.7,0.1,0.3,0.8,1.0,0.6,1.6,0.0,0.7,0.4,0.3,0
254,Tommaso Pobega,80,AC Milan,23,M,9(10),877,0,0.3,20.7,77.2,0.1,1.3,0.0,6.42,2,4,0,1.1,0.7,0,0.1,0.3,0.0,0.3,0.5,1.4,0.5,1.6,0.0,0.6,0.4,0.2,0
257,Adrien Tameze,76,Verona,29,M,35(2),3038,0,0.6,28.6,78.1,0.1,1.4,0.0,6.41,0,3,0,0.3,0.7,0,0.7,0.8,0.0,0.9,1.1,1.4,1.0,0.9,0.0,1.4,0.9,0.4,0
262,Tomás Rincón,271,Sampdoria,35,M,30(4),2566,2,0.6,35.8,83.0,0.2,2.5,0.0,6.39,0,7,1,0.3,1.0,0,0.8,0.8,0.0,0.9,0.8,1.6,0.9,1.7,0.0,0.5,0.9,0.2,0
263,Miguel Veloso,76,Verona,37,M,14(8),1169,0,0.9,24.0,76.2,1.0,1.9,0.0,6.39,0,6,0,0.7,0.6,0,0.2,0.4,0.0,0.3,0.3,1.5,0.3,0.9,0.0,0.5,0.5,0.3,1
265,Joan Gonzàlez,79,Lecce,21,M,26(9),2212,3,0.4,21.1,79.0,0.1,0.7,0.0,6.39,1,8,0,0.5,0.9,1,0.5,1.3,0.1,0.7,1.4,1.4,0.5,1.0,0.1,0.7,1.0,0.2,1
267,Filippo Terracciano,76,Verona,20,M,7(13),816,1,0.4,13.7,72.6,0.3,0.7,0.1,6.39,0,2,0,0.3,0.8,0,0.3,0.9,0.0,0.2,0.9,1.0,0.5,0.4,0.0,0.6,0.3,0.2,0
272,Charles De Ketelaere,80,AC Milan,22,M,9(23),1102,1,0.6,11.4,79.4,0.0,0.2,0.1,6.38,0,2,0,0.6,0.6,0,1.1,0.5,0.1,0.9,0.8,0.8,0.1,0.6,0.0,0.3,0.5,0.1,0
276,Federico Di Francesco,79,Lecce,29,M,23(13),2040,2,0.7,12.6,72.3,0.2,0.3,0.1,6.37,2,6,0,1.1,0.2,1,0.5,0.9,0.4,0.8,1.6,0.8,0.2,1.2,0.0,0.4,0.3,0.0,0
