,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
35,Pierre Lees-Melou,Brest,30, M(CLR),32,2773,5,5,10,1,1.3,83.9,0.6,3,6.99
36,Hicham Boudaoui,Nice,24, M(CR),22(5),1882,1,2,5,-,0.8,89.7,0.3,-,6.97
37,Nicolas Pépé,Nice,28," AM(CLR),FW",17(2),1529,6,-,2,-,2.6,83.1,0.4,1,6.96
38,Jonathan Clauss,Marseille,31," D(R),M(LR)",32(2),2604,2,9,1,-,1.4,75.8,0.3,2,6.95
39,Jonathan Gradit,Lens,31, D(CR),33,2830,1,3,7,-,0.2,90.2,1.5,-,6.95
40,Dante,Nice,40, D(C),37,3300,1,2,6,-,0.6,90.1,2,-,6.94
41,Yunis Abdelhamid,Reims,36, D(C),37,3330,1,2,6,-,0.9,83.1,2.5,1,6.94
42,Rasmus Nicolaisen,Toulouse,27, D(C),34,2997,-,2,5,1,0.4,84.3,3.4,1,6.94
43,Achraf Hakimi,PSG,25," D(LR),M(R)",23(5),2053,5,3,5,2,0.6,90.2,0.3,-,6.94
44,Yehvann Diouf,Reims,24, GK,31,2790,-,-,2,-,-,76.4,0.5,2,6.94
45,Kevin Danso,Lens,25, D(C),37,3234,1,2,7,1,0.6,90.1,2.3,2,6.94
46,Bradley Barcola,Lyon,21," AM(LR),FW",15(11),1438,5,8,3,-,1,72.4,0.6,3,6.94
47,Marco Verratti,PSG,31, M(C),27(2),2206,-,-,10,1,0.3,92.9,0.4,-,6.94
48,Vanderson,Monaco,22," D(R),M(R)",24(7),2220,1,4,3,1,0.8,77.9,0.9,2,6.93
49,Adrien Thomasson,Lens,30, M(CLR),16(4),1288,5,5,1,-,1.1,80.3,0.6,-,6.92
50,Alexander Djiku,Strasbourg,29," D(CR),DMC",31,2681,1,2,8,1,0.5,80.8,3,1,6.92
51,Caio Henrique,Monaco,26," D(L),M(CL)",32(3),2898,1,9,3,-,0.3,80.3,0.5,2,6.92
52,Karl Toko-Ekambi,Lyon,31," AM(LR),FW",15(4),1357,4,2,1,-,2.2,82.3,0.8,2,6.91
53,Jonathan Bamba,Lille,28," AM(CLR),FW",32(2),2790,6,7,6,-,2.1,83.8,0.6,2,6.91
54,Neto Borges,Clermont Foot,27," D(CL),M(L)",33,2840,3,1,2,2,0.7,79.5,1.1,4,6.91
55,Khéphren Thuram,Nice,23," DMC,M(L)",30(5),2560,2,4,3,-,1.1,86.9,0.5,1,6.91
56,Folarin Balogun,Reims,22, FW,34(3),3013,21,2,5,-,3.5,72.5,0.4,4,6.90
57,Azor Matusiwa,Reims,26, DMC,29(1),2492,-,-,4,-,0.4,85.7,1.1,-,6.89
58,Youssouf Fofana,Monaco,25, DMC,35(1),3089,2,2,1,2,1.2,82.5,0.6,-,6.89
59,Fabián Ruiz,PSG,28, M(CL),21(6),1899,3,2,-,-,1,92.3,0.2,1,6.89
60,Junya Ito,Reims,31," M(LR),FW",34(1),2930,6,5,3,1,1.2,71.3,0.8,3,6.89
61,Romain Del Castillo,Brest,28," AM(CLR),FW",16(11),1429,6,6,2,-,1.3,72.3,0.7,2,6.88
62,Gianluigi Donnarumma,PSG,25, GK,38,3410,-,-,3,-,-,84,0.3,3,6.88
63,Marshall Munetsi,Reims,27," D(C),M(C)",31(3),2708,7,3,6,-,2,75.3,1.7,-,6.88
64,Cengiz Ünder,Marseille,26, M(CLR),28(9),2497,5,4,3,-,1.9,77.1,0.3,4,6.87
65,Elye Wahi,Montpellier,21," AM(L),FW",29(4),2530,19,5,8,1,1.9,70.7,0.6,2,6.87
66,Rony Lopes,Troyes,28," AM(CLR),FW",29(3),2360,7,5,2,-,1.8,75.2,0.6,2,6.87
67,Nicolás Tagliafico,Lyon,31," D(CL),M(L)",34,2995,1,3,5,-,0.7,85.8,1.3,1,6.86
68,Malo Gusto,Lyon,20," D(R),M(R)",19(2),1602,-,1,1,-,0.3,85.1,0.4,1,6.86
69,Nuno Tavares,Marseille,24," D(L),M(L)",23(8),2349,6,-,6,1,2.1,79.1,0.7,1,6.86
70,Jordan Veretout,Marseille,31, M(C),31(7),2864,4,3,4,-,0.8,87.9,0.5,1,6.85
