,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
152,José Gayà,2,4,0.8,0.7,0.9,0.2,0.2,0.2
153,Pedro Bigas,1,-,0.6,0.1,0.6,-,-,-
154,Iddrisu Baba,1,1,0.9,0.8,1.5,-,0.8,0.8
155,Eric García,-,-,0.2,0.1,0.2,0.1,-,-
156,Iván Alejo,2,2,0.6,0.8,1.7,0.3,0.9,0.9
157,Joan Jordán,-,1,0.4,0.6,0.7,-,0.6,0.6
158,Boulaye Dia,5,5,1.5,0.4,0.5,0.3,0.8,0.8
159,Óscar Duarte,2,-,0.8,-,0.2,0.1,-,-
160,Hugo Mallo,1,1,0.8,0.4,0.2,0.3,0.5,0.5
161,Óscar Gil,-,2,0.3,0.6,1.1,0.1,0.5,0.5
162,Jens Jønsson,-,1,0.3,0.4,0.4,-,0.2,0.2
163,Jon Moncayola,2,3,1.1,0.4,0.4,-,0.4,0.4
164,Fran Beltrán,1,-,0.5,0.5,0.7,-,0.5,0.5
165,Pepelu,-,-,0.5,0.4,0.7,-,0.3,0.3
166,Maxime Gonalons,-,2,0.4,0.6,1.2,-,0.7,0.7
167,Djené Dakonam,-,1,0.1,0.5,1,-,0.3,0.3
168,Jaume Costa,-,4,0.4,0.4,1,0.1,0.2,0.2
169,Unai Simón,-,-,-,-,-,-,-,-
170,Maxi Gómez,5,1,1.5,0.2,1.9,0.3,0.7,0.7
171,Antonio Puertas,6,1,1,0.9,0.9,0.3,1.2,1.2
172,Anthony Lozano,7,2,1.6,1.2,1.2,0.3,1.4,1.4
173,Íñigo Lekue,-,2,0.3,0.5,0.4,-,0.4,0.4
174,Willian José,8,4,1.1,0.2,0.7,0.2,1.1,1.1
175,Daniel Wass,1,1,1.5,0.4,0.9,-,0.4,0.4
176,Joseph Aidoo,-,-,0.2,0.3,0.6,-,0.2,0.2
177,Youssef En-Nesyri,5,1,1.6,0.2,0.4,0.8,0.5,0.5
178,Adnan Januzaj,3,-,1.3,1.4,1.5,0.1,1.4,1.4
179,Iza Carcelén,-,1,0.4,0.4,1,-,0.6,0.6
180,Alexander Sørloth,4,-,1.1,1.2,0.4,0.4,1.6,1.6
181,Omar Mascarell,-,-,0.4,0.4,0.7,-,0.3,0.3
182,Luis Rioja,1,3,1.2,1.9,1.1,0.3,1.4,1.4
183,Iván Balliu,1,2,0.4,0.6,1.6,0.1,0.6,0.6
184,Raúl García,6,2,1.3,0.3,0.9,0.3,0.4,0.4
185,Mikel Balenziaga,-,-,0.3,0.2,0.5,-,0.5,0.5
186,Manu Sánchez,1,3,0.2,0.7,0.5,-,0.8,0.8
187,Borja Iglesias,10,-,1.2,0.4,0.9,0.2,0.9,0.9
188,Rafa Mir,10,-,1.8,0.4,0.5,0.7,0.5,0.5
189,Luis Suárez,11,2,1.5,0.2,0.7,0.3,0.3,0.3
190,Luuk de Jong,6,-,1.1,0.1,0.6,0.3,0.7,0.7
191,Takefusa Kubo,1,-,1.7,1.4,1.7,0.2,1.1,1.1
192,Enis Bardhi,3,3,1.4,1.3,1.5,0.1,1.1,1.1
193,Álex Fernández,3,2,0.7,0.3,0.7,0.1,0.8,0.8
194,Javi Puado,4,1,1.3,1,0.8,0.2,1.1,1.1
195,Fali,-,2,0.5,-,0.4,-,0.1,0.1
196,Mario Hermoso,2,1,0.6,0.3,0.4,-,0.2,0.2
197,Sèrge Aurier,-,1,0.6,0.7,0.3,0.1,0.6,0.6
198,Esteban Saveljich,-,-,0.4,-,0.1,0.1,0.1,0.1
199,Sime Vrsaljko,1,2,0.2,0.2,0.2,0.1,0.3,0.3
200,Roger Martí,7,3,1.7,0.5,1,0.4,0.8,0.8
201,Matheus Cunha,6,4,1.3,0.2,0.9,-,0.4,0.4
202,Nico González,2,1,0.6,1.3,0.7,-,0.7,0.7
203,Felipe,2,1,0.4,0.1,0.5,0.1,0.1,0.1
204,Salva Sevilla,5,3,0.9,0.2,0.3,-,0.2,0.2
205,Sergi Gómez,1,2,0.3,-,0.1,-,0.1,0.1
206,Pervis Estupiñán,-,1,0.5,0.6,0.4,0.4,0.5,0.5
207,Pere Milla,8,3,0.9,0.5,1.5,0.3,1,1
208,Nemanja Gudelj,-,-,0.2,-,0.4,-,0.1,0.1
209,Néstor Araújo,-,-,0.2,0.1,0.3,-,0.1,0.1
210,Marc-André ter Stegen,-,-,-,0.1,0.2,-,-,-
211,Sergio Escudero,2,1,0.8,0.1,0.7,0.2,0.4,0.4
212,Gonzalo Melero,7,2,0.8,0.4,0.9,0.1,0.9,0.9
213,Florian Lejeune,-,-,0.7,0.1,0.2,0.1,-,-
214,Domingos Duarte,1,-,0.3,0.1,0.7,-,-,-
215,Rubén Sobrino,4,1,1,1,1,0.1,1,1
216,Víctor Laguardia,3,2,0.4,-,0.2,0.1,0.1,0.1
217,Josan,2,3,0.4,0.9,1,0.1,0.5,0.5
218,Fernando Pacheco,-,-,-,-,0.1,-,-,-
219,Jorge Miramón,1,-,0.2,0.7,0.8,-,0.7,0.7
220,Héctor Herrera,-,-,0.4,0.8,0.4,-,0.1,0.1
221,Quini,-,1,0.5,0.5,0.4,-,0.6,0.6
222,Hugo Duro,7,1,1,0.4,1.5,0.2,1.1,1.1
223,Martin Valjent,-,-,0.3,0.1,0.2,-,0.1,0.1
224,Óscar Mingueza,-,1,0.1,0.3,0.2,0.1,0.3,0.3
225,Sergi Guardiola,8,2,1.6,0.4,0.9,0.4,1,1
226,Carlos Neva,-,-,0.2,0.3,0.8,-,0.3,0.3
227,Unai Vencedor,-,-,0.6,0.7,1,-,0.6,0.6
228,Aihen Muñoz,-,-,0.4,0.7,0.7,-,0.6,0.6
229,Enzo Roco,1,-,0.4,0.2,0.2,-,0.1,0.1
230,Germán Sánchez,2,1,0.4,-,0.8,-,-,-
231,Kike García,5,1,1.6,0.4,1.1,0.3,1.1,1.1
232,Rodri,1,2,0.7,0.8,0.7,-,0.5,0.5
233,Iborra,-,1,0.4,0.1,0.5,-,0.3,0.3
234,Renan Lodi,2,2,0.3,0.6,0.7,0.1,0.4,0.4
235,Tete Morente,3,3,0.9,0.9,0.7,0.3,0.4,0.4
236,Manolo Reina,-,-,-,-,0.2,-,-,-
237,Juan Cruz,-,-,0.1,0.4,0.2,-,0.5,0.5
238,Dimitri Foulquier,-,1,0.6,0.8,1.4,-,0.4,0.4
239,Gerard Gumbau,-,4,0.7,0.2,0.7,-,0.2,0.2
240,Chimy Ávila,6,1,1.8,0.5,1.1,0.4,0.6,0.6
241,Pathé Ciss,2,1,0.6,0.3,0.3,-,0.4,0.4
242,Hugo Guillamón,1,-,0.2,0.3,2,0.1,0.7,0.7
243,Óliver Torres,2,3,0.5,0.6,0.7,0.1,0.8,0.8
244,Rúben Vezo,-,-,0.6,0.2,0.9,-,0.2,0.2
245,Renato Tapia,-,-,0.4,0.2,0.9,-,0.4,0.4
246,Manu García,-,1,0.3,1.3,1.4,-,0.9,0.9
247,Stefan Mitrovic,-,-,0.1,0.1,0.1,-,0.1,0.1
248,Carlos Clerc,-,-,0.1,1.2,0.9,-,0.3,0.3
249,Radamel Falcao,6,-,1.5,0.1,0.8,0.7,0.5,0.5
250,Tomás Alarcón,-,1,0.7,0.2,0.4,-,0.4,0.4
251,Carles Aleñá,1,2,1.4,0.5,1.1,-,1,1
252,Dani Cárdenas,-,-,-,-,0.1,-,-,-
253,Brian Oliván,1,-,0.7,0.3,0.3,0.1,0.3,0.3
254,Kike Barja,2,-,0.8,1.6,1.1,-,1.3,1.3
255,Dani García,-,-,0.4,0.1,0.7,-,0.3,0.3
256,Cote,1,1,0.5,0.9,0.2,-,0.9,0.9
257,Manu Morlanes,2,-,0.3,0.5,0.4,-,0.2,0.2
258,Victor Chust,-,-,0.4,0.2,0.3,-,-,-
259,Mouctar Diakhaby,-,1,0.3,0.4,0.6,-,0.1,0.1
260,Gonzalo Verdú,-,-,0.2,-,0.7,-,-,-
261,Antonio Sánchez,1,-,0.6,0.6,0.9,0.1,0.7,0.7
262,Martín Aguirregabiria,-,1,0.2,0.6,0.9,-,0.3,0.3
263,Cristian Tello,2,2,1.3,0.4,0.2,0.2,0.6,0.6
264,Igor Zubeldia,-,1,0.3,0.1,0.2,-,-,-
265,Marcos André,1,3,1,0.5,0.8,0.1,0.8,0.8
266,Keidi Bare,1,1,0.2,0.4,1.2,-,0.4,0.4
267,Moi Gómez,2,2,0.4,0.4,0.4,-,0.6,0.6
268,Lee Kang-In,1,2,1.2,1.3,1.2,-,1.1,1.1
269,Thiago Galhardo,2,2,1,0.3,0.4,0.5,0.4,0.4
270,Víctor Díaz,1,-,0.6,0.2,0.2,-,-,-
271,Joseba Zaldúa,-,-,0.3,0.1,0.8,-,0.3,0.3
272,Randy Nteka,3,-,0.9,0.5,0.7,0.1,1,1
273,Ludwig Augustinsson,-,1,0.2,0.1,0.5,-,0.2,0.2
274,Nemanja Radoja,-,-,0.3,0.6,0.7,-,1.1,1.1
275,Yunus Musah,1,-,0.2,1.2,0.6,-,0.5,0.5
276,Andrés Guardado,-,1,0.5,0.2,0.6,-,0.1,0.1
277,Uros Racic,-,-,0.6,0.5,0.9,-,0.3,0.3
278,Rober Pier,1,-,0.3,0.2,0.4,-,0.1,0.1
279,Florentino,-,1,0.1,0.3,0.1,-,0.5,0.5
280,Guido Carrillo,2,-,0.8,0.3,0.9,0.2,0.5,0.5
281,Darko Brasanac,1,2,0.5,0.4,0.7,0.3,0.7,0.7
282,Aleix Vidal,2,-,0.2,0.4,1,-,0.5,0.5
283,Joaquín,-,1,0.5,0.8,0.4,-,0.3,0.3
284,Son,1,-,0.5,0.7,0.5,0.1,0.2,0.2
285,Fer Niño,2,-,1,0.4,0.8,0.1,0.6,0.6
286,Ángel Rodríguez,4,2,1,0.4,0.8,0.6,0.7,0.7
287,Óscar Melendo,-,-,0.4,0.7,1.8,-,0.6,0.6
288,Mickaël Malsa,1,2,0.5,0.3,0.6,-,0.4,0.4
289,Bebé,1,2,1.7,1,0.6,0.2,0.7,0.7
290,Nico Williams,-,-,1,1.3,0.7,0.3,0.8,0.8
291,Toni Moya,-,1,0.4,0.7,0.4,-,0.4,0.4
292,Diego González,-,-,0.1,-,0.1,-,-,-
293,Jan Oblak,-,-,-,0.1,0.2,-,-,-
294,Franco Russo,1,-,0.3,0.3,0.6,0.1,0.2,0.2
295,Hélder Costa,-,1,0.4,1,0.6,-,1,1
296,Jeison Murillo,-,-,0.3,0.2,0.7,-,0.2,0.2
297,Dani Gómez,4,2,1.1,0.6,0.7,0.4,0.9,0.9
298,Rodrigo Battaglia,-,-,0.2,0.4,0.7,-,0.4,0.4
