,Name,AvgP,PSp,Crosses,LonB,ThrB
82,Declan Rice,44.6,86.4,-,2.9,-
83,N'Golo Kanté,56.2,87.9,0.2,1,0.1
84,Michail Antonio,20.2,68.1,0.2,0.8,0.1
85,James Milner,45.2,84.6,1.2,2.6,0.1
86,Luke Shaw,57.2,83.3,0.5,1.6,0.1
87,Nathan Redmond,29.6,75.4,0.6,1.3,-
88,Bernardo,35.7,72.7,0.3,1,-
89,Anthony Martial,26.2,79.3,0.1,0.1,0.1
90,Arthur Masuaku,38.3,83.3,0.2,2.2,-
91,Diogo Jota,22.6,75.6,0.2,0.5,0.1
92,Jan Vertonghen,69.6,87.5,0.2,3.1,-
93,Richarlison,22.7,68.5,0.1,0.6,-
94,Issa Diop,34.4,86,-,1.6,-
95,Georginio Wijnaldum,50.5,91.1,0.1,1.6,-
96,Jorginho,84.3,89.3,-,2.5,0.4
97,Nathaniel Méndez-Laing,12.8,62,0.5,0.3,0.1
98,Henrikh Mkhitaryan,31.8,79.9,0.3,0.8,0.2
99,Jonny Evans,42.9,84.7,-,2.8,-
100,Séamus Coleman,41.2,78.1,0.6,1.4,-
101,Pierre-Emile Højbjerg,57.8,82.9,0.3,3.5,0.1
102,James Ward-Prowse,27.7,76.5,1.5,1,-
103,Ashley Young,45.9,77.5,1.4,3.7,-
104,Wes Morgan,40.5,80.8,-,1.6,-
105,John Stones,73,94.2,-,4.3,-
106,Rúben Neves,55.4,81.2,0.1,6.1,-
107,Nathan Aké,44.6,86,0.1,1.9,-
108,Ben Mee,39.5,74.9,0.1,4.7,-
109,Mario Lemina,38.6,86,0.1,2.1,-
110,Jonny Otto,32.6,77.8,0.3,1,-
111,James Tomkins,38.3,83,-,4.3,-
112,Ruben Loftus-Cheek,25.4,87.9,-,0.5,-
113,Gerard Deulofeu,23.9,77.4,0.2,0.5,0.1
114,Romelu Lukaku,16.7,66.3,0.2,0.4,0.1
115,Danny Rose,35.7,73.7,0.8,1,-
116,Marko Arnautovic,22.9,74.7,0.2,0.4,0.1
117,Toby Alderweireld,69.4,88.5,0.1,7.1,0.1
