,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
72,Nico Elvedi,1,-,0.3,0.3,0.6,-,0.1,0.1
73,André Silva,12,3,2.2,0.7,0.8,0.5,1.3,1.3
74,Yussuf Poulsen,5,6,1.5,0.7,1.3,-,1.1,1.1
75,Jonas Hector,4,2,1,0.2,1.3,0.1,0.6,0.6
76,Manuel Gulde,1,-,0.8,0.3,0.7,0.1,0.1,0.1
77,Robin Quaison,13,2,2.2,1.4,1.1,0.5,1.6,1.6
78,Jérôme Boateng,-,2,0.3,-,0.3,-,-,-
79,Lars Stindl,9,3,1.3,0.4,0.9,0.1,1.3,1.3
80,Ozan Kabak,3,1,0.4,0.8,0.5,-,0.2,0.2
81,Erik Thommy,6,4,1.8,1.3,1.7,0.2,1.3,1.3
82,Keven Schlotterbeck,-,-,0.5,0.4,1.4,-,0.1,0.1
83,Breel Embolo,8,5,1.6,1.5,1.7,0.5,1.7,1.7
84,Jonathan Schmid,5,1,1.3,0.4,1.1,0.1,0.7,0.7
85,Wendell,-,2,0.4,0.6,1,-,0.3,0.3
86,Matthias Ginter,1,1,0.6,0.2,0.6,0.1,-,-
87,Sebastian Rudy,1,3,0.8,0.6,1.1,-,0.6,0.6
88,Nils Petersen,11,2,1.6,0.2,0.5,0.4,0.6,0.6
89,Mitchell Weiser,1,-,0.4,1,1.4,-,0.7,0.7
90,Christian Gentner,3,2,1.1,0.5,1.3,0.1,0.4,0.4
91,Kenan Karaman,6,1,1.6,1.1,1.2,0.4,1.6,1.6
92,Lukasz Piszczek,1,3,0.2,0.4,0.2,-,0.3,0.3
93,Dodi Lukébakio,7,6,1.3,1.5,0.9,0.3,1.5,1.5
94,Kevin Stöger,-,4,1.3,1.2,1.4,-,1.1,1.1
95,Gonçalo Paciência,7,3,2.2,1.2,1,0.4,2.2,2.2
96,Marvin Plattenhardt,-,5,0.2,0.2,0.9,0.1,0.8,0.8
97,Theodor Gebre Selassie,2,2,0.4,0.1,0.8,0.1,0.4,0.4
98,Kai Pröger,2,6,1.6,2.2,0.8,0.3,1,1
99,Lucas Höler,8,2,1.5,0.9,2.3,0.3,1.5,1.5
100,Bastian Oczipka,-,5,0.3,1.1,1,0.1,0.3,0.3
101,Daniel Brosinski,2,4,0.9,0.3,0.3,-,0.1,0.1
102,John Anthony Brooks,-,1,0.5,0.1,0.4,0.1,0.1,0.1
103,Ridle Baku,1,3,0.7,1.1,1.4,0.1,0.7,0.7
104,Florian Kainz,5,6,1.5,0.8,1.3,-,0.8,0.8
105,Nadiem Amiri,1,2,1.4,1,1.3,0.1,0.6,0.6
106,Stefan Posch,-,-,0.9,0.3,0.8,-,0.4,0.4
107,Florian Grillitsch,-,3,0.5,0.9,1.6,-,1,1
108,Yann Sommer,-,-,-,-,0.1,-,-,-
109,Jean-Paul Boëtius,4,5,1.3,1.3,2.1,-,1.4,1.4
110,Yuya Osako,8,2,1.6,1,1.4,0.2,1.9,1.9
111,Karim Onisiwo,4,6,1.3,1.4,1.7,0.3,1.4,1.4
112,Robin Zentner,-,-,-,-,0.1,-,-,-
113,Renato Steffen,6,3,1.1,1.1,1.1,0.1,0.9,0.9
114,Stefan Lainer,1,3,0.5,1.1,0.9,-,1,1
115,Vladimír Darida,3,4,1.5,0.9,0.9,0.1,1.6,1.6
116,Dominique Heintz,-,1,0.1,0.6,0.5,-,0.3,0.3
117,Christian Günter,2,8,0.9,0.4,0.7,0.1,0.7,0.7
118,Ivan Perisic,4,3,1.8,0.5,0.3,0.4,0.6,0.6
119,Ellyes Skhiri,1,3,0.8,0.7,0.6,0.1,1.2,1.2
120,Weston McKennie,3,-,1.1,1,0.5,-,0.7,0.7
121,Davy Klaassen,7,5,1.4,0.3,1.1,0.1,0.5,0.5
122,Patrick Herrmann,6,6,1.5,0.4,0.8,0.5,0.7,0.7
123,Alexander Schwolow,-,-,-,-,0.1,-,-,-
124,Manuel Neuer,-,-,-,-,0.1,-,-,-
125,Marco Friedl,1,3,0.4,0.5,1.6,-,0.7,0.7
126,Oliver Baumann,-,-,-,-,0.3,-,-,-
127,Christoph Baumgartner,7,2,2.1,0.9,1.1,0.2,1,1
128,Felix Uduokhai,-,-,0.2,0.2,0.6,-,0.4,0.4
129,Charles Aránguiz,1,3,0.6,0.5,1.6,-,0.7,0.7
130,Jeremiah St. Juste,2,2,0.5,0.4,0.9,-,0.3,0.3
131,Josuha Guilavogui,-,1,1,0.5,0.6,0.2,0.4,0.4
