,Name,AvgP,PSp,Crosses,LonB,ThrB
107,Florian Grillitsch,56.2,88.8,0.1,3.6,0.1
108,Yann Sommer,40.5,80.7,-,7.2,-
109,Jean-Paul Boëtius,31.9,76,0.1,1.8,0.1
110,Yuya Osako,22.3,75.5,0.1,1,0.1
111,Karim Onisiwo,9.8,64.1,0.1,0.1,-
112,Robin Zentner,29.3,57.2,-,6,-
113,Renato Steffen,22.8,76.3,0.1,1.2,-
114,Stefan Lainer,37.9,71.4,0.8,2.2,-
115,Vladimír Darida,37.3,75.9,1.2,2.5,0.1
116,Dominique Heintz,47.6,82.9,0.1,4.3,0.1
117,Christian Günter,30.5,72.5,2.6,1.4,0.1
118,Ivan Perisic,24.3,77,0.6,0.7,0.1
119,Ellyes Skhiri,42.9,85.6,0.1,2.7,-
120,Weston McKennie,36.7,80.9,-,2.2,-
121,Davy Klaassen,37.4,76.5,0.1,1.6,-
122,Patrick Herrmann,16.5,76.5,0.4,0.5,-
123,Alexander Schwolow,35.6,65.1,-,7.6,-
124,Manuel Neuer,37.7,86.4,-,6,-
125,Marco Friedl,38.2,77.7,0.8,2.5,-
126,Oliver Baumann,36.9,75.2,-,5.5,-
127,Christoph Baumgartner,18,71.6,0.1,0.3,-
128,Felix Uduokhai,35.4,80.8,-,2.7,-
129,Charles Aránguiz,59.4,86,0.1,2.9,-
130,Jeremiah St. Juste,40,86.2,-,2.4,-
131,Josuha Guilavogui,39.7,81.5,-,3.3,0.1
132,Jérôme Roussillon,26.5,72.6,0.4,0.8,-
133,Lukás Hrádecky,41,74.3,-,8.1,-
134,Robin Knoche,46.2,82.4,-,3.4,-
135,Xaver Schlager,28.3,76.5,0.1,1.2,-
136,Robin Koch,47.1,83.7,0.1,4.3,0.1
137,Josip Brekalo,23.9,72.8,0.7,1.3,0.1
138,Tony Jantschke,37.4,80.3,0.2,2.2,0.1
139,Tin Jedvaj,34.2,73.7,0.1,2.5,-
140,Benjamin Hübner,62.8,86.4,-,4,0.1
141,Jamilu Collins,47.2,74.7,0.2,2.2,-
142,Emil Forsberg,22.7,80.4,0.5,0.7,0.1
143,Timothy Chandler,15.5,63.3,0.7,0.6,-
144,Daichi Kamada,24.1,79.7,0.9,1,-
145,Noah Katterbach,32.6,66.4,0.2,2.7,-
146,Leon Bailey,17.7,73.3,1,0.6,-
147,Robert Andrich,38.9,72,0.5,2.3,0.1
148,Kingsley Ehizibue,27.1,76.5,0.4,1.2,-
149,Diego Demme,63.9,86.6,0.1,2.3,0.1
150,Rouwen Hennings,18.9,70.7,0.2,0.5,-
151,Rubén Vargas,17.7,63.5,0.2,0.5,0.1
152,Ismail Jakobs,23.6,66.7,0.8,0.6,0.1
153,Sebastian Rode,40.1,84.9,0.4,2.2,-
