,Name,AvgP,PSp,Crosses,LonB,ThrB
229,Néstor Araújo,48,83.2,-,2.9,-
230,Pedro Mosquera,44.6,85.5,0.1,3.4,-
231,Fernando Pacheco,25.4,66.1,-,8.6,-
232,Jon Moncayola,31.4,81.7,0.2,3,-
233,Jon Morcillo,12.8,73.9,1,0.4,-
234,Andrés Guardado,32.3,83.7,-,2.5,-
235,Luuk de Jong,9.9,72.8,-,0.1,-
236,Isco,27.4,90.2,0.2,1.2,-
237,Conan Ledesma,29.5,44.9,-,10.9,-
238,Allan Nyom,20.9,64.1,0.7,1.3,-
239,Sergio Postigo,39.5,82.3,0.1,3.2,-
240,Rui Silva,31.4,52.7,-,9.2,-
241,Roberto Torres,19,72.3,0.8,1.7,-
242,Óscar De Marcos,23.8,77.1,0.2,1,-
243,Mikel Vesga,30.1,77.9,-,1.9,-
244,Carlos Bacca,6.9,65.4,-,0.2,-
245,Rodrigo Battaglia,32.3,84.1,-,1.5,-
246,Diego González,39.1,88.9,-,2.6,-
247,Dani Calvo,33.5,82.4,-,2,-
248,Pedro López,22.1,86,0.5,0.9,-
249,Borja García,25.9,87.8,0.1,1,-
250,Rober Pier,46.3,82.6,-,4.5,-
251,Marcos Mauro,20.4,82.6,-,1.7,-
252,Mikel Rico,26.7,80.1,0.3,1.7,-
253,Anthony Lozano,8.5,62.2,0.1,0.1,-
254,Marko Dmitrovic,27.7,50.2,-,8.9,-
255,Mikel Balenziaga,31.9,77.9,0.4,1.2,-
256,Denis Cheryshev,13,66.9,0.4,0.5,-
257,Aitor Fernández,26.7,72.2,-,4.4,-
258,Ander Barrenetxea,11.9,74.8,0.2,0.4,-
259,Pedro Bigas,29.8,72.2,-,4.4,-
260,Nacho Martínez,34.5,71.2,0.6,2.1,-
261,Shon Weissman,10.3,73.7,-,0.1,0.1
262,Víctor Laguardia,33.6,76.3,-,4.3,-
263,Oihan Sancet,14.4,73.1,-,0.4,-
264,Oier Sanjurjo,25.2,67.1,0.2,1.2,0.1
265,Nemanja Radoja,32.3,86.3,-,1.7,-
266,Jordi Masip,28.1,46.7,-,7.3,-
267,Miralem Pjanic,39.3,91.4,0.1,0.8,-
268,Juan Cruz,23.4,72.1,0.3,1,-
269,Domingos Duarte,32.9,77,-,2.8,-
270,Carlos Neva,17,68.1,0.3,0.8,-
271,Kike Pérez,21.5,81.7,-,1.3,-
272,Trincão,13.3,86.3,-,0.1,-
273,Dimitri Foulquier,23.4,70.6,0.2,1.7,-
274,Pedro León,10.3,69.4,1.2,0.4,-
275,Martín Aguirregabiria,21.1,71.4,0.5,1.2,-
276,Óscar Rodríguez,14.8,83.8,0.4,0.7,-
277,Iván Marcone,45.8,87.1,-,3.5,-
278,Sergi Guardiola,17.2,67,0.2,0.7,-
279,William Carvalho,35.5,84.7,-,2.3,0.1
280,Fran Beltrán,23.9,90.6,0.1,1.3,-
281,Asier Villalibre,8,63.7,0.1,0.1,-
282,Jony,12.9,64,0.9,0.8,-
283,Takashi Inui,15.1,75.9,0.4,0.7,-
