,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
60,Sadio Mané,0.4,-,0.6,-,0.1,0.3,0.1,-
61,Anton Stach,0.9,1.4,0.9,-,0.8,0.7,0.1,-
62,Dodi Lukébakio,0.6,0.4,1,-,0.5,0.7,0.2,-
63,Robert Andrich,2.1,1.4,1.2,0.1,1.8,0.7,0.3,1
64,Lucas Höler,0.7,0.4,0.8,-,0.7,0.6,0.2,-
65,Kevin Stöger,2.6,0.8,1.3,0.1,0.6,2,0.1,-
66,Kevin Behrens,0.3,0.2,1.1,-,0.7,0.4,0.1,-
67,Ihlas Bebou,1,0.4,1.2,-,0.8,0.3,0.1,-
68,Karim Onisiwo,0.6,0.1,1.6,-,0.2,0.5,-,-
69,Timo Werner,0.4,0.3,0.3,-,0.1,0.3,-,-
70,Exequiel Palacios,2.4,1.3,0.9,-,1,0.8,0.1,-
71,Marius Wolf,1,0.7,0.5,0.2,0.8,0.5,0.4,-
72,Aurélio Buta,1.8,0.5,1.7,0.2,1.7,0.7,0.1,-
73,Manu Koné,2.5,1.1,1.7,0.1,0.7,0.8,0.4,-
74,Philipp Lienhart,1,1.2,0.6,0.3,3.2,0.5,0.5,-
75,Lukas Kübler,1.7,1.3,0.8,0.1,2.1,0.5,0.5,-
76,Lars Stindl,0.8,0.4,1,-,0.6,0.6,0.2,-
77,Daichi Kamada,1.6,0.5,1.3,-,0.5,0.8,0.1,-
78,Rafal Gikiewicz,0.1,-,-,-,1.2,-,-,-
79,Mark Flekken,-,-,-,-,0.6,-,-,-
80,Niklas Süle,0.9,0.6,0.3,0.7,1.8,0.3,0.7,-
81,Nicolas Höfler,2.1,1.8,2.1,0.1,1.4,1.1,0.4,-
82,Gregor Kobel,-,-,-,-,0.5,-,-,1
83,Lee Jae-Sung,1.1,0.5,0.5,-,0.4,0.6,0.1,-
84,Koen Casteels,-,-,-,-,0.6,-,-,-
85,Christopher Trimmel,1.2,1,0.7,0.1,1.8,0.4,-,-
86,Serhou Guirassy,0.2,-,0.8,-,0.6,-,0.1,-
87,Benjamin Henrichs,2.4,1.2,1.2,-,1.3,0.8,0.1,-
88,Ermedin Demirovic,1,0.5,1.6,-,1.2,0.4,0.1,-
89,Stefan Bell,1.4,1.5,1.6,0.3,4.4,0.7,0.5,-
90,Ko Itakura,1.2,1.1,0.5,0.9,3.8,0.6,1,-
91,Leandro Barreiro,1.9,1.3,1.5,-,1.1,0.9,0.4,-
92,Ridle Baku,1.5,0.6,0.8,0.2,1.6,0.8,0.2,-
93,Angeliño,1.2,0.8,0.4,0.1,1.6,0.4,0.2,-
94,Marius Bülter,0.7,0.3,0.8,-,0.5,0.6,-,-
95,Tuta,1.7,1.6,1.1,0.5,4.1,0.8,0.5,-
96,Ivan Ordets,1,1.9,1.1,0.5,4.5,0.4,0.6,-
97,Junior Dina Ebimbe,1.6,0.6,0.8,-,1,0.9,0.3,-
98,Dayot Upamecano,2.2,0.9,1,0.4,2.4,0.6,0.2,-
99,Jakub Kaminski,1.2,0.3,0.3,0.1,0.4,0.6,0.1,-
100,Marco Richter,1.5,0.8,1.2,-,0.6,1,0.1,-
101,Kevin Akpoguma,2.7,0.9,1.2,0.4,2.2,0.5,0.6,-
102,Oliver Baumann,-,-,-,-,0.9,-,-,-
103,Anthony Losilla,2.5,1.2,1.5,-,2.1,1.3,0.4,-
104,Xaver Schlager,1.9,0.8,1.2,-,1,1,0.1,-
105,Kerem Demirbay,1.4,0.6,1.2,-,0.4,0.6,0.2,-
106,Hiroki Ito,1.3,1.3,0.5,0.5,2.8,0.6,0.6,-
107,Anthony Caci,1.9,1.7,0.6,0.1,1.2,0.5,0.1,-
108,Amine Adli,0.7,0.2,1.5,-,0.2,0.5,0.1,-
109,Mërgim Berisha,0.5,-,1.2,-,0.8,0.4,-,-
110,Marco Reus,1.2,0.3,0.7,-,0.3,0.7,0.2,-
