,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
43,Maximilian Arnold,Wolfsburg,29, M(CR),32(1),2826,4,8,8,-,1.9,81.1,0.8,3,7.01,1.3,0.8,1.6,0.1,1,1.4,0.2,-,0.6,2.1,-,0.9,0.9,40.8,81.1,1.4,4.2,0.1
44,David Alaba,Bayern,31," D(CL),M(CL)",27(1),2498,1,1,-,-,0.7,90.7,0.8,-,6.99,1.1,1,0.4,0.6,1.2,0.3,0.4,-,0.3,0.3,-,0.1,0.1,86.7,90.7,0.4,5.0,0.1
45,Milot Rashica,Werder Bremen,27," AM(CLR),FW",27(1),2278,8,5,2,-,2.6,75.9,0.5,2,6.99,0.8,0.2,1,-,0.4,0.9,0.1,-,2,1.7,0.3,1.9,1.9,19.9,75.9,1,1.1,-
46,Omar Mascarell,Schalke,31," D(C),DMC",23,2029,-,1,4,-,0.4,85.0,2.5,-,6.99,1.8,2.7,1.1,-,1.7,1.6,0.6,-,0.5,0.8,-,0.5,0.5,57.2,85.0,-,4.0,-
47,Florian Neuhaus,Borussia M.Gladbach,27, M(C),26(4),2362,4,2,6,-,1.9,83.8,0.5,-,6.98,1.4,0.9,0.7,-,0.2,1.4,0.1,-,1.6,1.7,0.1,0.8,0.8,40.8,83.8,0.1,1.9,0.1
48,Axel Witsel,Borussia Dortmund,35," D(C),M(C)",25(3),2245,4,5,4,-,1.1,94.1,0.8,-,6.98,1,1.1,1.4,-,0.6,0.7,0.3,-,0.8,1.4,0.1,1,1,63.8,94.1,0.1,1.5,-
49,Sven Bender,Leverkusen,35," D(C),M(C)",33,2730,2,1,3,-,0.5,91.3,3.4,2,6.98,1.6,2,0.8,0.5,2.6,0.8,0.4,-,0.2,0.6,-,0.2,0.2,77.4,91.3,-,3.1,-
50,Lars Bender,Leverkusen,35," D(CR),M(CR)",16(2),1375,2,1,3,-,0.8,86.2,1.4,-,6.97,2.3,1.3,1,0.4,1.5,1.1,0.3,-,0.8,0.6,0.1,0.4,0.4,50.4,86.2,0.1,2.0,-
51,Maximilian Mittelstädt,Hertha Berlin,27," D(L),M(CL)",19(7),1883,1,3,4,-,0.8,72.5,1.6,2,6.97,2.3,2,0.9,0.2,1.9,1.1,0.2,-,0.7,0.8,-,1,1,33.6,72.5,0.8,3.3,-
52,Jhon Córdoba,FC Koln,30, FW,23(6),2005,13,2,5,-,2.1,76.4,3.2,2,6.96,0.3,0.2,2,-,0.6,0.3,-,-,0.7,2.2,0.9,1.6,1.6,14.2,76.4,0.1,0.3,-
53,Konrad Laimer,RBL,26," D(R),M(CR)",26(3),2124,2,6,6,1,0.3,81.1,0.8,-,6.96,3.1,1.2,2.1,-,0.3,2,0.3,-,1.2,0.7,-,1.1,1.1,43.9,81.1,0.1,2.2,0.1
54,Daniel Caligiuri,Schalke,36," D(R),M(CLR),FW",26(2),2300,2,2,5,-,1.6,67.6,2.1,-,6.95,2.1,0.9,0.9,0.1,1.1,1.7,0.2,-,1.5,1.5,-,2.1,2.1,30.0,67.6,1.1,1.4,-
55,Christopher Lenz,Union Berlin,29," D(L),M(L)",26,2269,-,3,2,-,0.5,72.5,1.8,1,6.94,2.4,1.7,1.3,0.3,2.1,0.9,0.4,-,0.9,0.8,-,0.5,0.5,30.8,72.5,0.5,1.9,-
