,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
116,Joseba Zaldúa,Real Sociedad,31, D(R),25(1),2142,1,2,7,-,0.2,77.4,1.8,-,6.80
117,Ramiro Funes Mori,Villarreal,33," D(C),DMC",29(2),2628,2,1,15,-,0.8,81,2.3,-,6.80
118,Borja García,Girona,33, AM(CL),30(3),2639,1,3,-,1,1,82.8,0.7,1,6.80
119,Dídac Vilá,Espanyol,34," D(L),M(L)",27,2358,-,2,10,-,0.9,73.2,1.8,-,6.79
120,William Carvalho,Real Betis,32, M(C),26(4),2387,-,5,7,-,0.3,89,1.3,-,6.79
121,David Juncà,Celta Vigo,30, D(L),21,1758,-,3,6,-,0.3,83.5,1.2,1,6.79
122,Gerard Moreno,Villarreal,32," AM(CR),FW",25(10),2317,8,1,3,-,2,71.8,1.8,3,6.79
123,Abdoulaye Ba,Rayo Vallecano,33, D(C),25(1),2113,1,-,4,2,0.3,82.4,2.7,1,6.78
124,Nemanja Maksimovic,Getafe,29, M(C),36,3211,1,-,5,-,0.9,75.6,2.3,-,6.78
125,Samuel Chukwueze,Villarreal,24, AM(CR),19(7),1711,5,2,2,-,2.2,73.4,0.6,1,6.78
126,Marco Asensio,Real Madrid,28," AM(CLR),FW",19(11),1779,1,4,3,-,1.5,86.8,0.1,-,6.78
127,Kenneth Omeruo,Leganes,30, D(C),27(1),2434,-,-,7,-,0.1,80.3,1.9,1,6.78
128,Sergi Darder,Espanyol,30, M(CLR),32(2),2718,4,2,6,1,1.6,79.8,0.5,4,6.78
129,Raphaël Varane,Real Madrid,31, D(C),31(1),2757,2,-,-,1,0.6,89,2.9,-,6.78
130,Adri Embarba,Rayo Vallecano,31," AM(CLR),FW",27(9),2291,5,6,3,1,1.4,71.9,0.6,1,6.78
131,Cristian Tello,Real Betis,32, M(LR),13(16),1560,4,6,4,-,1.2,85.5,0.1,1,6.78
132,Tomás Pina,Deportivo Alaves,36, M(C),27(1),2343,2,-,13,-,0.4,82.8,2.1,1,6.77
133,Rubén Duarte,Deportivo Alaves,28, D(CL),33,2777,-,-,10,1,0.7,67.2,1.6,-,6.77
134,Carlos Soler,Valencia,27, M(CLR),27(4),2466,2,6,9,-,1.3,79.5,0.8,1,6.77
135,Mikel Vesga,Leganes,31, DMC,23(3),2075,1,1,3,-,0.5,80.1,1.9,-,6.77
136,Bernardo Espinosa,Girona,34, D(C),31,2729,1,1,2,2,0.5,86,4.2,1,6.77
137,Víctor Laguardia,Deportivo Alaves,34, D(C),36,3240,1,2,12,-,0.5,70.5,2.2,-,6.76
138,Dani Ceballos,Real Madrid,27, M(CL),13(10),1248,3,-,3,-,1,92.6,0.4,-,6.76
139,Mauro Arambarri,Getafe,28, DMC,32(1),2687,1,2,8,-,0.9,69.4,1.7,1,6.76
140,David Soria,Getafe,31, GK,37,3330,-,-,-,-,-,40.4,0.3,2,6.76
141,Jason,Levante,29, M(LR),26(4),2333,2,5,10,-,1.1,69.1,1.1,-,6.76
142,Juanpe,Girona,33, D(C),31(2),2769,-,-,8,-,0.6,81.5,3.3,2,6.76
143,Jorge Pulido,SD Huesca,33, D(CR),32,2790,3,3,9,2,0.6,75.4,2.3,-,6.75
144,Asier Illarramendi,Real Sociedad,34, M(C),20(3),1822,1,1,8,-,0.6,84.9,1.3,-,6.75
145,Diego Llorente,Real Sociedad,30," D(C),DMC",20(1),1755,-,-,5,-,0.3,84.8,2.8,1,6.74
146,Willian José,Real Sociedad,32, FW,28(3),2374,11,5,5,1,1.8,74.8,1.4,2,6.74
147,Christian Rivera,SD Huesca,26, M(C),19(3),1694,2,-,2,-,0.6,79.5,1.1,1,6.74
148,Denis Cheryshev,Valencia,33," AM(L),FW",19(8),1709,2,2,2,-,1.2,69,1.3,-,6.74
149,Unai Bustinza,Leganes,32, D(CR),24(1),2029,-,1,9,1,0.2,71.4,2.3,1,6.74
150,Fernando Pacheco,Deportivo Alaves,31, GK,35,3150,-,-,3,-,-,52.4,0.3,2,6.74
151,Daniel Wass,Valencia,34," D(LR),M(CLR)",26(6),2356,1,3,4,-,0.9,78,1.3,-,6.74
152,Álex Moreno,Rayo Vallecano,30," D(L),M(L)",36,3140,1,1,5,-,0.7,76.3,0.8,1,6.73
153,Néstor Araújo,Celta Vigo,32, D(C),30(2),2682,3,-,1,1,0.4,86,2.2,1,6.73
154,Fernando Calero,Real Valladolid,28," D(C),DMC",35(1),3130,1,-,7,-,0.3,83.6,1.9,1,6.73
155,Enis Bardhi,Levante,28," M(CLR),FW",31(5),2842,3,4,6,-,1.8,76.4,0.3,-,6.73
156,Yassine Bounou,Girona,33, GK,32,2862,-,-,2,-,-,62.7,0.2,1,6.73
157,Alfonso Pedraza,Villarreal,28," D(L),M(L)",22(12),2089,3,3,3,-,1.1,75.8,0.8,2,6.72
158,Gabriel Mercado,Sevilla,37, D(CR),19(4),1738,2,1,10,-,0.5,82,2,-,6.72
159,Roberto Santamaría,SD Huesca,39, GK,20,1800,-,-,1,-,-,50,0.1,-,6.72
160,David López,Espanyol,34," D(C),DMC",21,1820,-,-,4,-,0.4,88.3,2.5,1,6.72
161,Diego López,Espanyol,42, GK,38,3420,-,-,2,-,-,65.9,0.2,2,6.72
162,Iván Ramis,Eibar,39, D(C),20(1),1682,-,-,4,-,0.8,79.4,3,-,6.72
163,Pablo Fornals,Villarreal,28, M(CLR),28(7),2483,2,3,4,-,1.7,78.1,0.6,1,6.71
164,Thibaut Courtois,Real Madrid,31, GK,27,2430,-,-,2,-,-,72.5,0.3,1,6.71
165,Santi Mina,Valencia,28," AM(LR),FW",23(7),1860,7,5,4,-,1.4,73,1.4,2,6.71
166,Míchel Herrero,Real Valladolid,35, M(CR),27(8),2554,1,2,9,-,0.6,84.7,0.7,1,6.71
167,Mario Gaspar,Villarreal,33," D(CR),M(R)",30(1),2602,1,2,15,1,0.8,77.2,1.7,-,6.71
168,Kiko Olivas,Real Valladolid,35, D(C),35,3102,-,-,6,-,0.2,88.1,1.9,-,6.71
169,Sidnei,Real Betis,34, D(C),20(4),1743,1,-,4,-,0.4,89.5,1.4,2,6.71
170,Sergi Gómez,Sevilla,32, D(CR),31(1),2766,-,-,1,-,0.3,84.6,2.6,-,6.70
171,Santi Comesaña,Rayo Vallecano,27, M(C),23(2),2032,1,1,6,-,0.3,84.9,1.6,-,6.70
172,Anaitz Arbilla,Eibar,36, D(CLR),22(3),1950,1,2,4,1,0.7,75.3,2.4,-,6.70
173,Charles,Eibar,40, FW,17(17),1736,14,1,4,-,1.9,69.4,3.1,3,6.70
174,Moi Gómez,SD Huesca,29, M(CLR),35(1),3061,2,7,3,-,0.7,82.8,0.6,1,6.70
175,Paulo Oliveira,Eibar,32, D(C),24(4),2243,-,-,4,-,0.3,68.7,2.8,-,6.70
176,Neto,Valencia,34, GK,34,3060,-,-,2,-,-,48.6,0.1,1,6.70
177,Juanfran,Atletico,39, D(R),18(4),1609,-,2,7,-,-,82.2,0.6,1,6.69
178,Óscar Plano,Real Valladolid,33," AM(CLR),FW",30(3),2697,3,4,8,-,1.4,76.8,1.1,4,6.69
179,Xabier Etxeita,SD Huesca,36, D(C),30(1),2678,4,-,11,-,0.8,75.2,2.6,1,6.69
180,Marc-André ter Stegen,Barcelona,32, GK,35,3150,-,-,-,-,-,83.2,0.1,-,6.69
181,Manu García,Deportivo Alaves,38, DMC,25(9),2327,1,1,6,-,0.8,74.3,3.1,-,6.68
182,Nélson Semedo,Barcelona,30," D(LR),M(R)",20(6),1602,1,-,4,-,0.2,91.2,0.7,-,6.68
183,Toño,Levante,34," D(L),M(L)",21,1767,1,2,4,-,0.7,74.8,0.4,-,6.68
184,Beñat Etxebarria,Athletic Club,37, M(C),25(2),2045,1,2,8,-,0.6,85,0.8,1,6.68
185,Chimy Ávila,SD Huesca,30," AM(LR),FW",20(14),1995,10,2,10,1,2.6,54.3,2.1,2,6.68
186,Ángel Correa,Atletico,29," AM(CLR),FW",20(16),1922,3,2,7,1,0.9,75.6,0.3,1,6.68
187,Martin Braithwaite,Leganes,32," AM(CLR),FW",16(3),1407,4,5,5,-,1.5,73,1.6,1,6.67
188,Dani García,Athletic Club,33, DMC,29,2482,-,-,13,-,0.1,82.8,2,-,6.67
189,Luis Advíncula,Rayo Vallecano,34," D(R),M(R)",27(1),2391,1,3,2,2,0.6,82.2,0.9,1,6.67
190,Aïssa Mandi,Real Betis,32, D(CLR),34(1),3061,1,1,10,-,0.2,92.6,1.6,2,6.67
191,Giannelli Imbula,Rayo Vallecano,31, M(C),21(1),1739,1,1,7,-,1,91.3,0.4,1,6.67
192,Víctor Ruiz,Villarreal,35, D(C),22,1976,-,-,10,-,0.4,86,2.2,-,6.67
193,Iñigo Córdoba,Athletic Club,27," AM(CLR),FW",15(8),1324,-,5,4,-,1,70,1,-,6.67
194,Cucho Hernández,SD Huesca,25," AM(CLR),FW",25(9),2155,4,3,6,-,2.4,70,1.7,-,6.66
195,Jaume Costa,Villarreal,36," D(LR),M(L)",18(3),1498,1,-,6,-,0.6,82.4,1.2,1,6.66
196,Isco,Real Madrid,32," M(CLR),FW",11(16),1188,3,2,3,-,0.9,88.6,0.3,-,6.66
197,Pere Pons,Girona,31, M(C),32(2),2797,1,2,4,-,0.6,78.5,1.5,1,6.66
198,Rubén Pérez,Leganes,35, M(C),27(4),2473,-,-,7,1,0.4,80.2,1.6,-,6.66
199,Álvaro González,Villarreal,34, D(C),34,2967,1,2,13,2,0.4,79.9,2.5,2,6.66
200,Sergio Escudero,Sevilla,34," D(L),M(L)",18(3),1553,-,1,6,1,1.3,81,1,1,6.65
201,Bruno González,Getafe,33, D(C),18(5),1697,-,1,5,1,0.3,70.8,2.3,1,6.65
202,Allan Nyom,Leganes,35," D(LR),M(R)",20(3),1712,1,1,8,1,0.2,75.6,1,1,6.65
203,Iván Cuéllar,Leganes,39, GK,34,3056,-,-,5,-,-,51.7,0.4,1,6.65
204,Mouctar Diakhaby,Valencia,27," D(C),DMC",16(6),1574,2,-,9,-,0.5,85.1,1.6,-,6.65
205,Nacho,Real Madrid,34, D(CLR),19(1),1701,-,1,6,1,0.3,90.1,1.5,-,6.64
206,Chema Rodríguez,Levante,32, D(CL),13(6),1254,2,-,7,-,0.3,73.9,1.7,-,6.64
207,Óscar Trejo,Rayo Vallecano,36," M(CLR),FW",22(4),1774,1,4,5,1,0.8,78.5,1.1,-,6.64
208,Pau López,Real Betis,29, GK,33,2970,-,-,3,-,-,79.1,0.3,2,6.64
209,Juanfran,Leganes,35," D(R),M(R)",17(6),1459,1,1,-,-,0.4,72.8,0.9,-,6.64
210,Rubén Pardo,Real Sociedad,31, M(C),16(8),1374,1,2,3,-,0.9,82.9,0.4,-,6.63
211,Lucas Vázquez,Real Madrid,32," D(R),M(R)",15(16),1502,1,3,4,1,0.8,84.1,0.2,1,6.63
212,Roger Martí,Levante,33, FW,23(8),1895,13,-,4,-,2.3,69.5,0.8,2,6.63
213,Francis Guerrero,Real Betis,28," D(R),M(LR)",22,1790,-,1,1,-,0.5,81.5,0.4,-,6.63
214,David Zurutuza,Real Sociedad,37, M(CL),13(8),1223,2,-,2,-,0.5,80.8,1.9,1,6.63
215,Coke,Levante,37," D(CLR),M(R)",19(8),1815,4,-,2,1,0.4,74.8,0.9,1,6.63
216,Pedro Porro,Girona,24," D(R),M(R)",25(7),2214,-,4,4,-,0.7,70.5,0.6,-,6.63
217,Léo Baptistão,Espanyol,31," AM(CLR),FW",14(6),1236,2,1,3,-,2.1,73.4,0.7,-,6.61
218,Portu,Girona,31," M(CLR),FW",33(1),2833,9,2,3,-,1.1,74.2,0.8,2,6.61
219,Ander Capa,Athletic Club,32," D(R),M(R)",17(8),1637,-,-,9,-,0.4,73.7,1.2,-,6.60
220,Óscar Melendo,Espanyol,26," AM(CLR),FW",22(10),2006,-,5,3,-,0.3,85.3,0.3,-,6.60
221,Santiago Cáseres,Villarreal,27, DMC,17(6),1590,-,1,10,-,0.2,90.8,1.1,-,6.60
222,Gonzalo Escalante,Eibar,31, DMC,18(14),1784,4,1,6,-,0.7,78.2,1.4,-,6.59
223,Dimitri Foulquier,Getafe,31," D(CLR),M(R)",23(2),1809,3,2,7,-,0.5,62.8,1,1,6.59
224,Rober Pier,Levante,29," D(C),DMC",32(1),2855,1,-,6,-,0.2,81.6,1.9,-,6.59
225,Quincy Promes,Sevilla,32," M(CLR),FW",15(18),1571,2,3,2,-,0.9,78.9,0.6,1,6.59
226,Enes Ünal,Real Valladolid,26, FW,24(9),2152,6,3,7,-,1.6,69.5,3.1,-,6.59
227,Marc Cucurella,Eibar,25," D(CL),M(L)",26(5),2356,1,2,6,-,0.7,78.8,1.3,-,6.58
228,Douglas Luiz,Girona,25, M(C),16(7),1487,-,-,7,-,0.7,84.5,1.1,-,6.58
229,Gustavo Cabral,Celta Vigo,38, D(C),21(3),1898,-,-,2,2,0.7,87.1,3,-,6.58
230,Tomás Vaclík,Sevilla,35, GK,33,2970,-,-,1,-,-,52,0.4,2,6.58
231,Óscar De Marcos,Athletic Club,35," D(LR),M(CR)",28(2),2427,1,2,4,2,0.3,77.1,1.3,1,6.57
232,Sergio Álvarez,Eibar,32," D(C),M(C)",12(7),1065,-,-,1,-,0.1,79.3,1.9,-,6.57
233,Jordi Masip,Real Valladolid,35, GK,35,3150,-,-,1,-,-,44.5,0.1,3,6.57
234,Gerónimo Rulli,Real Sociedad,31, GK,27,2430,-,-,3,-,-,68.9,0.4,2,6.57
235,Markel Susaeta,Athletic Club,36, M(LR),15(7),1380,1,2,2,1,0.7,82.7,0.2,1,6.57
236,Aleix García,Girona,26, DMC,20(11),1667,2,1,1,-,0.6,85,0.5,1,6.56
237,Martín Aguirregabiria,Deportivo Alaves,27," D(LR),M(R)",23(4),2034,-,-,5,-,-,68.9,0.7,-,6.56
238,Andrés Guardado,Real Betis,37," D(L),M(CL)",27(4),2340,-,4,8,-,0.8,88.9,0.5,-,6.55
239,Héctor Moreno,Real Sociedad,36, D(CL),21(4),1929,1,-,2,-,0.2,85.8,1.5,-,6.55
240,José Pozo,Rayo Vallecano,28, AM(C),16(13),1612,3,-,4,-,0.8,83.3,0.3,-,6.55
241,Vitolo,Atletico,34," M(CLR),FW",5(15),745,-,1,1,-,0.4,77.9,0.3,-,6.55
242,Rubén Blanco,Celta Vigo,28, GK,25,2250,-,-,2,-,-,60.1,0.1,-,6.53
243,Álvaro Medrán Just,Rayo Vallecano,30, M(C),12(9),1148,3,-,6,1,1.1,83.1,0.5,1,6.53
244,Keko,Real Valladolid,32, M(R),20(6),1545,2,1,3,-,0.8,71.9,0.4,-,6.53
245,Javi Moyano,Real Valladolid,38, D(R),25(2),2108,-,-,3,-,0.2,74.1,1,1,6.52
246,Ferran Torres,Valencia,24," AM(LR),FW",8(16),843,2,1,5,-,0.7,77.7,1.3,-,6.51
247,Hernán Pérez,Espanyol,35, M(LR),10(9),798,1,2,1,-,0.8,72.5,0.7,-,6.51
248,Damián Musto,SD Huesca,36, DMC,20(4),1689,-,-,11,-,0.5,80.4,2,-,6.51
249,Stanislav Lobotka,Celta Vigo,29, DMC,27(4),2493,-,1,1,-,0.4,89.2,0.3,-,6.51
250,Bebé,Rayo Vallecano,33," AM(LR),FW",13(14),1296,1,1,6,-,2.2,68.1,0.9,1,6.51
251,Manu Trigueros,Villarreal,32," M(CLR),FW",18(6),1549,-,-,3,-,0.8,86.7,0.8,1,6.51
252,Stole Dimitrievski,Rayo Vallecano,30, GK,21,1890,-,-,3,-,-,58.3,0.3,1,6.50
253,Borja Mayoral,Levante,27," AM(R),FW",16(13),1614,3,2,1,-,0.8,80.6,0.8,-,6.50
254,David Ferreiro,SD Huesca,36, AM(CLR),23(12),2277,1,3,5,-,1,75.8,0.2,-,6.50
255,Jordi Amat,Rayo Vallecano,32," D(CL),DMC",31,2764,-,-,10,-,0.2,82.4,1.6,-,6.50
256,Arthur,Barcelona,27, DMC,19(8),1441,-,1,2,-,0.2,93.5,0.1,-,6.49
257,Mubarak Wakaso,Deportivo Alaves,33, M(CLR),18(11),1668,1,1,9,-,1.1,77.3,0.6,-,6.49
258,Roque Mesa,Sevilla,34, DMC,20(11),1747,2,2,9,1,0.9,87.4,0.4,-,6.48
259,Loren Morón,Real Betis,30, FW,22(11),1960,6,-,3,-,1.8,75.4,0.8,-,6.48
260,Juanmi,Real Sociedad,30," AM(CLR),FW",16(14),1522,5,2,3,1,1.4,80.2,0.6,1,6.48
261,Rubén Sobrino,Deportivo Alaves,31," AM(CLR),FW",10(10),964,3,1,2,-,1,68.4,1.3,2,6.48
262,Francisco Portillo,Getafe,33, M(CLR),19(13),1992,1,4,3,1,0.3,76.5,0.2,-,6.47
263,Álex Gallar,SD Huesca,32, AM(R),10(15),1004,4,1,2,-,1.1,74.7,0.2,1,6.47
264,Iago Herrerín,Athletic Club,36, GK,31,2790,-,1,1,-,-,52.2,0.6,1,6.46
