,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
140,John Boye,1.7,2.3,0.9,0.3,3.9,0.7,0.6,1
141,Nicolas Pallois,1.8,1.2,0.7,0.4,4.8,1.1,0.6,1
142,Terem Moffi,0.4,0.1,0.9,-,0.3,0.5,0.1,-
143,Adil Aouchiche,1.1,0.3,0.6,-,0.2,1.1,-,-
144,Remi Oudin,0.9,1.3,0.6,-,0.9,0.6,0.1,-
145,Wahbi Khazri,1.1,0.2,1.1,-,0.5,0.5,-,-
146,Anthony Lopes,-,-,0.1,-,0.7,-,-,2
147,Jason Denayer,0.8,0.9,0.7,0.4,2.7,0.2,0.8,-
148,Walter Benítez,-,-,-,-,0.3,0.1,-,-
149,Daniel Congré,1.6,1.8,0.8,0.2,3.7,0.9,0.9,-
150,Rony Lopes,0.7,0.3,0.5,-,0.2,0.8,0.1,-
151,Alexandre Oukidja,-,-,-,-,0.9,-,-,-
152,Thomas Foket,2.1,1.9,0.9,0.1,2,0.8,0.2,1
153,Ibrahima Sissoko,1.9,1.3,1.8,-,1.1,1.1,0.1,-
154,Predrag Rajkovic,0.1,0.1,-,-,0.9,0.1,-,-
155,Presnel Kimpembe,1.6,1.1,1.1,0.6,2.1,0.4,0.4,-
156,Dennis Appiah,2.5,1.1,0.7,0.2,1.7,1.2,0.3,-
157,Ignatius Ganago,0.2,0.3,0.6,-,0.1,0.4,-,-
158,Charles Traoré,2.4,1.6,1.4,0.3,2.4,1.2,0.2,-
159,Thiago Mendes,1.2,1.3,0.8,-,0.6,0.6,0.2,-
160,William Saliba,0.8,1.3,0.8,0.7,4,0.1,0.8,-
161,Flavien Tait,1.1,0.6,0.8,-,-,1,0.1,-
162,Jonas Omlin,-,-,0.1,-,0.5,0.1,-,1
163,Andreaw Gravillon,1,2.3,0.7,0.3,4.2,0.6,1.2,1
164,Fábio,2.8,1.7,1.6,0.1,2,1.2,0.4,-
165,Jonathan Ikoné,0.5,0.2,0.4,-,0.2,0.4,-,-
166,Cesc Fàbregas,1,0.6,0.7,-,0.1,0.6,-,-
167,Miguel Trauco,1.8,1.2,1.1,-,1.3,0.8,0.2,-
168,Mathieu Cafaro,1.3,0.5,0.9,-,0.4,1,-,-
169,Valon Berisha,1.7,1,0.6,-,0.8,1.5,0.1,-
170,Baptiste Reynet,0.1,-,-,-,0.5,0.1,-,-
171,Álvaro González,0.8,1,1,1,3.6,0.4,0.6,-
172,Issiaga Sylla,1.4,0.8,0.9,0.1,1,0.5,0.2,-
173,Matthieu Udol,1.4,1.6,0.6,0.2,0.9,0.9,0.2,-
174,Axel Disasi,1,0.9,1,0.4,2.2,0.5,0.4,1
175,Toma Basic,1,0.9,1.2,-,1.1,1.2,0.1,-
176,Romain Hamouma,0.4,0.2,1.1,-,0.3,0.7,-,-
177,Souleyman Doumbia,1.8,1.6,1.2,0.3,1.3,0.5,0.1,1
178,Hwang Ui-Jo,0.4,0.2,0.9,-,0.3,0.5,0.1,-
179,Clément Grenier,0.9,0.2,1.2,-,0.1,1,-,-
180,Alban Lafont,-,-,-,-,0.8,-,-,-
181,Dimitri Liénard,1.1,0.5,0.6,-,0.2,0.9,-,-
182,Adrien Truffert,1.3,0.6,0.8,0.2,1.1,0.4,0.2,-
183,Yusuf Yazici,0.4,0.1,0.4,-,0.1,0.7,-,-
184,Hicham Boudaoui,2.1,0.9,1.2,-,1,1.7,0.2,-
185,Niclas Eliasson,0.9,0.8,0.8,-,0.4,0.4,-,-
186,Jean-Charles Castelletto,1.3,1.8,1.4,0.5,3.1,0.5,0.8,-
187,Jean-Ricner Bellegarde,1.6,0.5,0.9,-,0.4,0.3,0.1,-
188,Thilo Kehrer,1.3,0.6,1.1,0.3,1.5,0.7,0.2,-
189,Pierrick Capelle,1.5,1.3,0.9,0.1,0.9,1.4,-,-
190,Jonathan Panzo,0.8,2.7,1.3,0.4,4,0.1,0.6,-
191,Benoît Costil,-,-,-,-,0.8,0.1,-,-
192,Nicolas Cozza,2,1.3,0.8,0.2,2.8,1,0.6,-
193,Enzo Le Fée,1.4,0.7,0.7,-,0.2,1.3,0.2,-
194,Domagoj Bradaric,1.1,1,0.7,0.1,0.5,0.6,0.2,-
195,Alfred Gomis,-,0.1,-,-,0.8,-,-,-
196,Lassana Coulibaly,2.7,1.1,0.9,-,0.6,1.2,0.1,-
197,Arnaud Nordin,0.4,0.3,0.4,-,0.3,0.5,0.1,-
198,Maxence Caqueret,2.5,0.8,1.1,-,0.1,2.4,0.1,-
199,Lamine Fomba,2.1,1.8,1.4,-,1.1,1.1,0.6,-
