,Name,AvgP,PSp,Crosses,LonB,ThrB
175,Federico Mattiello,18.6,81.7,0.4,0.6,-
176,Allan,35.2,87.4,0.1,2.1,-
177,Danilo,49.7,87.4,0.1,2.1,-
178,Morten Thorsby,31,77.4,0.2,0.9,-
179,Rodrigo Becão,35.3,85.2,-,2.2,-
180,Simone Missiroli,42.1,84.3,-,1.3,-
181,Lukasz Skorupski,24.9,73.8,-,5.6,-
182,Nahitan Nández,33.5,79,0.7,1.5,-
183,Cristián Zapata,44.3,91.3,0.1,1.8,-
184,Mert Müldür,28.1,85.8,0.1,0.8,-
185,Milan Badelj,42.5,82.1,-,2.7,0.1
186,Aaron Ramsey,29.6,88,-,0.5,-
187,Marco Mancosu,25.1,77.5,0.3,1,-
188,Federico Bonazzoli,10.4,72.7,0.1,0.8,-
189,Giulio Donati,40.5,86.9,1.1,1.9,-
190,Davide Calabria,38.1,81.1,0.6,2.5,-
191,Jhon Chancellor,33.6,86,-,2.3,-
192,Marlon,60.9,94.3,-,2.7,-
193,Milan Skriniar,62.4,92.1,-,3.7,-
194,Sebastien De Maio,30.8,79.4,-,1.6,-
195,Thiago Cionek,40,76.4,0.4,1.8,-
196,Andrea Poli,36.5,89.9,-,0.7,-
197,Pol Lirola,29.7,76.5,0.3,1.5,-
198,Kevin Lasagna,12.7,70.8,-,0.2,-
199,Hamed Traorè,22.8,83,0.6,0.5,0.1
200,Pau López,27.2,76.3,-,5.9,-
201,Pedro Obiang,43.4,88.7,-,1.2,-
202,Gastón Brugman,28.7,83.3,0.3,2.4,-
203,Samir,34.7,87.5,-,1.6,-
204,Andrea Conti,38.2,83.6,0.3,1.2,-
205,Matteo Darmian,36.3,78.3,0.2,2.3,-
206,Emil Audero,25,60.2,-,6,-
207,Martín Cáceres,46.3,84.2,0.1,3.8,-
208,Manuel Lazzari,24.1,84.8,0.9,0.5,0.1
209,Bruno Alves,40.2,83.1,-,7.2,-
210,Walace,33.8,88.6,-,1.7,-
211,Andrea Pinamonti,18,71.5,0.1,0.4,-
212,Gary Medel,47.7,89.9,-,2,-
213,Mirko Valdifiori,38.3,85.9,1.3,2.9,-
214,Charalampos Lykogiannis,22.9,71.4,0.5,1.2,-
215,Danilo,43.9,77.3,-,3.9,-
216,Marco Parolo,26.4,86.8,-,1.1,-
217,Jens Stryger Larsen,37.9,77.3,1.1,1.1,-
218,Rachid Ghezzal,23.2,85.9,0.7,1.3,-
219,Patric,56.9,88.6,0.1,5.3,-
220,Pierluigi Gollini,24.6,71,-,7.1,-
221,Borja Valero,27.9,90,-,1.6,-
222,Mateo Musacchio,55.7,88.9,-,2.9,-
223,Jacopo Petriccione,39.2,88.9,0.5,3.8,-
224,Luca Pellegrini,32.8,76.1,0.9,1.5,-
225,Bartosz Bereszynski,37.8,78.3,0.5,1.2,-
226,Fabio Depaoli,18.7,71.4,0.8,0.6,-
227,Andrea Cistana,39,84.4,-,2.7,-
228,Gian Marco Ferrari,64.5,93,-,2.3,-
229,Simone Iacoponi,38.5,84.8,-,4.9,-
230,Lucas Paquetá,22.8,78.9,0.1,0.8,-
231,Jeremy Toljan,41.2,85.9,0.3,1,-
232,Blaise Matuidi,29.5,89.1,0.2,0.6,-
233,William Troost-Ekong,35.2,81.5,-,2.7,-
234,Bryan Cristante,40.7,85.2,-,3.6,-
235,Jakub Jankto,22.5,74.7,0.7,0.7,-
236,Panagiotis Tachtsidis,41,79.8,0.2,4.1,-
237,Federico Bernardeschi,21.6,85.9,0.6,1,-
238,Hirving Lozano,11.4,80.1,0.2,0.1,-
239,Samuel Di Carmine,10.7,70.3,-,-,-
240,Marco Calderoni,32.6,74,1.1,1.8,-
241,Antonino Barillà,19,78.6,0.4,0.8,-
242,Mato Jajalo,38.2,83.9,0.2,2.1,-
243,Filippo Romagna,58.4,93.1,-,1.2,-
244,Krzysztof Piatek,12.3,77,0.1,0.2,-
245,Mattia Perin,30.3,57.8,-,7.2,-
246,Valerio Verre,21.2,76.1,0.2,0.6,-
247,Ivan Radovanovic,42.1,86.5,0.3,4.3,-
248,Francesco Magnanelli,53.7,88.8,-,3.1,-
249,Patrick Cutrone,8.5,72,0.1,0.1,0.1
250,Jerdy Schouten,28.5,82.8,-,1.7,0.1
251,Giorgos Kyriakopoulos,36.2,85.1,0.3,1.1,-
