,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB,Pts
67,Breel Embolo,Borussia M.Gladbach,27,AM,28,1551,8,5,4,0,1.6,76.7,0.8,3,6.85,0.8,0.3,1.5,0.0,0.1,0.4,0.0,0,1.5,1.7,0.5,1.7,1.7,13.4,76.7,0.0,0.2,0.1,0.7258064516129032
68,Kevin Volland,Bayer Leverkusen,31,AM,27,2051,10,7,3,0,2.9,70.8,1.4,4,7.1,0.6,0.2,0.8,0.0,0.3,0.4,0.1,0,0.8,0.7,1.1,1.5,1.5,20.2,70.8,0.3,0.3,0.2,0.6935483870967742
69,Andrej Kramaric,Hoffenheim,32,AM,19,1423,12,2,3,0,2.3,83.0,0.5,3,7.21,0.1,0.2,0.3,0.0,0.2,0.3,0.0,0,1.2,1.0,0.4,1.3,1.3,26.9,83.0,0.4,1.1,0.1,0.5161290322580645
70,Christoph Baumgartner,Hoffenheim,24,AM,26,1496,7,2,3,0,2.1,71.6,1.7,2,6.75,1.2,0.3,1.4,0.0,0.4,1.0,0.0,0,0.9,1.1,0.2,1.0,1.0,18.0,71.6,0.1,0.3,0.0,0.5161290322580645
71,Marcus Ingvartsen,Union Berlin,28,AM,28,1725,5,2,4,0,1.6,67.2,1.8,0,6.56,0.7,0.6,1.7,0.0,0.5,0.7,0.0,0,0.5,0.7,0.1,0.7,0.7,17.0,67.2,0.2,0.1,0.0,0.3387096774193548
72,Dodi Lukébakio,Hertha Berlin,26,AM,30,2047,7,6,2,0,1.3,79.7,0.7,0,6.83,0.8,0.3,0.9,0.0,0.4,0.6,0.1,0,1.5,0.9,0.3,1.5,1.5,18.4,79.7,0.5,0.7,0.0,0.3387096774193548
73,Javairô Dilrosun,Hertha Berlin,25,AM,23,1315,4,2,2,0,0.8,75.1,0.2,1,6.66,0.7,0.8,0.3,0.0,0.2,0.3,0.0,0,1.7,0.8,0.1,1.0,1.0,15.6,75.1,0.3,1.0,0.0,0.3387096774193548
74,Florian Niederlechner,Augsburg,33,AM,33,2732,13,6,1,0,2.4,73.4,1.4,4,7.03,0.6,0.2,1.4,0.0,1.2,0.5,0.2,1,0.8,1.9,1.2,1.2,1.2,14.4,73.4,0.1,0.5,0.1,0.25806451612903225
75,Rubén Vargas,Augsburg,25,AM,33,2538,6,1,8,0,1.8,63.5,0.6,2,6.69,1.0,0.8,1.2,0.0,0.9,0.8,0.0,0,1.6,1.2,0.2,1.5,1.5,17.7,63.5,0.2,0.5,0.1,0.25806451612903225
76,Kai Pröger,Paderborn,31,AM,31,2079,2,6,0,0,1.6,61.7,0.3,3,6.82,1.4,0.5,0.4,0.0,0.5,1.3,0.2,0,2.2,0.8,0.3,1.0,1.0,12.8,61.7,1.5,0.4,0.0,0.0
77,Dennis Srbeny,Paderborn,30,AM,17,1128,5,1,2,0,1.6,63.3,1.5,0,6.59,0.6,0.2,1.1,0.0,0.5,0.8,0.1,0,0.8,1.4,0.3,0.8,0.8,14.1,63.3,0.1,0.6,0.0,0.0
78,Abdelhamid Sabiri,Paderborn,27,AM,24,1039,4,1,6,0,1.8,79.6,1.1,2,6.55,0.8,0.3,1.1,0.0,0.8,0.8,0.1,0,1.0,1.1,0.0,1.1,1.1,18.0,79.6,0.0,1.5,0.0,0.0
79,Streli Mamba,Paderborn,29,AM,24,1528,5,2,5,0,1.0,76.0,0.8,0,6.46,0.6,0.3,1.5,0.0,0.1,0.5,0.1,0,0.6,1.2,0.5,0.9,0.9,11.0,76.0,0.0,0.1,0.0,0.0
80,Sven Michel,Paderborn,33,AM,29,1367,5,1,7,0,1.4,64.9,1.1,0,6.41,0.5,0.2,1.0,0.0,0.2,0.6,0.1,0,0.8,0.5,0.5,1.3,1.3,12.0,64.9,0.1,0.4,0.0,0.0
81,Christopher Antwi-Adjei,Paderborn,30,AM,34,2473,1,2,2,0,1.4,74.7,0.7,0,6.4,0.7,0.4,0.5,0.0,0.2,0.7,0.1,0,1.0,1.1,0.1,1.2,1.2,19.8,74.7,0.4,0.6,0.0,0.0
82,Milot Rashica,Werder Bremen,27,AM,28,2278,8,5,2,0,2.6,75.9,0.5,2,6.99,0.8,0.2,1.0,0.0,0.4,0.9,0.1,0,2.0,1.7,0.3,1.9,1.9,19.9,75.9,1.0,1.1,0.0,0.1774193548387097
83,Yuya Osako,Werder Bremen,33,AM,28,1860,8,2,2,0,1.6,75.5,2.4,1,6.79,1.0,0.2,1.1,0.0,0.4,0.9,0.0,0,1.0,1.4,0.2,1.9,1.9,22.3,75.5,0.1,1.0,0.1,0.1774193548387097
84,Josh Sargent,Werder Bremen,24,AM,28,1419,4,2,2,0,1.1,70.5,1.7,0,6.59,0.4,0.5,0.8,0.0,0.8,0.4,0.0,0,0.6,1.3,0.2,1.1,1.1,12.0,70.5,0.1,0.1,0.0,0.1774193548387097
85,Claudio Pizarro,Werder Bremen,45,AM,18,216,0,0,0,0,0.2,67.9,0.8,0,6.08,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0,0.2,0.4,0.1,0.4,0.4,4.7,67.9,0.1,0.1,0.0,0.1774193548387097
86,Dominick Drexler,FC Koln,33,AM,27,1587,3,4,5,0,0.7,74.6,0.6,0,6.63,1.3,1.0,1.0,0.0,0.4,0.9,0.2,0,0.6,1.4,0.3,0.8,0.8,21.7,74.6,0.7,0.9,0.0,0.25806451612903225
87,Vincenzo Grifo,Freiburg,31,AM,26,1623,4,8,1,1,1.9,79.2,0.5,2,6.92,0.6,0.5,0.4,0.0,0.6,0.7,0.0,0,1.0,0.6,0.2,1.0,1.0,25.1,79.2,1.3,1.5,0.1,0.45161290322580644
88,Lucas Höler,Freiburg,29,AM,34,2497,8,2,4,0,1.5,66.8,2.1,1,6.82,1.0,0.4,1.1,0.0,1.0,1.0,0.3,0,0.9,2.3,0.3,1.5,1.5,18.2,66.8,0.2,0.4,0.0,0.45161290322580644
89,Luca Waldschmidt,Freiburg,27,AM,23,1272,7,1,3,0,1.9,75.3,0.5,2,6.6,0.4,0.2,0.7,0.0,0.2,0.7,0.1,0,0.6,0.5,0.3,0.7,0.7,16.4,75.3,0.1,0.3,0.1,0.45161290322580644
90,Kwon Chang-Hoon,Freiburg,29,AM,23,667,2,0,0,0,0.7,74.3,0.8,1,6.44,0.3,0.3,0.2,0.0,0.6,0.4,0.0,0,0.7,0.9,0.1,0.3,0.3,10.8,74.3,0.2,0.7,0.0,0.45161290322580644
91,Jean-Paul Boëtius,Mainz 05,30,AM,28,2271,4,5,5,0,1.3,76.0,0.7,1,6.79,2.3,0.9,1.7,0.0,0.2,1.3,0.0,0,1.3,2.1,0.0,1.4,1.4,31.9,76.0,0.1,1.8,0.1,0.27419354838709675
