,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB,Pts
82,Mohamed Elneny,Arsenal,31,DM,23,1542,1,0,3,0,0.4,93.0,0.3,1,6.43,0.6,1.0,0.4,0.0,0.9,0.9,0.2,0,0.2,0.4,0.0,0.2,0.2,44.0,93.0,0.0,1.6,0.0,0.6031746031746031
83,John Fleck,Sheffield United,32,DM,31,2577,0,2,4,0,0.5,82.9,0.4,0,6.51,1.6,0.9,1.1,0.0,0.3,1.8,0.1,0,1.0,0.9,0.0,0.8,0.8,36.7,82.9,0.7,1.3,0.0,0.0
84,Harry Winks,Tottenham,28,DM,19,908,0,1,2,0,0.2,88.2,0.2,0,6.43,0.8,0.8,0.6,0.0,0.4,0.7,0.2,0,0.4,0.7,0.0,0.3,0.3,34.4,88.2,0.4,1.6,0.2,0.6901408450704225
85,Frank Onyeka,Brentford,26,DM,20,1051,0,0,4,0,0.8,80.2,0.8,0,6.37,1.3,0.7,1.7,0.0,0.7,1.0,0.1,0,0.6,1.3,0.0,0.7,0.7,15.7,80.2,0.1,0.6,0.0,0.3380281690140845
86,Jorginho,Chelsea,32,DM,29,2279,6,2,5,0,0.6,89.3,0.4,3,6.96,2.2,1.2,1.0,0.0,0.7,1.9,0.1,0,0.6,1.3,0.0,0.7,0.7,64.9,89.3,0.0,2.1,0.1,0.7323943661971831
87,Nemanja Matic,Manchester United,35,DM,23,1384,0,4,3,0,0.3,87.1,1.2,0,6.63,1.3,1.3,1.1,0.1,0.8,0.7,0.3,0,0.7,0.1,0.0,0.9,0.9,45.2,87.1,0.1,2.2,0.2,0.5070422535211268
88,Sean Longstaff,Newcastle,26,DM,24,1446,1,1,1,0,0.6,80.9,0.5,1,6.38,2.2,0.4,0.6,0.0,0.8,1.7,0.3,0,0.3,0.7,0.0,0.8,0.8,24.4,80.9,0.1,1.8,0.0,0.38028169014084506
89,Boubakary Soumaré,Leicester,25,DM,19,1102,0,1,0,0,0.3,82.5,1.4,0,6.42,1.0,0.7,0.8,0.0,0.9,0.5,0.1,0,0.7,0.9,0.0,0.7,0.7,28.2,82.5,0.1,0.7,0.0,0.4225352112676056
90,Albert Sambi Lokonga,Arsenal,24,DM,19,1133,0,0,5,0,1.1,88.4,0.8,0,6.51,1.2,0.7,0.6,0.1,0.6,0.1,0.4,0,0.2,0.8,0.0,0.4,0.4,43.1,88.4,0.1,1.8,0.1,0.6619718309859155
91,Oriol Romeu,Southampton,32,DM,36,2899,2,2,9,0,0.7,82.0,1.9,2,6.87,2.1,1.4,1.3,0.1,1.1,1.3,0.2,0,0.8,0.7,0.0,0.4,0.4,46.5,82.0,0.1,2.8,0.1,0.2535211267605634
92,Ibrahima Diallo,Southampton,25,DM,23,1019,0,2,1,0,0.3,80.6,0.5,0,6.38,1.0,0.4,0.3,0.0,0.4,0.6,0.0,0,0.7,0.7,0.0,0.6,0.6,19.3,80.6,0.1,0.7,0.0,0.2535211267605634
93,Ashley Westwood,Burnley,34,DM,27,2290,0,3,7,0,0.5,75.2,0.3,0,6.42,0.8,1.1,1.1,0.0,0.6,0.8,0.3,0,0.4,0.8,0.0,0.5,0.5,41.2,75.2,1.1,2.9,0.1,0.18309859154929578
94,Jack Cork,Burnley,34,DM,20,1676,1,0,4,0,0.4,74.2,1.3,0,6.38,1.0,0.9,1.6,0.1,1.4,0.7,0.2,0,0.4,0.5,0.1,1.0,1.0,28.3,74.2,0.2,1.3,0.0,0.18309859154929578
95,Allan,Everton,33,DM,28,2188,0,2,7,1,0.3,80.0,0.4,0,6.5,2.6,0.8,1.1,0.0,1.3,2.5,0.3,0,0.8,0.8,0.0,0.9,0.9,34.2,80.0,0.1,1.4,0.0,0.23943661971830985
96,Rúben Neves,Wolves,27,DM,33,2663,4,2,9,0,1.3,84.0,0.6,2,6.85,2.1,1.2,0.8,0.1,1.4,1.9,0.2,0,0.8,0.4,0.0,0.5,0.5,58.5,84.0,0.3,6.0,0.2,0.4084507042253521
97,Billy Gilmour,Norwich,22,DM,24,1858,0,1,2,0,0.8,83.7,0.5,0,6.39,1.7,0.7,1.2,0.0,1.2,1.6,0.2,0,0.6,0.9,0.0,0.5,0.5,47.3,83.7,1.4,3.4,0.0,0.0
98,Oliver Skipp,Tottenham,23,DM,23,1499,1,0,7,0,0.3,87.1,0.3,1,6.42,1.5,0.7,1.0,0.0,0.8,0.7,0.3,0,0.5,0.7,0.0,0.7,0.7,32.9,87.1,0.0,1.2,0.0,0.546875
99,Bruno Guimarães,Newcastle,26,DM,32,2735,4,5,7,0,0.9,84.6,0.6,1,7.21,2.4,1.1,1.4,0.0,0.6,0.8,0.1,0,1.4,2.6,0.0,1.9,1.9,51.0,84.6,0.1,3.2,0.3,0.71875
100,Sean Longstaff,Newcastle,26,DM,33,2517,1,4,2,0,1.0,82.8,0.7,0,6.64,1.3,0.5,0.9,0.0,0.7,1.0,0.2,0,0.2,1.2,0.2,0.9,0.9,34.1,82.8,0.2,1.4,0.1,0.71875
101,Moisés Caicedo,Brighton,22,DM,37,3141,1,1,10,0,0.8,88.8,1.0,0,6.92,2.7,1.5,1.8,0.0,0.7,0.8,0.2,0,0.8,1.5,0.0,0.6,0.6,59.7,88.8,0.2,2.4,0.1,0.578125
102,Frank Onyeka,Brentford,26,DM,21,845,0,2,0,0,0.4,75.9,0.3,0,6.39,0.9,0.5,0.7,0.0,0.8,0.7,0.1,0,0.5,1.2,0.1,0.5,0.5,12.0,75.9,0.0,0.3,0.0,0.53125
