,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB,Pts
45,Jérôme Gondorf,Freiburg,35,M,25,1296,2,2,3,0,0.9,72.9,0.8,0,6.57,1.3,0.8,1.2,0.1,0.8,0.6,0.2,0,0.2,1.0,0.1,0.7,0.7,18.4,72.9,0.5,1.0,0.0,0.288135593220339
46,Mike Frantz,Freiburg,37,M,31,2233,2,1,2,0,0.6,78.2,1.6,0,6.54,1.1,0.7,0.6,0.0,0.9,0.5,0.1,0,0.2,1.1,0.2,0.5,0.5,19.2,78.2,0.4,0.9,0.0,0.288135593220339
47,Nicolás González,VfB Stuttgart,26,M,30,2164,2,3,2,1,2.0,62.1,3.9,1,6.74,0.6,0.4,0.9,0.0,0.9,0.3,0.1,0,1.5,1.6,0.3,1.4,1.4,18.8,62.1,0.2,0.4,0.0,0.15254237288135594
48,Christian Gentner,VfB Stuttgart,38,M,29,2024,0,5,3,0,1.0,71.6,1.3,1,6.55,2.1,1.1,1.0,0.0,1.2,1.2,0.1,1,0.4,1.1,0.1,0.6,0.6,33.7,71.6,0.4,2.3,0.1,0.15254237288135594
49,Erik Thommy,VfB Stuttgart,29,M,19,793,1,1,2,1,1.3,79.4,0.4,0,6.19,0.3,0.7,0.4,0.0,0.1,0.3,0.1,0,0.4,0.9,0.3,0.9,0.9,14.1,79.4,0.6,0.5,0.1,0.15254237288135594
50,Pirmin Schwegler,Hannover 96,37,M,27,2081,0,1,7,0,0.4,82.0,1.2,1,6.8,2.3,1.5,1.7,0.0,1.9,1.0,0.2,0,0.6,1.3,0.0,0.6,0.6,40.4,82.0,1.0,2.1,0.0,0.03389830508474576
51,Genki Haraguchi,Hannover 96,32,M,28,2127,0,3,1,0,1.1,78.1,1.0,0,6.7,1.6,0.8,1.1,0.0,0.9,1.8,0.2,0,1.6,1.3,0.0,1.0,1.0,26.3,78.1,0.4,0.9,0.0,0.03389830508474576
52,Linton Maina,Hannover 96,24,M,20,1425,1,3,1,0,1.1,76.4,0.2,0,6.54,1.4,0.7,0.5,0.0,0.2,0.6,0.0,0,1.0,0.8,0.1,0.9,0.9,21.0,76.4,0.3,0.4,0.1,0.03389830508474576
53,Florent Muslija,Hannover 96,25,M,17,676,2,0,1,0,1.2,79.0,0.0,0,6.51,0.9,0.2,0.3,0.0,0.1,0.2,0.0,0,0.9,0.9,0.1,0.9,0.9,16.8,79.0,0.3,0.9,0.0,0.03389830508474576
54,Marvin Bakalorz,Hannover 96,34,M,25,1472,1,0,5,0,0.5,75.8,1.2,0,6.38,0.7,1.1,0.9,0.0,1.8,1.2,0.2,0,0.4,1.0,0.2,0.7,0.7,15.7,75.8,0.1,0.5,0.0,0.03389830508474576
