,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB,Pts
221,Rui Silva,Granada,30,GK,35,3150,0,0,3,0,0.0,52.2,0.2,2,6.7,0.1,0.1,0.0,0.0,1.0,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,33.1,52.2,0.0,9.7,0.0,0.5
222,Manolo Reina,Mallorca,39,GK,36,3240,0,0,4,0,0.0,56.9,0.2,1,6.66,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0,0.0,0.2,0.0,0.0,0.0,28.3,56.9,0.0,7.5,0.0,0.12903225806451613
223,Marko Dmitrovic,Eibar,32,GK,35,3150,0,0,3,0,0.0,40.9,0.3,0,6.47,0.1,0.1,0.0,0.0,1.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,27.7,40.9,0.0,8.1,0.0,0.27419354838709675
224,Jordi Masip,Real Valladolid,35,GK,35,3150,0,0,2,0,0.0,47.3,0.2,2,6.48,0.0,0.0,0.0,0.0,0.4,0.1,0.0,0,0.0,0.1,0.0,0.0,0.0,26.5,47.3,0.0,7.5,0.0,0.27419354838709675
225,David Soria,Getafe,31,GK,38,3420,0,0,2,0,0.0,42.0,0.2,1,6.49,0.1,0.1,0.1,0.0,0.7,0.1,0.0,1,0.0,0.0,0.0,0.0,0.0,28.8,42.0,0.0,9.9,0.0,0.46774193548387094
226,Iván Cuéllar,Leganes,39,GK,27,2430,0,0,2,1,0.0,43.9,0.4,1,6.52,0.0,0.0,0.0,0.0,1.7,0.1,0.0,0,0.0,0.2,0.0,0.0,0.0,26.5,43.9,0.0,8.5,0.0,0.1774193548387097
227,Diego López,Espanyol,42,GK,36,3233,0,0,3,1,0.0,54.2,0.2,0,6.54,0.1,0.1,0.0,0.0,0.6,0.0,0.0,0,0.1,0.1,0.0,0.0,0.0,28.3,54.2,0.0,7.0,0.0,0.0
228,Marc-André ter Stegen,Barcelona,32,GK,31,2790,0,0,1,0,0.0,86.9,0.2,1,6.63,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,28.6,86.9,0.0,4.6,0.0,0.875
229,Sergio Asenjo,Villarreal,34,GK,36,3240,0,0,2,0,0.0,75.0,0.2,0,6.57,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,31.0,75.0,0.0,5.6,0.0,0.5
230,Thibaut Courtois,Real Madrid,31,GK,38,3420,0,0,0,0,0.0,78.3,0.3,2,6.78,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,28.3,78.3,0.0,3.4,0.0,0.9642857142857143
231,Iván Villar,Celta Vigo,26,GK,21,1774,0,0,1,0,0.0,55.8,0.2,0,6.55,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,28.6,55.8,0.0,5.7,0.0,0.4107142857142857
232,Rubén Blanco,Celta Vigo,28,GK,19,1645,0,0,0,1,0.0,67.3,0.1,0,6.13,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,30.7,67.3,0.0,5.8,0.0,0.4107142857142857
233,Jan Oblak,Atletico Madrid,31,GK,38,3420,0,0,0,0,0.0,58.9,0.2,2,6.87,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1,0.0,0.1,0.0,0.0,0.0,22.9,58.9,0.0,6.3,0.0,1.0
234,Álex Remiro,Real Sociedad,29,GK,38,3420,0,0,0,0,0.0,68.6,0.2,1,6.51,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0,0.0,0.2,0.0,0.0,0.0,28.5,68.6,0.0,6.9,0.0,0.5714285714285714
235,Fernando Pacheco,Deportivo Alaves,31,GK,38,3348,0,0,1,0,0.0,66.1,0.2,3,6.47,0.1,0.1,0.0,0.0,0.8,0.1,0.0,0,0.0,0.1,0.0,0.0,0.0,25.4,66.1,0.0,8.6,0.0,0.14285714285714285
236,Álvaro Fernández,SD Huesca,26,GK,22,1980,0,0,0,0,0.0,72.6,0.3,1,6.64,0.0,0.1,0.0,0.0,0.7,0.1,0.0,0,0.0,0.1,0.0,0.0,0.0,31.5,72.6,0.0,6.7,0.0,0.07142857142857142
237,Rui Silva,Granada,30,GK,32,2880,0,0,1,0,0.0,52.7,0.2,0,6.45,0.0,0.1,0.1,0.0,0.6,0.1,0.0,0,0.0,0.1,0.0,0.0,0.0,31.4,52.7,0.0,9.2,0.0,0.2857142857142857
238,Claudio Bravo,Real Betis,41,GK,20,1800,0,0,3,0,0.0,60.5,0.2,1,6.76,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0,0.2,0.0,0.0,0.0,0.0,28.3,60.5,0.0,6.7,0.0,0.5535714285714286
239,Jaume Domènech,Valencia,33,GK,28,2520,0,0,1,0,0.0,64.9,0.1,1,6.71,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,28.1,64.9,0.0,9.4,0.0,0.23214285714285715
240,Yassine Bounou,Sevilla,33,GK,33,2970,1,0,3,0,0.0,75.7,0.2,0,6.71,0.0,0.0,0.0,0.0,0.8,0.1,0.0,1,0.0,0.1,0.0,0.0,0.0,28.7,75.7,0.0,6.1,0.0,0.8392857142857143
241,Marko Dmitrovic,Eibar,32,GK,35,3121,1,0,0,0,0.1,50.2,0.3,1,6.43,0.1,0.0,0.0,0.0,0.6,0.1,0.0,0,0.0,0.1,0.0,0.0,0.0,27.7,50.2,0.0,8.9,0.0,0.0
242,Edgar Badia,Elche,32,GK,30,2700,0,0,0,0,0.0,72.0,0.2,2,6.65,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0,0.0,0.1,0.0,0.0,0.0,33.5,72.0,0.0,8.7,0.0,0.10714285714285714
243,David Soria,Getafe,31,GK,28,2520,0,0,2,0,0.0,45.8,0.3,3,6.5,0.1,0.0,0.0,0.0,0.9,0.1,0.0,0,0.0,0.1,0.0,0.0,0.0,30.0,45.8,0.0,10.8,0.0,0.14285714285714285
244,Sergio Herrera,Osasuna,30,GK,33,2957,0,0,2,0,0.0,49.8,0.4,4,6.75,0.0,0.1,0.0,0.0,1.4,0.1,0.0,0,0.0,0.3,0.0,0.0,0.0,32.4,49.8,0.0,12.5,0.0,0.25
245,Jordi Masip,Real Valladolid,35,GK,25,2250,0,0,3,0,0.0,46.7,0.2,0,6.41,0.0,0.1,0.0,0.0,0.7,0.1,0.0,0,0.0,0.1,0.0,0.0,0.0,28.1,46.7,0.0,7.3,0.0,0.017857142857142856
246,Unai Simón,Athletic Club,26,GK,37,3330,0,0,1,0,0.0,63.4,0.2,0,6.32,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,23.2,63.4,0.0,6.5,0.0,0.2857142857142857
247,Conan Ledesma,Cadiz,31,GK,32,2880,0,0,0,0,0.0,44.9,0.3,4,6.46,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0,0.0,0.2,0.0,0.0,0.0,29.5,44.9,0.0,10.9,0.0,0.25
248,Aitor Fernández,Levante,33,GK,29,2610,0,0,0,0,0.0,72.2,0.1,0,6.42,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,26.7,72.2,0.0,4.4,0.0,0.19642857142857142
249,Thibaut Courtois,Real Madrid,31,GK,36,3240,0,0,1,0,0.0,79.2,0.2,0,6.79,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,26.3,79.2,0.0,3.1,0.0,1.0
250,Marc-André ter Stegen,Barcelona,32,GK,35,3150,0,0,3,0,0.0,85.9,0.2,0,6.51,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0,0.1,0.2,0.0,0.0,0.0,32.3,85.9,0.0,6.3,0.0,0.7636363636363637
251,Rui Silva,Real Betis,30,GK,22,1963,0,0,2,0,0.0,66.9,0.2,0,6.68,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,28.6,66.9,0.0,5.9,0.0,0.6181818181818182
252,Fernando Pacheco,Deportivo Alaves,31,GK,34,3054,0,0,1,0,0.0,59.7,0.1,1,6.49,0.1,0.0,0.0,0.0,0.7,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,27.8,59.7,0.0,10.6,0.0,0.0
253,Unai Simón,Athletic Club,26,GK,34,3060,0,0,3,0,0.0,66.6,0.2,0,6.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,21.9,66.6,0.0,5.1,0.0,0.43636363636363634
254,Matías Dituro,Celta Vigo,36,GK,38,3420,0,0,1,0,0.0,60.2,0.2,2,6.64,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,34.9,60.2,0.0,9.5,0.0,0.2727272727272727
255,Gerónimo Rulli,Villarreal,31,GK,32,2880,0,0,2,0,0.0,79.2,0.4,1,6.71,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0,0.0,0.1,0.0,0.0,0.0,35.2,79.2,0.0,5.1,0.0,0.509090909090909
256,Álex Remiro,Real Sociedad,29,GK,35,3150,0,0,1,0,0.0,73.1,0.1,1,6.7,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,32.3,73.1,0.0,7.8,0.0,0.5636363636363636
257,Jan Oblak,Atletico Madrid,31,GK,38,3420,0,0,1,0,0.0,51.9,0.2,0,6.35,0.0,0.0,0.0,0.0,0.4,0.0,0.0,1,0.1,0.2,0.0,0.0,0.0,24.7,51.9,0.0,5.4,0.0,0.7272727272727273
258,Diego López,Espanyol,42,GK,36,3179,0,0,4,0,0.0,68.6,0.4,1,6.78,0.0,0.0,0.0,0.0,1.1,0.1,0.0,0,0.0,0.2,0.0,0.0,0.0,26.4,68.6,0.0,5.3,0.0,0.2
259,David Soria,Getafe,31,GK,38,3415,0,0,4,0,0.0,51.0,0.4,1,6.64,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,28.4,51.0,0.0,10.4,0.0,0.14545454545454545
260,Stole Dimitrievski,Rayo Vallecano,30,GK,31,2771,0,0,0,0,0.0,50.3,0.4,1,6.72,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0,0.0,0.2,0.0,0.0,0.0,25.5,50.3,0.0,6.3,0.0,0.2
261,Dani Cárdenas,Levante,27,GK,24,2160,0,0,3,0,0.0,64.4,0.1,0,6.43,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0,0.0,0.1,0.0,0.0,0.0,26.5,64.4,0.0,5.3,0.0,0.07272727272727272
262,Yassine Bounou,Sevilla,33,GK,31,2790,0,2,2,0,0.0,74.0,0.2,2,6.76,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,30.8,74.0,0.0,6.0,0.0,0.7090909090909091
263,Sergio Herrera,Osasuna,30,GK,36,3240,0,0,3,0,0.0,54.8,0.3,2,6.71,0.1,0.0,0.0,0.0,0.8,0.1,0.0,0,0.1,0.3,0.0,0.0,0.0,30.0,54.8,0.0,11.4,0.0,0.2909090909090909
264,Manolo Reina,Mallorca,39,GK,23,1892,0,0,5,1,0.0,60.3,0.3,3,6.47,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1,0.0,0.2,0.0,0.0,0.0,25.0,60.3,0.0,6.5,0.0,0.14545454545454545
265,Edgar Badia,Elche,32,GK,24,2160,0,0,2,0,0.0,63.9,0.4,2,6.77,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,30.1,63.9,0.0,8.5,0.0,0.2
266,Luís Maximiano,Granada,25,GK,35,3137,0,0,2,0,0.0,48.1,0.2,2,6.73,0.1,0.0,0.0,0.0,0.6,0.1,0.0,1,0.1,0.1,0.0,0.1,0.1,29.3,48.1,0.0,7.3,0.0,0.12727272727272726
267,Conan Ledesma,Cadiz,31,GK,38,3420,0,0,4,0,0.0,47.4,0.4,3,6.8,0.1,0.0,0.1,0.0,1.3,0.0,0.0,0,0.1,0.2,0.0,0.0,0.0,27.2,47.4,0.0,7.7,0.0,0.14545454545454545
268,Jan Oblak,Atletico Madrid,31,GK,28,2493,0,0,1,0,0.0,60.9,0.1,1,6.67,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,25.0,60.9,0.0,5.3,0.0,0.8253968253968254
269,Thibaut Courtois,Real Madrid,31,GK,31,2790,0,0,0,0,0.0,83.9,0.3,2,6.94,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0,0.1,0.1,0.0,0.0,0.0,30.3,83.9,0.0,3.9,0.0,0.8412698412698413
270,Marc-André ter Stegen,Barcelona,32,GK,38,3349,0,0,0,0,0.0,82.4,0.2,0,6.86,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,32.3,82.4,0.0,6.9,0.0,1.0
271,Álex Remiro,Real Sociedad,29,GK,38,3420,0,0,1,0,0.0,68.8,0.2,0,6.71,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0,0.0,0.1,0.0,0.0,0.0,30.7,68.8,0.0,7.7,0.0,0.7301587301587301
272,Predrag Rajkovic,Mallorca,28,GK,36,3240,0,0,3,0,0.0,54.8,0.1,1,6.69,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0,0.1,0.1,0.0,0.0,0.0,30.1,54.8,0.0,9.6,0.0,0.3968253968253968
273,David Soria,Getafe,31,GK,38,3420,0,0,3,0,0.0,49.7,0.1,6,6.84,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,27.1,49.7,0.0,11.1,0.0,0.2698412698412698
274,Pepe Reina,Villarreal,41,GK,22,1980,0,0,2,0,0.0,77.4,0.1,0,6.58,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,33.7,77.4,0.0,4.6,0.0,0.6190476190476191
275,Stole Dimitrievski,Rayo Vallecano,30,GK,37,3325,0,0,4,0,0.0,53.7,0.2,3,6.44,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,24.8,53.7,0.0,4.3,0.0,0.38095238095238093
276,Paulo Gazzaniga,Girona,32,GK,28,2520,0,0,4,0,0.0,69.9,0.2,3,6.69,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0,0.0,0.2,0.0,0.1,0.1,33.0,69.9,0.0,6.3,0.0,0.38095238095238093
277,Conan Ledesma,Cadiz,31,GK,34,3060,0,0,2,0,0.0,46.8,0.3,5,7.03,0.1,0.1,0.0,0.0,1.5,0.1,0.0,0,0.1,0.2,0.0,0.0,0.0,28.6,46.8,0.0,7.5,0.0,0.2698412698412698
278,Rui Silva,Real Betis,30,GK,26,2340,0,0,2,0,0.0,63.4,0.3,1,6.7,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,29.8,63.4,0.0,7.8,0.0,0.5555555555555556
279,Giorgi Mamardashvili,Valencia,23,GK,38,3420,0,0,3,0,0.0,59.9,0.2,2,6.54,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,24.7,59.9,0.0,5.2,0.0,0.2698412698412698
