,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB,Pts
223,Asier Villalibre,Athletic Club,26,FW,35,1586,4,2,1,0,1.1,63.7,1.6,0,6.37,0.1,0.1,0.5,0.0,0.4,0.2,0.0,0,0.1,0.9,0.2,0.8,0.8,8.0,63.7,0.1,0.1,0.0,0.2857142857142857
224,Álvaro Negredo,Cadiz,38,FW,35,2217,8,4,3,1,1.4,57.3,3.7,4,6.75,0.3,0.1,0.6,0.1,0.5,0.2,0.1,0,0.8,1.1,0.2,0.6,0.6,16.0,57.3,0.0,0.6,0.1,0.25
225,Filip Malbasic,Cadiz,31,FW,28,850,0,1,2,0,0.3,58.8,0.5,0,6.1,0.4,0.1,0.6,0.0,0.0,0.4,0.0,0,0.3,0.5,0.3,0.4,0.4,5.3,58.8,0.1,0.2,0.0,0.25
226,Roger Martí,Levante,33,FW,33,2209,12,4,4,0,1.4,70.5,0.6,1,6.59,0.3,0.1,1.3,0.0,0.2,0.5,0.1,0,0.4,0.8,0.4,0.8,0.8,15.2,70.5,0.1,0.5,0.1,0.19642857142857142
227,Dani Gómez,Levante,25,FW,34,1660,2,2,3,0,0.9,78.4,0.4,0,6.27,0.1,0.1,0.9,0.0,0.1,0.3,0.0,0,1.0,1.1,0.4,1.2,1.2,9.4,78.4,0.0,0.1,0.0,0.19642857142857142
228,Sergio León,Levante,35,FW,28,734,2,0,1,0,0.7,71.1,0.4,0,6.16,0.2,0.1,0.5,0.0,0.0,0.2,0.0,0,0.0,0.2,0.2,0.4,0.4,4.8,71.1,0.0,0.0,0.0,0.19642857142857142
229,Karim Benzema,Real Madrid,36,FW,32,2600,27,12,0,0,4.0,85.2,0.6,10,7.69,0.3,0.1,0.4,0.0,0.4,0.2,0.0,0,1.1,0.3,1.0,0.8,0.8,38.1,85.2,0.1,1.0,0.1,1.0
230,Willian José,Real Betis,32,FW,32,1612,8,4,1,0,1.1,78.3,0.7,1,6.59,0.5,0.1,0.4,0.0,0.5,0.2,0.1,0,0.2,0.7,0.2,1.1,1.1,16.6,78.3,0.1,0.7,0.0,0.6181818181818182
231,Borja Iglesias,Real Betis,31,FW,33,1574,10,0,4,0,1.2,71.1,0.7,3,6.55,0.2,0.1,0.8,0.0,0.2,0.2,0.0,0,0.4,0.9,0.2,0.9,0.9,10.1,71.1,0.0,0.3,0.1,0.6181818181818182
232,Joselu,Deportivo Alaves,34,FW,37,3126,14,4,0,0,2.6,61.1,7.7,5,7.25,0.4,0.2,1.2,0.0,1.2,0.5,0.1,0,0.5,1.5,0.3,0.9,0.9,28.4,61.1,0.1,0.6,0.1,0.0
