,player_name,team_number,Team,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
28,Nabil Bentaleb,614,Angers,28,M,29(1),2492,4,1.1,58.3,85.2,0.7,4.0,0.1,7.03,4,5,1,1.4,1.0,4,2.1,1.8,0.0,1.2,1.5,2.5,1.5,1.3,0.1,0.9,0.8,0.4,0
30,Ludovic Blas,302,Nantes,25,M,30(7),2821,5,1.3,28.0,85.5,0.9,1.6,0.0,7.01,7,6,0,2.7,0.5,3,2.2,1.7,0.1,2.1,2.4,1.3,0.5,1.6,0.0,0.2,0.9,0.0,0
32,Franck Honorat,2332,Brest,26,M,29(4),2546,5,2.7,24.6,75.0,2.2,0.7,0.0,7.0,6,1,0,1.4,0.4,3,0.5,0.5,0.3,0.6,1.7,1.2,0.6,0.7,0.0,0.5,0.5,0.1,0
35,Pierre Lees-Melou,2332,Brest,30,M,32,2773,5,0.5,44.2,83.9,0.2,5.5,0.1,6.99,5,10,1,1.3,0.6,3,0.7,1.5,0.0,0.6,0.9,3.0,1.6,1.3,0.0,1.3,2.1,0.4,0
36,Hicham Boudaoui,613,Nice,23,M,22(5),1882,2,0.9,44.4,89.7,0.2,1.1,0.0,6.97,1,5,0,0.8,0.3,0,1.1,1.3,0.0,0.6,1.0,2.5,1.3,1.1,0.0,0.6,0.7,0.2,0
47,Marco Verratti,304,Paris Saint-Germain,30,M,27(2),2206,0,1.1,87.5,92.9,0.1,2.8,0.2,6.94,0,10,1,0.3,0.4,0,1.0,1.8,0.0,1.1,0.6,2.6,0.9,1.2,0.0,0.4,1.8,0.2,0
49,Adrien Thomasson,309,Lens,29,M,16(4),1288,5,1.0,27.1,80.3,0.2,0.9,0.1,6.92,5,1,0,1.1,0.6,0,0.6,0.9,0.3,0.9,1.3,1.2,0.2,1.1,0.0,0.8,1.7,0.1,0
59,Fabián Ruiz,304,Paris Saint-Germain,27,M,21(6),1899,2,0.6,64.1,92.3,0.0,2.1,0.1,6.89,3,0,0,1.0,0.2,1,0.7,0.5,0.1,0.6,0.9,2.3,0.7,0.7,0.0,0.8,1.3,0.0,0
64,Cengiz Ünder,249,Marseille,25,M,28(9),2497,4,1.5,24.9,77.1,1.0,1.3,0.1,6.87,5,3,0,1.9,0.3,4,1.1,0.8,0.2,0.8,1.6,1.0,0.5,0.8,0.0,0.3,0.6,0.1,0
70,Jordan Veretout,249,Marseille,30,M,31(7),2864,3,0.9,54.0,87.9,0.6,3.8,0.1,6.85,4,4,0,0.8,0.5,1,0.3,0.6,0.1,0.3,0.7,1.5,0.9,0.9,0.1,1.1,0.7,0.2,1
79,Alexis Flips,950,Reims,23,M,28(5),1998,6,1.3,25.2,72.6,1.2,1.6,0.2,6.82,4,3,1,1.6,0.4,2,0.4,0.7,0.1,0.7,1.8,1.5,0.7,0.7,0.1,0.3,1.1,0.2,0
85,Stijn Spierings,246,Toulouse,27,M,35(1),3123,0,0.6,57.0,86.1,0.1,3.9,0.0,6.81,2,6,0,0.7,0.6,0,0.4,1.4,0.0,0.7,0.8,2.6,1.5,1.5,0.0,1.2,1.6,0.3,0
101,Krépin Diatta,248,Monaco,24,M,22(9),2079,2,0.8,22.4,79.4,0.5,0.4,0.0,6.78,4,3,0,1.3,1.3,1,1.0,0.8,0.3,0.6,1.5,1.0,0.5,0.6,0.0,0.4,0.6,0.0,0
114,Vitinha,304,Paris Saint-Germain,23,M,29(7),2461,3,0.8,53.4,92.4,0.1,1.3,0.1,6.74,2,3,0,0.9,0.1,0,0.9,0.5,0.0,0.9,0.9,1.6,0.7,0.9,0.0,0.4,1.6,0.1,0
128,Deiver Machado,309,Lens,29,M,26(7),2206,3,0.6,20.3,85.7,0.4,0.4,0.0,6.72,4,5,1,0.5,0.5,2,0.5,1.4,0.2,0.3,0.9,1.4,0.6,1.3,0.1,0.7,0.4,0.1,0
131,Angel Gomes,607,Lille,22,M,34(2),2836,6,0.9,47.6,87.9,0.3,3.0,0.1,6.71,2,9,0,1.6,0.3,1,0.8,1.4,0.0,0.7,1.1,1.1,0.4,1.5,0.0,0.3,0.9,0.1,0
133,André Gomes,607,Lille,29,M,18(8),1628,2,0.5,50.5,89.2,0.1,2.5,0.0,6.71,3,6,0,0.7,0.7,1,1.1,0.7,0.0,1.0,1.2,1.4,0.3,1.9,0.1,0.6,1.3,0.2,0
139,Aaron Ramsey,613,Nice,32,M,18(9),1588,1,1.0,37.7,87.8,0.6,2.5,0.1,6.69,1,3,0,0.8,0.2,1,0.5,0.7,0.1,1.2,0.9,1.7,0.6,0.9,0.0,0.6,0.9,0.1,0
147,Dimitri Payet,249,Marseille,36,M,9(15),828,3,1.3,19.0,80.3,0.6,1.5,0.1,6.67,4,0,0,1.2,0.2,2,0.8,0.8,0.1,0.4,0.6,0.3,0.0,0.2,0.0,0.2,0.3,0.0,0
155,Ruslan Malinovskyi,249,Marseille,30,M,13(7),1232,1,1.0,24.7,79.8,0.6,1.1,0.1,6.65,1,4,0,1.8,0.8,0,1.4,0.9,0.1,1.0,1.5,1.1,0.2,1.5,0.0,0.5,0.8,0.1,0
162,Mattéo Guendouzi,249,Marseille,24,M,25(8),2113,4,0.6,37.3,87.9,0.1,2.2,0.1,6.63,2,3,0,0.8,0.7,0,0.4,1.1,0.0,0.4,0.8,1.2,0.6,0.8,0.0,0.5,0.7,0.2,1
165,Flavien Tait,313,Rennes,30,M,19(11),1685,2,0.8,35.8,86.5,0.0,2.4,0.1,6.62,2,2,0,0.8,0.2,1,0.7,1.0,0.0,1.0,0.8,1.0,0.7,0.8,0.0,0.3,0.8,0.1,0
169,Wahbi Khazri,311,Montpellier,32,M,20(7),1644,1,0.7,15.9,74.8,0.4,1.0,0.0,6.61,4,5,1,1.4,0.7,0,1.0,1.3,0.5,1.1,1.8,1.0,0.3,0.7,0.0,0.7,0.7,0.0,0
193,Mathias Autret,308,Auxerre,32,M,16(7),1302,2,1.2,22.6,81.1,0.9,2.7,0.1,6.56,2,0,0,1.0,0.2,0,0.4,0.2,0.1,0.2,0.8,1.0,0.5,0.3,0.0,0.4,0.4,0.1,0
195,Jordan Ferri,311,Montpellier,31,M,32(2),2749,2,0.9,57.0,86.5,0.2,4.4,0.2,6.55,1,5,1,0.4,0.5,1,0.6,1.8,0.0,1.3,1.3,1.6,0.8,1.4,0.1,0.6,1.7,0.2,0
197,Moses Simon,302,Nantes,27,M,28(6),2359,4,1.2,16.8,73.9,1.0,0.3,0.1,6.55,5,3,0,1.0,0.3,1,1.0,0.9,0.1,1.1,1.4,0.5,0.3,0.3,0.0,0.0,0.2,0.0,0
200,Ross Barkley,613,Nice,29,M,9(18),923,2,1.1,16.5,83.6,0.5,0.8,0.0,6.54,4,1,0,1.4,0.1,0,0.4,0.6,0.0,0.9,0.4,0.6,0.3,0.5,0.0,0.2,0.2,0.1,0
220,Mickaël Barreto,610,AC Ajaccio,32,M,15(5),1328,1,0.9,30.1,74.6,1.1,2.6,0.0,6.49,1,1,0,1.0,0.5,0,1.2,0.4,0.0,1.0,1.7,1.6,0.9,1.0,0.0,0.5,1.9,0.0,0
221,Vincent Marchetti,610,AC Ajaccio,25,M,29(2),2463,2,0.5,33.5,80.0,0.0,2.3,0.2,6.49,0,7,0,1.2,0.2,0,1.5,1.2,0.0,1.3,1.6,1.8,0.6,0.9,0.0,1.0,1.4,0.1,0
223,Théo Le Bris,146,Lorient,20,M,15(12),1451,2,0.5,20.3,81.8,0.1,0.2,0.0,6.48,2,0,0,0.4,0.4,0,0.6,0.1,0.0,0.4,0.8,1.1,0.7,0.2,0.0,1.0,0.7,0.1,0
224,Sanjin Prcic,148,Strasbourg,29,M,17(12),1633,1,0.4,35.4,86.1,0.2,3.3,0.1,6.48,1,3,1,1.0,0.6,0,0.5,0.7,0.0,0.2,0.3,0.9,0.9,0.6,0.0,0.7,0.4,0.2,0
229,Carlos Soler,304,Paris Saint-Germain,26,M,14(12),1188,2,0.5,23.5,87.4,0.2,0.5,0.1,6.46,3,0,0,0.4,0.0,1,0.2,0.5,0.0,0.5,0.8,0.8,0.2,0.7,0.0,0.2,0.3,0.2,0
232,Mathias Pereira Lage,2332,Brest,26,M,16(8),1272,1,0.6,14.5,71.3,0.3,0.7,0.0,6.45,2,2,0,0.9,0.9,0,0.4,1.1,0.0,0.8,1.0,0.8,0.6,1.0,0.0,0.5,0.8,0.0,0
233,Jim Allevinah,941,Clermont Foot,28,M,25(11),2248,1,0.5,20.3,82.4,0.3,0.3,0.0,6.45,1,2,0,0.8,0.3,0,0.9,1.5,0.0,1.1,1.3,1.1,0.7,0.6,0.1,0.5,1.2,0.1,0
