,player_name,team_number,Team,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
132,Arthur Theate,313,Rennes,23,D,35,3129,0,0.3,73.0,89.6,0.0,3.7,0.0,6.71,4,5,0,0.9,2.0,1,0.2,0.4,0.0,0.1,0.4,0.8,0.9,0.7,0.8,3.2,0.4,0.4,1
138,Jean-Charles Castelletto,302,Nantes,28,D,30(2),2569,0,0.2,41.4,82.8,0.1,2.2,0.0,6.69,0,3,0,0.3,2.4,0,0.3,0.6,0.0,0.2,0.6,1.3,1.8,0.9,0.2,2.7,0.4,0.7,0
140,Tiago Djaló,607,Lille,23,D,24(1),2022,0,0.1,62.9,93.1,0.0,2.6,0.0,6.69,2,7,0,0.6,1.1,1,0.2,0.7,0.0,0.3,0.2,1.2,0.9,0.8,0.4,2.1,0.3,0.4,1
141,Gédéon Kalulu,146,Lorient,25,D,28(1),2442,4,0.8,40.2,82.0,0.2,1.9,0.0,6.69,0,6,0,0.3,1.0,1,0.7,0.6,0.1,0.6,1.1,2.2,1.0,1.0,0.2,2.4,0.6,0.1,0
146,Nicolas Pallois,302,Nantes,35,D,26,2217,0,0.2,44.5,83.8,0.1,3.7,0.0,6.67,1,2,1,0.3,1.3,1,0.3,0.2,0.0,0.3,0.7,2.7,1.2,0.8,0.7,4.9,1.1,0.7,1
148,Bafodé Diakité,607,Lille,22,D,29(4),2656,0,0.2,51.1,89.8,0.1,1.3,0.0,6.66,3,6,0,0.6,1.2,1,0.6,0.4,0.0,0.5,0.8,1.6,0.5,1.4,0.2,1.6,0.8,0.2,1
149,Lilian Brassier,2332,Brest,23,D,35(1),3094,0,0.2,41.5,78.2,0.2,4.4,0.0,6.66,0,5,0,0.6,1.7,0,0.4,0.4,0.0,0.4,0.6,1.2,1.5,1.2,0.7,3.4,0.3,0.5,0
150,Anthony Rouault,246,Toulouse,22,D,37,3316,0,0.1,55.4,87.5,0.0,3.5,0.0,6.65,2,2,1,0.5,2.4,2,0.1,0.5,0.0,0.1,0.6,1.8,1.5,0.6,0.5,3.4,0.8,0.7,1
151,Maximiliano Caufriez,941,Clermont Foot,26,D,25(1),2224,0,0.0,43.1,88.7,0.0,2.5,0.0,6.65,1,8,1,0.5,0.8,1,0.2,1.3,0.0,0.3,0.5,1.5,1.3,1.1,0.3,2.4,0.3,0.7,0
152,Maxime Le Marchand,148,Strasbourg,33,D,23(3),2018,0,0.1,45.3,79.9,0.2,3.1,0.0,6.65,0,4,1,0.3,2.3,0,0.6,0.3,0.0,0.2,0.4,1.5,1.4,1.2,0.4,2.7,0.5,0.5,0
156,Ismaël Doukouré,148,Strasbourg,19,D,25(3),2301,1,0.1,37.3,83.2,0.1,2.5,0.1,6.65,1,5,0,0.3,1.1,0,1.0,1.0,0.0,0.7,0.8,1.7,1.0,1.1,0.7,1.9,0.5,0.3,0
158,Julien Laporte,146,Lorient,29,D,19(1),1656,0,0.1,39.8,85.4,0.0,3.0,0.0,6.64,0,1,0,0.3,1.6,0,0.1,0.8,0.1,0.1,0.3,1.1,0.9,0.5,0.3,5.3,0.3,1.4,1
160,Vincent Le Goff,146,Lorient,33,D,37,3330,0,0.4,47.0,83.9,0.4,1.2,0.0,6.63,0,1,0,0.5,0.8,0,0.3,0.5,0.1,0.3,0.5,2.0,1.1,0.5,0.1,2.4,0.5,0.2,0
161,Mahdi Camara,2332,Brest,24,D,20(11),1825,0,0.3,21.8,84.2,0.0,0.5,0.0,6.63,2,4,1,0.8,0.6,0,0.8,1.0,0.0,0.5,0.9,2.0,1.3,0.7,0.0,0.5,0.6,0.1,0
170,Isaak Touré,308,Auxerre,20,D,18(1),1591,0,0.4,40.9,87.5,0.0,2.1,0.0,6.61,1,3,1,0.4,1.3,1,0.4,0.7,0.0,0.1,0.4,1.5,1.4,1.1,0.4,2.7,0.2,0.6,0
172,Thiago Mendes,228,Lyon,31,D,22(9),2065,1,0.3,53.3,87.0,0.0,3.2,0.1,6.61,1,3,0,0.5,1.1,0,0.2,0.8,0.0,0.5,0.8,1.5,1.5,0.8,0.1,1.6,0.3,0.3,0
