,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
82,Hassane Kamara,Watford,30," D(L),M(LR)",18(1),1625,1,-,3,1,0.3,70.5,1.6,-,6.86
83,Jordan Henderson,Liverpool,33," D(C),M(CLR)",29(6),2604,2,5,3,-,0.9,85.5,0.5,-,6.86
84,Davinson Sánchez,Tottenham,27, D(C),17(6),1626,2,-,4,-,0.6,87.8,2,-,6.86
85,Josh Brownhill,Burnley,28, M(CR),32(3),2953,2,3,10,-,0.8,77.4,1.3,2,6.86
86,Gabriel Martinelli,Arsenal,22," AM(L),FW",21(8),1866,6,6,1,1,1.8,79.7,0.6,1,6.86
87,Diogo Dalot,Man Utd,25," D(LR),M(R)",19(5),1799,-,-,4,-,0.5,80.2,1.2,1,6.86
88,Liam Cooper,Leeds,32, D(C),21,1815,-,1,5,-,0.3,83.1,3.9,-,6.85
89,Emerson Royal,Tottenham,25," D(CR),M(R)",26(5),2246,1,1,4,-,0.5,82.4,1,-,6.85
90,Antonio Rüdiger,Chelsea,31, D(CLR),34,3035,3,-,9,-,1.4,88.1,1.6,-,6.85
91,Kai Havertz,Chelsea,24," M(CR),FW",22(7),1816,8,3,3,-,1.9,81.3,1.3,1,6.85
92,Roberto Firmino,Liverpool,32," M(CLR),FW",10(10),987,5,4,3,-,1.5,78.8,0.7,1,6.85
93,Rúben Neves,Wolves,27, DMC,31(2),2663,4,2,9,-,1.3,84,0.6,2,6.85
94,James McArthur,Crystal Palace,36, M(CLR),15(6),1438,-,3,4,-,0.4,83.1,1,-,6.84
95,Romain Saïss,Wolves,34," D(C),DMC",31,2709,2,-,6,-,0.6,80.1,2.4,1,6.84
96,Mohammed Salisu,Southampton,25, D(CL),33(1),2972,-,-,8,1,0.7,77.9,3,3,6.83
97,Kyle Walker-Peters,Southampton,27," D(LR),M(R)",29(3),2632,1,2,5,-,0.8,81.3,0.8,3,6.83
98,Takehiro Tomiyasu,Arsenal,25, D(CLR),20(1),1682,-,1,2,-,0.5,81.1,2.2,1,6.83
99,Romelu Lukaku,Chelsea,30," AM(R),FW",16(10),1586,8,-,1,-,1.7,72.9,2,2,6.83
100,Joelinton,Newcastle,27," AM(CLR),FW",30(5),2514,4,1,7,-,1.3,77.6,2.7,3,6.82
101,Nélson Semedo,Wolves,30," D(LR),M(R)",25,2137,-,1,1,-,0.8,77.4,0.6,-,6.82
102,Charlie Taylor,Burnley,30," D(CL),M(L)",30(1),2731,-,3,3,-,0.2,71.1,1.9,1,6.82
103,César Azpilicueta,Chelsea,34," D(CLR),M(R)",24(3),2075,1,2,3,-,0.4,85.7,1.7,-,6.81
