,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
18,Marcel Sabitzer,RBL,30," M(CLR),FW",30(2),2507,9,7,4,-,2.2,77.5,0.8,1,7.24
19,Philippe Coutinho,Bayern,31, M(CLR),15(8),1414,8,6,-,-,2.5,84.1,0.2,4,7.22
20,Thorgan Hazard,Borussia Dortmund,31," M(CLR),FW",28(5),2393,7,13,3,-,1.5,81,0.5,2,7.21
21,Andrej Kramaric,Hoffenheim,32," AM(CLR),FW",14(5),1423,12,2,3,-,2.3,83,0.5,3,7.21
22,Benjamin Pavard,Bayern,28," D(CLR),M(R)",31(1),2790,4,4,5,-,0.7,88.7,2.3,2,7.19
23,Leon Goretzka,Bayern,29, M(CR),17(7),1513,6,5,2,-,1.6,85.9,1.3,2,7.17
24,Christopher Trimmel,Union Berlin,37," D(CR),M(R)",32,2864,-,8,6,-,0.2,71.3,1.3,3,7.16
25,Denis Zakaria,Borussia M.Gladbach,27," D(C),DMC",22(1),1947,2,2,7,-,1,86.7,0.9,-,7.15
26,Marcel Halstenberg,RBL,32," D(CL),M(L)",28(1),2523,3,3,4,1,1.1,84.9,1.8,1,7.15
27,Ramy Bensebaïni,Borussia M.Gladbach,29," D(CL),DMC,M(L)",16(3),1450,5,3,6,1,1.2,77.5,2.4,-,7.14
28,Robert Skov,Hoffenheim,27," D(L),M(LR)",29(2),2613,4,7,4,-,2,79,0.6,1,7.14
29,Kingsley Coman,Bayern,27," M(LR),FW",17(7),1507,4,3,2,-,1.5,82.3,0.8,-,7.13
30,Mats Hummels,Borussia Dortmund,35, D(C),31,2586,1,3,6,1,0.7,87.5,2.9,-,7.11
31,Kevin Volland,Leverkusen,31," AM(CLR),FW",24(3),2051,10,7,3,-,2.9,70.8,1.4,4,7.10
32,Sebastian Andersson,Union Berlin,32, FW,31(2),2689,12,1,5,-,2,59.9,7.4,5,7.07
33,Nordi Mukiele,RBL,26," D(CR),M(R)",21(4),1785,3,1,1,-,0.9,76.9,2,2,7.07
34,Bas Dost,Eintracht Frankfurt,34, FW,16(8),1477,8,2,2,-,1.3,59.2,5.4,2,7.06
35,Wout Weghorst,Wolfsburg,31, FW,30(2),2741,16,3,7,-,2.7,63.1,4.1,4,7.06
36,Dayot Upamecano,RBL,25, D(C),27(1),2360,-,1,6,1,0.5,89.1,1.9,1,7.06
37,Patrik Schick,RBL,28," AM(R),FW",15(7),1304,10,2,3,-,2.4,72,2.7,-,7.06
38,Dedryck Boyata,Hertha Berlin,33, D(C),28,2441,4,1,8,1,0.6,89.4,2.7,2,7.04
39,Julian Brandt,Borussia Dortmund,28," M(CLR),FW",25(8),2210,3,7,-,-,1,83.8,0.6,-,7.04
40,Florian Niederlechner,Augsburg,33," AM(CR),FW",31(2),2732,13,6,1,-,2.4,73.4,1.4,4,7.03
41,Jordan Torunarigha,Hertha Berlin,26, D(CL),16(2),1461,1,1,3,-,0.1,85.3,2.2,-,7.03
42,Sebastian Schonlau,Paderborn,29," D(C),DMC",23,2070,2,-,2,-,0.5,87.9,2.5,1,7.01
43,Maximilian Arnold,Wolfsburg,29, M(CR),32(1),2826,4,8,8,-,1.9,81.1,0.8,3,7.01
44,David Alaba,Bayern,31," D(CL),M(CL)",27(1),2498,1,1,-,-,0.7,90.7,0.8,-,6.99
45,Milot Rashica,Werder Bremen,27," AM(CLR),FW",27(1),2278,8,5,2,-,2.6,75.9,0.5,2,6.99
46,Omar Mascarell,Schalke,31," D(C),DMC",23,2029,-,1,4,-,0.4,85,2.5,-,6.99
47,Florian Neuhaus,Borussia M.Gladbach,27, M(C),26(4),2362,4,2,6,-,1.9,83.8,0.5,-,6.98
48,Axel Witsel,Borussia Dortmund,35," D(C),M(C)",25(3),2245,4,5,4,-,1.1,94.1,0.8,-,6.98
49,Sven Bender,Leverkusen,35," D(C),M(C)",33,2730,2,1,3,-,0.5,91.3,3.4,2,6.98
50,Lars Bender,Leverkusen,35," D(CR),M(CR)",16(2),1375,2,1,3,-,0.8,86.2,1.4,-,6.97
51,Maximilian Mittelstädt,Hertha Berlin,27," D(L),M(CL)",19(7),1883,1,3,4,-,0.8,72.5,1.6,2,6.97
52,Jhon Córdoba,FC Koln,30, FW,23(6),2005,13,2,5,-,2.1,76.4,3.2,2,6.96
53,Konrad Laimer,RBL,26," D(R),M(CR)",26(3),2124,2,6,6,1,0.3,81.1,0.8,-,6.96
54,Daniel Caligiuri,Schalke,36," D(R),M(CLR),FW",26(2),2300,2,2,5,-,1.6,67.6,2.1,-,6.95
55,Christopher Lenz,Union Berlin,29," D(L),M(L)",26,2269,-,3,2,-,0.5,72.5,1.8,1,6.94
56,Marko Grujic,Hertha Berlin,28, DMC,29,2422,4,1,9,-,1.2,78.7,3.4,2,6.94
57,Pavel Kaderábek,Hoffenheim,32," D(R),M(LR)",28(2),2476,2,7,2,-,0.9,69.6,2.7,2,6.94
58,Moussa Diaby,Leverkusen,24," M(CLR),FW",18(10),1771,5,5,3,-,1.5,79.2,0.1,3,6.93
59,Nicolas Höfler,Freiburg,34," D(C),DMC",31(1),2785,1,-,9,-,0.8,84.6,1.8,2,6.93
60,Martin Hinteregger,Eintracht Frankfurt,31, D(C),30(1),2721,8,1,8,-,1.4,75.3,2.7,-,6.92
