,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
39,Sergio Busquets,-,5,0.1,0.2,1.7,-,0.3,0.3
40,Renato Tapia,-,1,0.5,0.9,1.5,-,0.8,0.8
41,Youssef En-Nesyri,18,-,2.1,0.4,0.9,0.7,0.6,0.6
42,Jan Oblak,-,-,-,-,0.1,-,-,-
43,Santi Mina,12,3,1.3,0.3,1.8,0.3,0.9,0.9
44,Fidel,6,3,0.6,1.7,1.4,0.2,1.3,1.3
45,Mauro Arambarri,3,-,1.4,1.1,2.1,-,0.9,0.9
46,Raphaël Varane,2,-,0.5,0.2,0.3,-,0.2,0.2
47,Marcos Acuña,1,2,0.6,1.4,1.1,0.1,1,1
48,Ferland Mendy,1,-,0.5,1.7,1.5,0.2,1,1
49,David García,1,-,0.4,0.1,0.7,-,0.1,0.1
50,Jawad El Yamiq,-,1,0.4,0.1,0.8,0.1,-,-
51,Gonçalo Guedes,5,5,1.6,2.1,2.2,0.1,1.6,1.6
52,Thomas Lemar,1,3,0.9,1.6,0.9,-,0.8,0.8
53,Yeray Álvarez,1,-,0.4,0.5,0.7,-,0.1,0.1
54,Alex Berenguer,8,4,1.4,1,1.3,0.5,1.1,1.1
55,Nolito,7,5,1.5,0.8,1.1,0.3,0.9,0.9
56,Adnan Januzaj,4,5,1.2,1.7,1.3,0.1,0.8,0.8
57,Iker Muniain,5,3,0.8,1.5,2.5,0.1,1.2,1.2
58,Joan Jordán,1,6,0.7,0.9,1.2,-,0.6,0.6
59,Gabriel Paulista,4,1,0.5,0.2,0.8,-,0.1,0.1
60,Florian Lejeune,1,1,0.7,0.3,0.5,0.1,0.1,0.1
61,Aridane Hernández,-,-,0.1,0.2,0.8,-,0.2,0.2
62,Daniel Wass,4,1,1.1,0.3,0.9,0.2,0.4,0.4
63,Mario Hermoso,1,1,0.6,0.3,1,0.1,0.3,0.3
64,Aritz Elustondo,1,-,0.2,0.2,1.2,-,0.1,0.1
65,Gerard Piqué,-,-,0.5,0.1,0.3,0.1,0.1,0.1
66,Yangel Herrera,3,1,1,0.7,1.8,0.2,0.6,0.6
67,Lucas Torró,-,1,0.7,0.4,1,0.1,0.4,0.4
68,Ante Budimir,11,-,1.6,0.4,1,0.6,1.1,1.1
69,Nacho,1,-,0.5,0.3,1,0.1,0.2,0.2
