,Name,AvgP,PSp,Crosses,LonB,ThrB
171,Alexis Blin,34.6,81.1,0.1,1.4,-
172,Dimitri Liénard,32.5,83.8,1,2.7,-
173,Loïck Landre,24.4,80.6,-,1.7,-
174,Jemerson,43.1,86.9,-,2.4,-
175,Ludovic Blas,26.6,77.2,0.1,1.9,0.1
176,Lucas Deaux,28.5,70.4,0.2,1.7,-
177,Presnel Kimpembe,60.9,93.6,-,2.3,-
178,Paul Baysse,41,80,-,4.9,-
179,Saman Ghoddos,18,72.8,1,0.6,-
180,Anthony Caci,42.2,81.4,0.4,2.9,-
181,Anthony Lopes,26.5,77.6,-,5.4,-
182,Angelo Fulgini,23.8,77.5,0.5,0.8,0.1
183,Antonin Bobichon,27.5,83.3,0.5,1.5,-
184,Lukas Lerager,35.9,79.6,0.1,1.1,0.1
185,Layvin Kurzawa,24.9,84.4,0.2,0.2,-
186,Kelvin Amian,30.3,77.8,0.1,1.4,-
187,François Moubandje,37.5,78.6,0.4,2,-
188,Duje Caleta-Car,41.1,84.5,-,3.9,-
189,Yann Karamoh,20.8,77.3,0.9,0.5,0.1
190,Xeka,44.7,82,0.2,2.5,-
191,Benjamin Jeannot,19.9,72.2,-,0.7,-
192,Faitout Maouassa,24.9,71.2,0.6,1.6,-
193,Cédric Yambéré,36.8,83.2,-,3.5,-
194,Oussama Haddadi,38,76.5,0.9,1.9,-
195,Kévin Monnet-Paquet,24.3,78.9,0.2,0.4,-
196,François Kamano,24.1,81,0.1,0.9,0.1
197,Moussa Doumbia,21.5,80,0.4,0.9,-
198,Pierre-Yves Polomat,23.7,80.8,0.3,0.9,-
199,Aleksandr Golovin,34,82.3,0.5,1.4,-
200,Steven Mendoza,23.9,78.1,0.6,0.7,-
201,Moussa Diaby,20.6,83.3,0.1,0.2,0.1
202,Loïc Rémy,8.4,77.5,-,0.2,-
203,Adrien Hunou,15.4,76.8,-,0.1,-
204,Régis Gurtner,28.2,52.2,-,8.4,-
205,Danilo Barbosa,29.6,85.6,-,0.6,-
206,Neven Subotic,43.7,84.1,-,4,-
207,Arnaud Nordin,12.1,84.4,0.2,0.2,-
208,Rachid Alioui,13.2,72.3,0.1,0.3,-
209,Diego Benaglio,23.3,70.5,-,4.4,-
210,Baptiste Reynet,31.1,61.6,-,8.5,-
211,Fábio,24,76.3,0.6,1.1,-
212,Andreas Cornelius,11.8,65.7,-,0.3,0.1
213,Younousse Sankharé,28.5,76.4,-,0.3,-
214,Nicolas de Préville,18.4,74.5,0.5,1,-
215,Toma Basic,24.7,82.4,0.5,2,-
216,Gabriel Silva,22.6,81.1,0.2,0.9,-
217,Lucas Tousart,32.6,87.3,-,1.2,0.1
218,Tristan Dingomé,29.3,78.8,0.1,1.4,0.4
219,Djibril Sidibé,41.6,74.7,0.8,1.2,-
220,Casimir Ninga,14.2,76.4,0.2,0.4,0.1
221,Stefan Mitrovic,40.9,90.5,-,2.6,-
222,Jimmy Durmaz,30.4,77,0.6,1.5,-
223,Boschilia,16.7,80.7,0.6,0.2,-
224,Moussa Konaté,14,67.7,-,0.3,0.1
225,Juan Otero,19.8,74.9,0.6,0.5,-
226,Prince Oniangué,31.6,83.7,0.1,1.3,-
227,Stéphane Bahoken,13.9,73.4,0.1,0.2,-
228,Marc-Aurèle Caillard,22.9,50.5,-,7.5,-
229,Jordan Marié,32.7,78.9,0.2,2,-
230,Boulaye Dia,8.6,68.4,-,0.1,-
231,Gen Shoji,40.4,84.9,-,4,-
232,Lebogang Phiri,41.6,88.7,-,2.1,-
233,Prince-Désir Gouano,35.5,82.1,-,2.5,-
234,Bakaye Dibassy,36.1,77.4,0.3,1.4,-
235,Lebo Mothiba,13.3,78.5,-,0.3,-
236,Ismaël Traoré,36.4,85.5,-,2.5,-
237,Jimmy Briand,19.6,73.6,0.1,0.3,0.1
238,Yannis Salibur,13.1,79.3,0.6,0.3,-
239,Kalidou Sidibé,29.4,73.5,-,1,-
240,Claudio Beauvue,13.4,67,0.2,0.4,-
241,Abdul Waris,17,75.2,0.2,0.4,0.1
242,Pablo Chavarría,13,62.3,0.2,0.1,-
243,Yaya Sanogo,12.2,63.7,-,0.1,-
244,Tomás Koubek,23.3,63.5,-,6,-
245,Rafael,32.7,83.2,0.4,0.6,0.1
246,Romain Del Castillo,16.7,74.5,0.5,0.2,-
247,Baptiste Guillaume,11.6,62.6,-,0.1,-
248,Paul Lasne,25.1,81.8,0.3,1.3,-
249,Wesley Saïd,16.1,74.5,0.2,0.4,-
250,Gaëtan Paquiez,22.5,73.6,0.1,0.9,-
251,Lamine Koné,39.8,84.2,0.1,2.9,-
252,Khaled Adénon,42,86.2,-,3.3,-
253,Enzo Crivelli,16.1,64.8,0.1,0.3,-
254,Jérémy Sorbon,31.3,84.2,-,2.4,-
255,Jaroslav Plasil,37.4,85.1,0.3,1.2,-
256,Anthony Limbombe,14.4,76,0.3,0.2,-
257,Lois Diony,9.6,66.6,0.1,0.1,-
258,Boubakary Soumaré,19.2,86.4,-,1,-
259,Emil Krafth,30.2,73.4,0.4,1.7,-
260,Romain Amalfitano,32.4,78.8,0.2,3.2,0.1
261,Steve Mandanda,27.5,66.3,-,5.7,-
262,Cheick Traoré,20.8,69.4,0.6,0.6,-
263,Christophe Kerbrat,34.4,78,-,4.4,-
264,Suk Hyun-Jun,7.4,51.9,0.1,0.1,-
265,Rui Fonte,10.4,78.6,-,0.3,-
266,Eddy Gnahoré,33.8,89.5,-,1.1,0.1
267,Jessy Deminguet,22.3,83.6,0.1,1.7,-
268,Thomas Mangani,38.7,83,0.7,1.6,-
269,Malik Tchokounté,15.4,69.1,-,0.3,-
270,Ignatius Ganago,11.1,78.3,-,-,0.1
271,Samuel Moutoussamy,22.7,81.4,0.1,0.6,-
272,Saîf-Eddine Khaoui,17.8,72.4,0.2,0.6,-
273,Benoît Badiashile,54.5,89.5,-,3.4,-
274,Eric Choupo-Moting,10,82.2,0.1,0.1,-
275,Nolan Roux,14.2,67.1,-,0.3,-
276,Étienne Didot,37.8,77.8,0.3,3.7,-
277,Mehdi Zeffane,31.1,82.6,0.2,1.6,-
278,Marcus Coco,15.6,68,0.3,0.1,-
279,Luiz Araújo,11,78.8,0.4,0.8,-
280,Yannick Cahuzac,23.7,81.8,-,0.4,-
281,Manu García,29.6,80,-,1.5,0.1
282,Umut Bozok,11.4,75.4,-,0.4,-
283,Jérémy Gélin,36.1,87,-,3.3,-
284,James Léa Siliki,15.5,75.9,0.4,0.8,-
285,Junior Sambia,11.3,80.6,0.6,0.6,-
286,Kévin Zohi,9.1,76.8,0.1,0.4,-
287,Bassem Srarfi,13.8,81.3,0.2,0.6,-
288,Kwon Chang-Hoon,15.8,74.7,0.5,0.5,-
289,Théo Valls,23.1,79.4,0.2,1,-
290,Thiago Maia,24.4,83.1,-,1.5,-
291,Yoël Armougom,22.4,73.5,0.5,1.4,-
292,Rémi Walter,27.2,91.1,0.2,0.5,-
293,Jean-Victor Makengo,16.5,86.2,-,0.4,-
294,Cheick Timité,12.3,76.6,0.2,0.3,-
295,Petar Skuletic,5.7,69.2,-,0.1,-
296,Ismaël Diomandé,32.9,82.5,0.1,3.2,-
