,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
54,Neto Borges,Clermont Foot,27," D(CL),M(L)",33,2840,3,1,2,2,0.7,79.5,1.1,4,6.91,2.3,1.2,0.6,0.2,1.5,0.9,0.3,-,1.4,1.4,0.2,0.6,0.6,34.9,79.5,0.6,0.8,-
55,Khéphren Thuram,Nice,23," DMC,M(L)",30(5),2560,2,4,3,-,1.1,86.9,0.5,1,6.91,1.5,1.1,0.9,-,0.9,0.7,0.4,-,1.3,0.5,0.1,1,1,37.7,86.9,0.1,1.2,0.1
56,Folarin Balogun,Reims,22, FW,34(3),3013,21,2,5,-,3.5,72.5,0.4,4,6.9,0.2,0.1,1,-,0.4,0.5,-,-,0.9,1.5,0.8,2,2,14.8,72.5,0.2,0.3,-
57,Azor Matusiwa,Reims,26, DMC,29(1),2492,-,-,4,-,0.4,85.7,1.1,-,6.89,2.2,1.5,1.4,-,1.6,0.8,0.4,-,0.5,1.1,-,0.4,0.4,53.3,85.7,-,3.8,-
58,Youssouf Fofana,Monaco,25, DMC,35(1),3089,2,2,1,2,1.2,82.5,0.6,-,6.89,2.3,1.6,1.4,-,0.9,1,0.2,1,1.3,1.1,0.1,1.1,1.1,47.7,82.5,-,2.6,0.2
59,Fabián Ruiz,PSG,28, M(CL),21(6),1899,3,2,-,-,1,92.3,0.2,1,6.89,2.3,0.7,0.7,-,0.8,1.3,-,-,0.7,0.5,0.1,0.6,0.6,64.1,92.3,-,2.1,0.1
60,Junya Ito,Reims,31," M(LR),FW",34(1),2930,6,5,3,1,1.2,71.3,0.8,3,6.89,1.1,0.2,0.6,-,0.1,1.1,-,-,1.8,1.2,0.9,1.3,1.3,25.8,71.3,1.4,0.5,0.1
61,Romain Del Castillo,Brest,28," AM(CLR),FW",16(11),1429,6,6,2,-,1.3,72.3,0.7,2,6.88,1.4,0.4,0.7,-,0.2,0.7,-,-,1,0.9,-,1.1,1.1,20.3,72.3,1.2,0.9,0.1
62,Gianluigi Donnarumma,PSG,25, GK,38,3410,-,-,3,-,-,84.0,0.3,3,6.88,-,-,-,-,0.7,-,-,-,-,0.1,-,-,-,20.2,84.0,-,1.9,-
63,Marshall Munetsi,Reims,27," D(C),M(C)",31(3),2708,7,3,6,-,2,75.3,1.7,-,6.88,1.7,0.8,1.9,0.1,1.1,0.8,0.3,-,0.6,1.1,0.1,0.5,0.5,25.3,75.3,0.1,1.1,-
64,Cengiz Ünder,Marseille,26, M(CLR),28(9),2497,5,4,3,-,1.9,77.1,0.3,4,6.87,1,0.5,0.8,-,0.3,0.6,0.1,-,1.1,0.8,0.2,0.8,0.8,24.9,77.1,1,1.3,0.1
65,Elye Wahi,Montpellier,21," AM(L),FW",29(4),2530,19,5,8,1,1.9,70.7,0.6,2,6.87,0.3,0.1,1,-,0.1,0.3,0.1,-,0.9,1.2,0.8,1.4,1.4,12.6,70.7,0.1,0.2,-
66,Rony Lopes,Troyes,28," AM(CLR),FW",29(3),2360,7,5,2,-,1.8,75.2,0.6,2,6.87,0.8,0.3,0.6,-,0.3,0.8,0.1,-,1.4,1,-,1.2,1.2,23.5,75.2,1.1,1.3,0.1
67,Nicolás Tagliafico,Lyon,31," D(CL),M(L)",34,2995,1,3,5,-,0.7,85.8,1.3,1,6.86,2.7,1.7,1.2,0.1,1.3,0.8,0.3,-,0.3,1.7,0.1,0.5,0.5,45.7,85.8,0.2,1,-
68,Malo Gusto,Lyon,20," D(R),M(R)",19(2),1602,-,1,1,-,0.3,85.1,0.4,1,6.86,2,1.3,1,0.2,0.7,1,0.2,1,1,1.1,0.1,0.6,0.6,54.0,85.1,1.6,2,-
69,Nuno Tavares,Marseille,24," D(L),M(L)",23(8),2349,6,-,6,1,2.1,79.1,0.7,1,6.86,1.8,0.5,1.2,0.1,0.7,0.9,0.1,-,1.7,1.2,0.2,2.2,2.2,33.1,79.1,0.5,1.2,0.1
70,Jordan Veretout,Marseille,31, M(C),31(7),2864,4,3,4,-,0.8,87.9,0.5,1,6.85,1.5,0.9,0.9,0.1,1.1,0.7,0.2,1,0.3,0.6,0.1,0.3,0.3,54.0,87.9,0.6,3.8,0.1
71,Baptiste Santamaría,Rennes,29, DMC,20(5),1815,2,-,2,-,0.8,85.5,2.4,1,6.84,1.6,0.8,0.9,-,0.9,0.8,0.2,-,0.4,0.8,-,0.4,0.4,52.3,85.5,-,3.9,-
72,Rafael Ratão,Toulouse,28, AM(LR),25(5),1871,5,4,2,-,1,77.7,0.3,1,6.84,1.7,0.7,0.9,-,0.2,1.5,-,-,1.3,1.1,0.1,1,1,24.2,77.7,0.3,0.8,0.1
73,Axel Disasi,Monaco,26, D(CR),37(1),3330,3,3,3,-,0.8,83.8,2.6,1,6.83,0.8,1.5,0.8,0.4,2.9,0.4,0.8,-,0.6,0.3,-,0.4,0.4,50.5,83.8,0.1,3.7,-
74,Samuel Gigot,Marseille,30, D(C),24(2),1889,2,2,3,2,0.5,87.3,2.2,2,6.83,1.8,1.7,1.7,0.2,3.1,0.1,0.3,-,0.2,0.5,-,0.1,0.1,43.1,87.3,-,1.2,-
75,Breel Embolo,Monaco,27," AM(CR),FW",19(13),1856,12,2,3,-,1.3,70.1,1.1,1,6.83,0.5,0.2,1.6,0.1,0.4,0.2,0.1,-,1,1.8,0.4,1.4,1.4,13.6,70.1,-,0.3,-
76,Adrien Truffert,Rennes,22," D(L),M(L)",24(4),1962,-,6,2,-,0.4,80.8,1.2,1,6.83,2.2,0.8,0.7,0.2,1.6,0.5,0.3,-,0.8,0.9,0.1,0.5,0.5,40.5,80.8,0.4,1,-
77,Ismaily,Lille,34, D(L),21(2),1785,2,1,-,-,0.6,81.0,1.6,-,6.83,1.8,0.9,0.6,0.3,1.4,0.7,0.2,-,0.7,1,0.1,1.3,1.3,42.5,81.0,0.1,0.5,-
78,Corentin Tolisso,Lyon,29," D(R),M(CR)",25(5),2050,1,2,3,-,1,88.8,1.2,1,6.82,1.5,0.8,0.9,-,0.7,1.4,0.2,-,0.2,1.3,-,0.6,0.6,63.6,88.8,0.4,4.6,0.3
79,Alexis Flips,Reims,24, M(CLR),28(5),1998,4,6,3,1,1.6,72.6,0.4,2,6.82,1.5,0.7,0.7,0.1,0.3,1.1,0.2,-,0.4,0.7,0.1,0.7,0.7,25.2,72.6,1.2,1.6,0.2
80,Mory Diaw,Clermont Foot,30, GK,37,3330,-,-,-,-,-,66.8,0.1,3,6.82,-,0.1,-,-,0.5,0.1,-,-,-,0.2,-,-,-,34.9,66.8,-,8.4,-
81,Hamari Traoré,Rennes,32," D(R),M(R)",28(3),2531,1,4,5,-,1,87.0,1.1,-,6.82,1.5,1.2,1.1,0.2,1.9,0.8,0.2,-,0.3,0.2,0.1,0.3,0.3,51.2,87.0,0.5,2.1,0.1
82,Sergio Ramos,PSG,38, D(CR),31(2),2709,2,1,3,1,0.6,94.8,1.7,-,6.82,1,1,1.1,0.5,2.8,0.6,0.4,-,0.2,0.7,0.1,0.2,0.2,75.5,94.8,0.1,4.8,-
83,Jordan Lotomba,Nice,25," D(LR),M(R)",27(6),2456,-,2,4,-,0.4,85.2,0.8,2,6.82,2,1,0.7,0.2,1.4,0.5,0.3,-,1.2,0.9,-,0.7,0.7,34.7,85.2,0.4,0.6,0.1
84,Chancel Mbemba,Marseille,29," D(CLR),DMC",32(4),2850,5,-,2,-,0.8,84.4,2,1,6.82,1.2,1.2,0.5,0.1,2.4,0.3,0.3,-,0.4,0.5,-,0.3,0.3,46.2,84.4,0.2,1.8,-
85,Stijn Spierings,Toulouse,28, M(C),35(1),3123,2,-,6,-,0.7,86.1,0.6,-,6.81,2.6,1.5,1.5,-,1.2,1.6,0.3,-,0.4,1.4,-,0.7,0.7,57.0,86.1,0.1,3.9,-
86,Pau López,Marseille,29, GK,32(1),2925,-,2,3,-,-,76.0,0.3,1,6.81,-,-,0.1,-,0.6,-,-,-,-,0.2,-,-,-,29.7,76.0,-,5.4,-
87,Alban Lafont,Nantes,25, GK,37,3330,-,-,-,1,-,64.6,0.2,5,6.81,-,-,-,-,1.3,-,-,-,-,0.1,-,-,-,26.7,64.6,-,6.1,-
88,Mikkel Desler,Toulouse,29," D(R),M(R)",26(1),2262,1,2,4,1,0.4,86.2,0.9,1,6.8,2.6,1.3,1,-,1.7,0.9,0.2,-,1,1.2,0.2,0.6,0.6,48.8,86.2,0.3,1.3,-
89,Facundo Medina,Lens,24, D(CL),32,2784,2,4,7,-,0.6,90.8,1.2,1,6.8,1,0.8,1.1,0.2,1.8,0.7,0.3,-,0.8,0.6,-,0.7,0.7,76.8,90.8,0.3,3,0.1
90,Maxime Dupé,Toulouse,31, GK,38,3420,-,-,1,-,-,75.2,0.3,4,6.8,-,-,-,-,0.7,-,-,-,0.1,0.1,-,-,-,28.8,75.2,-,4.8,-
91,Adam Ounas,Lille,27," AM(CLR),FW",12(9),1065,1,1,2,-,1.2,79.7,0.2,1,6.8,1,0.3,0.7,-,0.1,0.2,-,-,1.8,1.4,0.1,1.2,1.2,23.0,79.7,0.6,1.3,0.1
92,Brendan Chardonnet,Brest,29, D(C),27(3),2489,-,-,6,-,0.5,80.8,3.1,-,6.79,1.5,2.1,1.3,0.3,2.8,0.6,0.6,1,0.1,0.9,-,0.1,0.1,43.5,80.8,0.1,4.9,-
93,Montassar Talbi,Lorient,25, D(C),38,3420,1,2,-,-,0.2,89.1,2.4,1,6.79,1.4,1.1,0.4,0.4,4.8,0.3,0.9,-,0.2,0.7,-,0.2,0.2,51.7,89.1,-,1.8,-
94,Johan Gastien,Clermont Foot,36, DMC,29(2),2607,4,3,7,-,0.6,84.7,0.3,2,6.79,2,1.2,0.6,0.1,0.7,2.4,0.2,-,0.3,1.1,-,0.4,0.4,65.3,84.7,0.7,5.3,0.1
95,Alexsandro Ribeiro,Lille,24, D(C),16(5),1611,3,-,4,-,0.8,90.8,1.5,2,6.79,1.5,1.2,0.9,1,2.7,0.4,0.1,-,0.7,1,0.1,0.2,0.2,60.1,90.8,-,2.5,-
96,Salis Abdul Samed,Lens,24, DMC,33,2897,1,1,6,1,0.4,92.6,0.4,-,6.79,1.4,1.1,2.2,-,0.7,0.7,0.3,1,0.9,1.2,-,1,1,59.4,92.6,0.1,1.4,0.2
97,Emmanuel Agbadou,Reims,26," D(CR),DMC",27(2),2390,-,3,5,3,0.8,86.0,2.1,1,6.79,2.4,1.1,1,0.2,3.6,0.8,0.5,1,0.3,0.2,-,0.4,0.4,51.1,86.0,-,3.7,0.2
98,Kasper Schmeichel,Nice,37, GK,36,3240,-,-,-,-,-,74.9,0.1,2,6.79,-,-,-,-,0.4,0.1,-,-,-,-,-,-,-,29.7,74.9,-,7.4,-
99,Jean-Clair Todibo,Nice,24, D(C),33(1),2873,-,-,2,2,0.4,88.9,1.1,1,6.79,2.2,1.2,0.6,0.5,3.1,0.4,0.6,-,0.6,0.4,-,0.3,0.3,63.8,88.9,-,3.1,-
100,Mohamed Camara,Monaco,24, DMC,25(4),2200,-,3,6,1,0.9,87.6,0.5,1,6.78,2.9,0.9,1.6,0.1,0.4,1.5,0.2,-,0.8,2,-,0.9,0.9,43.8,87.6,0.1,3.4,0.1
101,Krépin Diatta,Monaco,25," D(R),M(CLR),FW",22(9),2079,4,2,3,-,1.3,79.4,1.3,1,6.78,1,0.5,0.6,-,0.4,0.6,-,-,1,0.8,0.3,0.6,0.6,22.4,79.4,0.5,0.4,-
102,Himad Abdelli,Angers,24," AM(CL),FW",24(6),2141,2,2,3,-,0.8,85.1,0.6,3,6.78,2.1,0.9,1.4,-,0.4,1.2,-,-,1.4,1,-,0.7,0.7,40.1,85.1,0.4,2.1,0.1
103,Rominigue Kouamé,Troyes,27, DMC,31(1),2669,1,1,9,-,0.8,89.1,0.7,1,6.77,1.4,1.5,1.6,-,1.4,0.8,0.3,-,1.6,1.5,-,0.8,0.8,43.6,89.1,0.1,2.3,0.1
