,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
55,Rafael Tolói,2.2,1.8,1.2,0.3,2.7,0.9,0.6,-
56,Morten Hjulmand,2.6,2.1,1.7,-,1.5,0.9,0.3,-
57,Antonio Sanabria,0.3,0.1,1,-,0.2,0.2,0.1,-
58,Rade Krunic,1.7,0.7,0.7,-,0.8,1.5,0.5,-
59,Bryan Cristante,3.1,0.5,1.4,-,1.4,1,0.3,-
60,Ardian Ismajli,1.6,1.1,0.8,0.4,4.7,0.2,1.2,1
61,Guillermo Ochoa,-,-,-,-,0.7,0.1,-,-
62,Davide Zappacosta,1.6,0.4,0.9,-,0.7,0.3,0.1,-
63,Davide Frattesi,1.8,0.4,1.1,0.1,1.1,0.5,0.2,-
64,Lukasz Skorupski,0.1,-,-,-,0.9,-,-,-
65,Brahim Díaz,1,0.2,0.9,-,0.1,0.3,-,-
66,Christian Kouamé,1,0.4,1.1,-,0.2,0.3,0.1,-
67,Francesco Acerbi,1.1,1.3,0.5,0.3,2.5,0.3,0.6,-
68,Nicolás González,0.7,0.2,0.7,-,0.3,0.5,-,-
69,Stephan El Shaarawy,0.7,0.5,0.6,-,0.3,0.6,-,-
70,Michele Di Gregorio,-,0.1,-,-,0.8,0.1,-,-
71,Jérémie Boga,0.4,-,0.2,-,-,0.2,-,-
72,Marcelo Brozovic,1.3,0.8,0.9,-,0.9,0.9,0.3,-
73,Nicolò Rovella,1.8,1.6,1,0.1,0.6,0.9,-,-
74,Emil Audero,-,-,-,-,0.6,0.1,-,1
75,Filip Kostic,1.1,0.4,0.8,-,0.7,0.7,0.1,-
76,Marten de Roon,2.2,1,1.3,0.1,1.6,1.3,0.1,-
77,Nikola Milenkovic,1.5,0.8,1.4,0.6,2.7,0.3,0.5,1
78,Davide Calabria,2.8,1,0.6,0.2,1.2,0.9,0.3,-
79,Roberto Pereyra,1.1,0.5,0.9,-,0.6,0.8,0.1,-
80,Wojciech Szczesny,-,-,-,-,0.6,-,-,-
81,Hirving Lozano,0.8,0.5,0.8,-,0.1,0.4,-,-
82,Riccardo Orsolini,0.9,0.3,1.2,-,0.4,0.8,0.1,-
83,Alessandro Buongiorno,1.1,1.8,1.9,0.3,2.9,0.4,0.6,-
84,Gabriel Strefezza,1.4,0.5,1.5,-,0.3,0.7,0.1,-
85,Malick Thiaw,1.6,0.6,0.7,0.2,3.3,0.5,0.3,-
86,Edin Dzeko,0.1,0.1,0.8,-,0.8,0.1,-,-
87,Dusan Vlahovic,0.4,0.1,0.7,-,0.3,0.2,0.1,-
88,Tammy Abraham,0.4,0.1,0.9,-,0.4,0.3,0.1,-
89,Rodrigo Becão,2.5,0.9,1.4,0.4,2.2,0.5,0.9,1
90,Razvan Marin,1.3,0.4,0.9,-,1,0.6,0.3,-
91,Marco Carnesecchi,-,-,-,-,0.7,-,-,-
92,Patrick Ciurria,0.9,0.2,0.9,-,0.7,0.4,0.1,-
93,Pasquale Mazzocchi,1.2,0.4,1,-,1,0.7,0.1,-
94,Nikola Vlasic,0.9,0.3,0.9,-,0.3,0.6,0.1,-
95,Milan Djuric,0.1,-,0.9,-,0.9,0.1,0.1,-
96,Lewis Ferguson,1.4,0.6,1.6,-,0.8,0.6,0.2,-
97,André Onana,-,-,-,-,0.6,-,-,1
98,Lassana Coulibaly,2.4,0.7,1.5,-,0.9,1.2,0.2,-
99,Federico Baschirotto,1.1,1,1,0.7,5,0.4,0.8,-
100,Rolando Mandragora,1.4,0.6,1.1,-,0.7,1,0.1,-
101,Berat Djimsiti,1.4,1.5,0.6,0.3,3.1,0.3,0.3,-
102,Norbert Gyömbér,1.2,1.3,0.8,0.2,3.3,0.3,0.8,-
103,Éderson,1.9,1,0.8,-,0.7,1.1,0.2,-
104,Alex Sandro,1.4,0.6,1.1,0.4,2.5,0.3,0.4,-
105,Lazar Samardzic,0.9,0.3,0.7,-,0.4,0.7,-,-
106,Marko Arnautovic,0.4,0.1,1,-,0.5,0.2,-,-
107,Jerdy Schouten,1.9,1.2,0.8,-,1.2,0.7,0.5,1
108,Nicolò Casale,1.4,0.6,0.8,0.5,2.3,0.4,0.6,-
109,Giacomo Bonaventura,1.2,0.5,0.8,-,0.1,0.4,-,-
110,Alex Meret,-,-,-,-,0.4,-,-,-
111,Denzel Dumfries,1,0.4,0.9,-,0.6,0.4,0.3,1
112,Arkadiusz Milik,0.4,-,1,-,0.5,0.2,-,-
113,Henrikh Mkhitaryan,1.3,0.7,0.9,-,0.5,0.9,0.1,-
114,Alessandro Bastoni,1.4,0.8,0.7,0.2,1.4,0.6,0.4,-
115,Adam Marusic,1.2,1.2,0.7,0.4,1.6,0.4,0.2,-
116,Antonio Candreva,0.5,0.5,0.2,-,0.6,0.8,0.1,-
117,Ola Aina,0.9,0.6,0.8,0.1,1,0.3,0.1,-
118,Perr Schuurs,1.7,0.9,1,0.4,3.2,0.4,0.5,-
119,Bram Nuytinck,2.8,1.2,1.2,0.4,4.3,0.6,1.1,-
