,player_name,team_number,Team,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
136,Leonardo Bittencourt,42,Werder Bremen,29,M,25,1644,2,0.6,28.4,76.1,0.3,1.0,0.0,6.64,3,10,0,1.0,0.4,0,1.0,1.6,0.1,0.4,1.7,2.1,0.4,1.7,0.0,0.5,1.5,0.0,0
137,Janik Haberer,796,Union Berlin,29,M,32,2213,1,0.7,20.3,73.8,0.1,0.7,0.0,6.63,5,1,0,1.0,1.2,1,0.3,1.2,0.0,0.6,1.1,0.9,0.4,1.1,0.0,0.8,1.0,0.1,0
140,Mattias Svanberg,33,Wolfsburg,24,M,32,1836,6,0.8,16.4,71.8,0.4,0.6,0.1,6.63,4,4,0,0.9,0.6,1,0.5,0.9,0.1,0.6,1.5,0.8,0.7,0.8,0.0,0.7,0.6,0.2,0
148,Silas Katompa Mvumpa,41,VfB Stuttgart,24,M,30,2004,2,0.6,11.8,79.2,0.2,0.2,0.0,6.62,5,4,0,1.4,0.6,2,1.6,0.7,0.5,1.5,2.3,0.8,0.3,1.3,0.1,0.0,0.5,0.1,0
150,Dennis Geiger,1211,Hoffenheim,25,M,27,1973,3,1.3,29.5,84.8,0.7,1.9,0.0,6.61,1,9,0,0.2,0.3,1,0.3,0.8,0.0,0.3,0.8,1.7,0.9,1.6,0.0,0.6,0.5,0.1,0
151,Djibril Sow,45,Eintracht Frankfurt,26,M,32,2648,0,0.5,48.1,85.7,0.0,1.7,0.0,6.61,4,9,0,0.9,0.8,0,0.3,1.5,0.0,0.5,0.8,1.3,0.9,1.2,0.0,0.7,0.7,0.1,0
157,Philipp Förster,109,Bochum,28,M,25,1313,7,1.1,18.2,78.9,1.0,0.8,0.1,6.6,3,4,0,0.7,0.3,1,0.2,0.5,0.0,0.6,0.9,1.2,0.2,1.1,0.0,0.2,1.1,0.0,0
163,Grischa Prömel,1211,Hoffenheim,28,M,18,1458,1,0.4,25.4,77.9,0.1,0.9,0.0,6.58,1,4,0,1.3,1.2,0,0.3,2.0,0.1,0.7,1.3,1.5,0.4,1.8,0.1,1.2,0.9,0.2,0
175,Dejan Ljubicic,282,FC Koln,25,M,27,1724,1,1.0,20.9,77.1,0.3,1.0,0.1,6.55,5,3,0,1.3,0.3,1,0.7,0.4,0.2,0.6,1.4,0.9,0.3,1.0,0.0,0.2,1.0,0.0,0
187,Ansgar Knauff,45,Eintracht Frankfurt,21,M,24,1289,1,0.3,20.8,66.7,0.3,0.6,0.0,6.51,1,2,0,0.6,0.4,0,0.9,0.7,0.1,0.4,1.3,1.5,0.6,0.6,0.0,1.0,0.8,0.0,0
197,Salih Özcan,44,Borussia Dortmund,25,M,26,1574,1,0.3,38.0,88.5,0.0,1.7,0.0,6.49,0,6,0,0.1,0.8,0,0.2,0.9,0.0,0.8,0.7,1.2,1.1,1.0,0.0,0.7,0.9,0.1,0
198,Christoph Kramer,134,Borussia M.Gladbach,32,M,29,2230,0,0.5,41.6,83.5,0.1,0.7,0.0,6.49,0,4,0,0.2,0.9,0,0.7,0.4,0.1,1.0,0.9,1.5,0.6,1.3,0.1,1.3,1.1,0.1,0
199,Linton Maina,282,FC Koln,24,M,33,2258,7,1.1,17.6,77.3,0.4,0.2,0.0,6.49,3,1,0,1.1,0.0,1,0.7,0.6,0.5,0.8,1.7,0.5,0.2,0.5,0.0,0.3,0.7,0.0,0
201,Jens Stage,42,Werder Bremen,26,M,32,1858,3,0.5,18.8,68.1,0.1,0.5,0.0,6.48,3,5,0,0.6,1.6,1,0.3,0.6,0.0,0.3,0.8,1.1,0.5,1.0,0.1,1.0,0.8,0.3,0
202,Arne Engels,1730,Augsburg,19,M,18,1446,3,1.3,28.3,72.1,1.4,1.7,0.1,6.48,0,5,0,0.9,0.6,1,0.2,1.1,0.0,0.4,0.4,1.1,0.8,1.4,0.0,0.6,0.6,0.3,0
205,Amadou Haidara,7614,RB Leipzig,25,M,31,1430,1,0.4,26.2,83.6,0.0,1.1,0.1,6.47,2,7,0,0.6,0.8,0,0.3,0.4,0.0,0.4,0.4,0.8,0.8,0.9,0.0,0.6,0.7,0.2,0
208,Arne Maier,1730,Augsburg,24,M,30,1972,1,0.7,19.4,69.4,0.5,0.9,0.0,6.46,5,3,0,0.9,0.4,1,0.5,0.6,0.1,0.9,1.3,1.0,0.5,0.4,0.1,0.6,0.3,0.0,0
211,Florian Neuhaus,134,Borussia M.Gladbach,26,M,23,1409,0,0.7,27.4,80.3,0.1,1.0,0.1,6.44,1,2,0,1.2,0.1,0,0.5,0.9,0.1,0.6,1.0,0.8,0.5,0.4,0.0,0.2,0.8,0.1,0
222,Nadiem Amiri,36,Bayer Leverkusen,26,M,25,970,1,0.6,19.4,85.3,0.3,1.0,0.1,6.42,4,6,0,1.0,0.0,0,0.7,1.0,0.2,0.4,0.6,0.6,0.2,0.6,0.0,0.2,0.4,0.0,0
230,Kevin Kampl,7614,RB Leipzig,32,M,30,1371,2,0.4,29.7,88.6,0.0,1.1,0.1,6.41,2,8,0,0.2,0.2,0,0.3,0.2,0.0,0.3,0.6,0.7,0.7,0.7,0.0,0.4,0.7,0.3,0
231,Elvis Rexhbecaj,1730,Augsburg,25,M,31,2536,0,0.4,28.6,69.8,0.0,1.0,0.0,6.39,0,6,0,0.5,1.2,0,0.2,1.6,0.0,0.4,1.1,1.6,0.5,0.9,0.1,1.0,1.0,0.4,1
239,Kevin Paredes,33,Wolfsburg,20,M,22,515,3,0.6,7.9,79.9,0.3,0.3,0.0,6.38,1,2,0,0.2,0.1,0,0.2,0.8,0.1,0.2,0.4,0.6,0.3,0.2,0.0,0.4,0.1,0.0,0
259,Noah Weißhaupt,50,Freiburg,21,M,18,419,1,0.4,7.9,73.4,0.2,0.2,0.1,6.32,0,0,0,0.1,0.2,0,0.4,1.1,0.1,0.2,0.7,0.6,0.3,0.1,0.0,0.4,0.3,0.0,0
269,Morten Thorsby,796,Union Berlin,27,M,24,827,1,0.3,7.8,62.9,0.1,0.1,0.0,6.27,1,3,0,0.4,0.9,0,0.0,0.3,0.0,0.6,0.6,0.9,0.1,0.9,0.0,0.8,0.3,0.2,0
272,Hannes Wolf,134,Borussia M.Gladbach,24,M,18,441,1,0.3,9.4,82.2,0.0,0.2,0.0,6.25,1,0,0,0.4,0.2,0,0.3,0.7,0.1,0.7,0.4,0.6,0.2,0.4,0.0,0.5,0.4,0.0,0
283,Danny Latza,39,Schalke 04,33,M,20,845,1,0.2,18.6,81.7,0.3,0.7,0.0,6.16,0,2,0,0.8,0.7,0,0.2,0.6,0.0,0.4,0.4,0.9,0.3,0.7,0.1,0.7,0.6,0.1,0
285,Patrick Herrmann,134,Borussia M.Gladbach,32,M,21,151,0,0.2,4.4,73.9,0.1,0.1,0.0,6.04,1,2,0,0.3,0.1,0,0.0,0.2,0.0,0.2,0.0,0.3,0.1,0.2,0.0,0.0,0.1,0.0,0
