,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
125,Badredine Bouanani,-,4,1.3,1.4,1.1,0.1,0.7,0.7
126,Lovro Majer,2,5,1.1,0.9,0.9,0.1,1,1
127,Laurent Abergel,-,1,0.4,0.8,1,-,0.7,0.7
128,Deiver Machado,4,3,0.5,0.5,1.4,0.2,0.3,0.3
129,Marquinhos,2,-,0.5,-,0.3,-,0.2,0.2
130,Désiré Doué,3,1,0.8,1.8,1.1,0.2,1.2,1.2
131,Angel Gomes,2,6,1.6,0.8,1.4,-,0.7,0.7
132,Arthur Theate,4,-,0.9,0.2,0.4,-,0.1,0.1
133,André Gomes,3,2,0.7,1.1,0.7,-,1,1
134,Steve Mandanda,-,1,-,-,0.1,-,-,-
135,Marco Bizot,-,-,-,-,0.1,-,-,-
136,Zakaria Aboukhlal,10,5,2.2,1.1,1.2,0.5,1,1
137,Farès Chaïbi,5,5,1.8,0.3,0.6,0.2,0.7,0.7
138,Jean-Charles Castelletto,-,-,0.3,0.3,0.6,-,0.2,0.2
139,Aaron Ramsey,1,1,0.8,0.5,0.7,0.1,1.2,1.2
140,Tiago Djaló,2,-,0.6,0.2,0.7,-,0.3,0.3
141,Gédéon Kalulu,-,4,0.3,0.7,0.6,0.1,0.6,0.6
142,Nuno da Costa,5,4,1.2,1.4,1.7,0.2,1.2,1.2
143,Anthony Lopes,-,-,-,-,0.2,-,-,-
144,Alexander Nübel,-,-,-,-,0.1,-,-,-
145,Joris Chotard,-,6,0.3,0.4,0.5,0.1,0.3,0.3
146,Nicolas Pallois,1,-,0.3,0.3,0.2,-,0.3,0.3
147,Dimitri Payet,4,3,1.2,0.8,0.8,0.1,0.4,0.4
148,Bafodé Diakité,3,-,0.6,0.6,0.4,-,0.5,0.5
149,Lilian Brassier,-,-,0.6,0.4,0.4,-,0.4,0.4
150,Anthony Rouault,2,-,0.5,0.1,0.5,-,0.1,0.1
151,Maximiliano Caufriez,1,-,0.5,0.2,1.3,-,0.3,0.3
152,Maxime Le Marchand,-,-,0.3,0.6,0.3,-,0.2,0.2
153,Grejohn Kyei,10,3,1.6,1.1,1.1,0.4,1.3,1.3
154,Thijs Dallinga,12,1,1.7,0.3,0.5,0.6,0.5,0.5
155,Ruslan Malinovskyi,1,1,1.8,1.4,0.9,0.1,1,1
156,Ismaël Doukouré,1,1,0.3,1,1,-,0.7,0.7
157,Mostafa Mohamed,8,2,1.6,0.6,0.8,0.4,0.6,0.6
158,Julien Laporte,-,-,0.3,0.1,0.8,0.1,0.1,0.1
159,Eliesse Ben Seghir,4,1,1.1,0.7,1.8,0.2,1.2,1.2
160,Vincent Le Goff,-,-,0.5,0.3,0.5,0.1,0.3,0.3
161,Mahdi Camara,2,-,0.8,0.8,1,-,0.5,0.5
162,Mattéo Guendouzi,2,4,0.8,0.4,1.1,-,0.4,0.4
163,Hamza Sakhi,1,2,1.1,0.6,0.8,0.2,0.5,0.5
164,Lucas Chevalier,-,-,-,-,0.2,-,-,-
165,Flavien Tait,2,2,0.8,0.7,1,-,1,1
166,Arnaud Kalimuendo,7,3,1.4,0.8,0.8,0.2,1.2,1.2
167,Xavier Chavalerin,4,2,0.8,0.3,0.4,0.1,0.4,0.4
168,Matz Sels,-,-,-,-,0.1,-,-,-
169,Wahbi Khazri,4,1,1.4,1,1.3,0.5,1.1,1.1
170,Isaak Touré,1,-,0.4,0.4,0.7,-,0.1,0.1
171,Jens Cajuste,3,1,0.9,1.3,0.9,-,0.7,0.7
172,Thiago Mendes,1,1,0.5,0.2,0.8,-,0.5,0.5
